x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
97.48,41.13,7.00,0.44,22.09,73.00,4.71547699,0.51094520,0.53704745,1.98782313,1.93782318,2.88727450,0.08964861,10.82,-0.47082373,2.74807811,5.00855637,2.85328317,-1.11220419,-0.73156941,6.95648909,1.84994912,2.15540957,2.13754559,3.42757201,0.06446585,-13.46586609,7.55684757,-5.29355049,7.50811672,-6.84122133,-0.16263136,9.02957535,5.67793751,-1.51530278,1.08724117,0.29738292,4.32122421,-0.56588185,4.50856447,-3.47086430,3.87768531,-0.17821120,0.08277140,-3.42287803,-1.45095754,0.97864807,0.32281733,6.99745369,1.50593758,13.76867104,5.76902533,0.12864733,-2.32013941,11.20440102,3.09372306,2.75715256,3.62003398,0.05742901,0.85099483,-1.17640030,-2.02739525,26.39130211,0.00000056,9.53818798,6.52221918,-3.01596904,1.85559201,2.41,5.67,
97.84,40.69,8.00,0.47,22.23,72.00,5.52691698,-0.88836938,1.91098285,3.49054599,2.51001906,3.80406117,0.05145756,12.21,-2.04247856,8.14719009,-2.74409533,1.08487356,4.31281662,2.60848618,8.20470524,-1.04389548,3.38122153,2.43187952,3.53595877,0.06039617,-19.18785095,9.01251507,-11.72350979,3.88627434,-9.30999756,4.25733948,12.14361191,5.48310089,-4.36337185,7.26272202,0.00718053,5.73507500,6.97434521,-0.41940522,-0.31276953,11.64038658,3.70048094,-0.98795265,-9.94185448,-1.42520595,0.75550675,0.38498633,5.02032185,9.95366764,2.91066027,-0.70066923,11.19342422,-0.13330227,14.24508476,0.48377377,1.93407118,1.39401829,0.23806149,2.07159591,0.15474753,-1.91684842,20.88542938,0.00000768,14.99580193,12.23959827,-2.75620413,1.53686178,2.42,5.40,
98.41,40.60,11.00,0.49,21.57,69.00,8.56314659,1.87305331,5.12357759,4.13537025,4.92378712,17.47235680,0.00003218,11.18,-0.17064519,11.21106815,1.96512890,2.43201852,10.98174095,7.04807806,10.08800983,-0.34920618,4.02286720,5.24242592,20.02596474,0.00000869,-14.47016048,12.66191673,-10.32319736,-1.85003138,-1.52660120,12.42422676,15.94750023,6.26305103,-2.11953807,2.08117056,0.14949810,6.34087658,11.89858723,5.67170238,4.26233053,14.54503155,9.10394669,1.54870117,-11.03901958,1.20610213,0.66013247,0.41674311,4.95328522,11.66174889,10.35798645,4.89213181,20.82001686,0.21780388,13.84719944,1.92489207,4.29614162,8.34639072,0.00396382,2.68954086,0.43334046,-2.25620031,33.29311371,0.00000002,6.20506859,-0.87793499,-7.08300352,7.58058882,2.43,5.15,
95.61,42.84,17.00,0.67,22.63,65.00,7.79811525,8.44757748,13.46939373,7.33346224,9.26213741,17.76543236,0.00002767,20.85,5.51702547,17.85995102,7.61939859,8.21970940,16.69805908,11.17473888,9.20600700,1.72659326,6.96678591,9.43369770,18.13966751,0.00002284,19.74660683,3.29604411,11.05064964,-7.94892931,19.37883377,18.41777420,-2.03252125,8.15651226,1.19189203,0.17539217,0.67547035,11.51014805,29.03977203,7.54273319,17.24358177,6.93357611,21.62955093,23.70819283,-8.84061146,6.41126633,5.27905369,0.02182819,-16.18206787,21.90208626,6.82838392,15.51997280,24.96081161,-4.00429010,5.31637430,5.31707525,0.01735965,0.00006433,0.99360257,-1.17573392,-5.75565767,-4.57992411,70.52808380,0.00000000,-4.25323534,-14.14255905,-9.88932323,6.91902924,1.19,3.72,
96.49,42.20,21.00,0.67,22.07,58.00,5.14462090,3.89322805,11.14718723,6.33489895,6.62998390,10.69392490,0.00111823,19.24,1.23302066,17.50403595,-3.21269631,3.91448832,14.03001785,12.07300377,1.52270746,4.04713678,5.72667551,6.30906153,9.71085453,0.00189390,14.57703114,-3.35577750,-0.48748493,-11.91673374,19.12114143,17.37449265,-4.62121916,3.97077632,-2.26413393,0.75210029,0.38605945,-0.22188285,33.53955078,4.18717384,18.02146721,1.13171363,26.31721497,9.06908417,-4.32381725,4.97480059,3.80299973,0.05149277,-11.75591660,22.93982124,-9.67091846,4.76137972,20.97982597,-4.47943783,0.88162470,11.90834618,-1.63168097,0.41092587,0.52167459,-2.06987691,-6.06042624,-3.99054956,129.28393555,0.00000000,-4.90882397,-14.80979538,-9.90097046,9.24343014,0.00,0.00,
96.49,42.20,16.00,0.67,22.07,47.00,8.12215042,10.26170158,11.88436317,10.83380413,10.27550507,29.52044487,0.00000007,17.95,12.20422745,12.13682938,6.59655857,9.34897614,17.41051865,12.94918156,-1.46763384,10.13845825,10.67961597,9.98963737,27.68636513,0.00000018,33.28140259,-4.47453976,20.32112885,1.24252546,24.80002594,14.86803913,-12.49411488,2.69263506,-0.71907753,0.09046801,0.76365736,3.92003846,20.00587082,5.73375082,23.42314339,6.70304298,8.83772850,11.62409878,12.49643040,0.99674541,0.16916336,0.68096121,0.02904822,18.41174698,-4.12624407,1.15283871,19.52617264,14.91199112,-4.33262777,14.86128616,-2.78875065,1.35760105,0.24428405,-2.03575850,-5.46424770,-3.42848945,135.76390076,0.00000000,-22.57098198,-30.60177803,-8.03079605,8.03074741,0.00,0.00,
96.99,41.70,16.00,0.68,21.99,60.00,-6.87501097,9.89381313,9.83529091,3.92627215,4.19509125,1.74675202,0.18664201,30.12,7.91252518,-3.16484928,-1.10951269,2.06960511,7.42987442,8.41397762,-7.03979301,13.30880070,3.27025771,3.45108843,1.13338077,0.28736020,47.25056458,-12.89356899,27.10192680,-11.55055714,42.58262634,13.34116840,-25.81974983,-2.10572672,5.93660545,2.20087671,0.13830692,-1.02069795,5.61328220,1.91738665,17.27403259,-20.73361397,19.85100365,20.70035172,32.61903763,5.73059797,2.00898218,0.15674056,-19.65106392,-2.41326475,-25.64617729,-0.86459512,-1.19581902,-3.53714609,-17.37757111,10.91959095,-11.00153255,7.36217070,0.00679725,-1.42925537,-4.22767162,-2.79841614,72.28997040,0.00000000,-32.98882675,-36.41450500,-3.42568016,0.46736050,0.00,0.00,
97.48,41.13,16.00,0.69,22.09,54.00,-2.68118811,8.48975468,-3.44595861,1.45348334,0.95402277,0.08770989,0.76718151,30.57,15.67399693,-26.13535118,23.86819267,3.97333765,-5.69296503,0.68416703,-10.61139393,7.37529421,2.49420738,1.29087293,0.16769116,0.68227598,37.22840500,-12.11497116,38.97595215,12.94702530,30.29829979,-13.48561478,-11.98375416,-21.68478203,6.76297426,2.75042582,0.09760142,-4.09446383,-37.58871460,13.73562241,-1.46209800,-15.78869057,-13.99645424,-7.29649544,37.10712433,-5.50798178,1.85031974,0.17411070,17.34987259,-33.45019913,16.10788918,1.19891572,-32.89544678,26.72774696,-15.69869900,6.41469812,-3.25659204,0.65744442,0.41769301,-0.30363673,-2.46776438,-2.16412759,26.89468575,0.00000045,0.15352039,9.66081905,9.50729847,3.06097007,2.42,5.65,
97.84,40.69,14.00,0.71,22.23,57.00,-4.37510252,2.82166600,-6.54053783,-6.94858456,-3.76063967,1.97103882,0.16070375,25.42,2.22713757,-24.05705070,17.38730240,-0.79599547,-10.81149101,-9.00496864,0.67682040,5.85283232,-6.24355221,-2.74935508,1.09326077,0.29604957,-6.14235497,1.89411318,21.94758224,19.38799095,-7.24127436,-18.65251160,6.72377634,-1.96513140,9.38870811,7.37467957,0.00675054,1.43305635,-42.65732193,7.08132982,-17.93336678,2.12659788,-21.80482674,-0.39167571,22.57429504,0.35520294,0.01125588,0.91553330,13.11367512,-33.35397339,18.39051247,-1.29792404,-25.89119530,10.80002117,-5.33754826,-3.17004275,3.26363754,0.94935566,0.33016353,0.90107083,-0.97456509,-1.87563586,16.09661102,0.00007965,12.97918415,23.84443665,10.86525345,4.22652960,2.43,5.38,
98.41,40.69,16.00,0.72,21.43,44.00,12.20165348,13.68682480,-0.45663655,8.66991615,8.52543926,4.35895061,0.03711288,38.75,15.06852722,-17.09365273,35.97606659,11.52741146,-2.60915518,-2.88522243,17.97705269,17.26261139,9.96550751,9.45599556,5.44253492,0.01988655,-7.46246719,28.94189644,17.90876007,30.05151558,-0.41326281,-13.95690441,52.00418472,2.62553716,5.31940985,1.01801705,0.31328003,20.69200897,-45.82141113,28.51356125,-16.50521469,9.75086975,-30.56077194,-5.86783552,36.97600937,-9.91213131,3.75691819,0.05292377,31.09349632,-32.73685455,54.29509735,25.69585037,-16.46793175,31.61587906,8.32721996,10.04763508,4.48783255,0.77324986,0.37946474,1.86773753,-0.21793541,-2.08567286,22.01749420,0.00000446,55.60360718,59.49542999,3.89182115,0.21677727,2.43,5.11,
