label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,0.01,6.00,0.97,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,1.81,6.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,3.61,8.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,5.11,12.00,0.76,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,6.91,12.00,0.76,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,8.11,12.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,9.31,16.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,10.81,16.00,0.76,b,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,12.31,16.00,0.90,b,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,13.51,16.00,0.78,b,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,15.31,12.00,0.83,b,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,17.11,12.00,0.78,r,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,18.91,12.00,0.82,r,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,20.41,8.00,0.95,r,0
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,21.61,12.00,0.77,r,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,22.81,12.00,0.91,b,1
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,24.61,12.00,0.79,r,1
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,25.81,8.00,1.06,[],0
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,27.61,12.00,1.06,[],0
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,28.81,16.00,0.79,b,1
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,30.01,16.00,0.78,b,1
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,31.81,16.00,1.06,[],0
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,33.01,16.00,0.80,r,1
iso_0,0.00,0.00,0.00,0.00,0.4000,0.40,34.81,16.00,0.77,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,36.01,16.00,1.06,[],0
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,37.81,16.00,1.06,[],0
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,39.31,16.00,1.06,[],0
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,40.81,16.00,0.81,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,42.01,16.00,0.80,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,43.51,16.00,0.82,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,45.01,12.00,0.76,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,46.81,12.00,1.06,[],0
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,48.61,16.00,0.85,b,0
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,50.11,16.00,0.88,r,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,51.61,16.00,0.84,r,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,52.81,16.00,0.76,b,0
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,54.01,16.00,0.80,r,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,55.81,16.00,0.94,b,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,57.31,16.00,0.90,b,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,58.81,12.00,0.94,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,60.61,12.00,0.77,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,61.81,12.00,0.78,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,63.61,8.00,1.06,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,65.11,12.00,0.76,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,66.91,12.00,0.76,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,68.41,12.00,0.80,r,0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,69.61,16.00,0.76,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,70.81,16.00,0.76,r,1
iso90_45,45.00,45.00,0.25,0.00,0.4000,0.40,72.31,16.00,0.95,b,1
iso90_45,45.00,45.00,0.25,0.00,0.4000,0.40,74.11,12.00,1.01,r,0
iso90_45,45.00,45.00,0.25,0.00,0.4000,0.40,75.91,16.00,0.82,b,1
iso90_45,45.00,45.00,0.25,0.00,0.4000,0.40,77.11,16.00,0.93,r,1
