label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,0.01,6.00,1.04,b,1
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,1.51,6.00,0.89,b,1
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,3.31,4.00,0.97,b,0
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,4.81,6.00,0.85,b,1
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,6.31,6.00,0.88,r,1
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,7.81,6.00,0.84,r,1
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,9.31,4.00,0.78,b,0
surround_45,112.50,45.00,0.00,0.00,0.0000,0.40,10.81,6.00,1.05,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,12.31,6.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,13.81,8.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,15.31,12.00,0.76,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,16.51,12.00,0.76,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,17.71,12.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,19.21,16.00,0.77,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,21.01,16.00,0.76,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,22.81,16.00,1.06,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,24.01,16.00,0.91,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,25.51,16.00,0.79,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,27.31,16.00,0.87,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,28.81,12.00,0.79,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,30.61,12.00,0.99,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,32.41,12.00,1.06,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,33.61,16.00,0.77,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,34.81,16.00,0.82,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,36.61,16.00,0.85,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,38.41,12.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,40.21,16.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,41.41,16.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,42.61,16.00,0.76,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,44.11,16.00,0.78,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,45.61,16.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,46.81,16.00,0.76,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,48.61,16.00,0.81,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,50.41,16.00,0.77,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,51.61,12.00,0.98,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,53.11,12.00,0.80,r,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,54.31,16.00,0.95,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,55.51,16.00,0.86,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,57.31,16.00,0.83,r,1
