depth bin,avg,stdev,norm_depths,p-value,corrected p-value,df,N
0,0.07147731548567647,0.24806900103657298,0.0,0.3515625,0.6547688197026023,11,12
1,0.04695301360435159,0.17231381920757485,0.25,0.39599609375,0.6936854649256993,11,12
2,0.17785093444325198,0.20911354328695073,0.5,0.01318359375,0.06172878942757009,11,12
3,0.34840131149268655,0.4877333283025942,0.75,0.02978515625,0.12435302734375,11,12
4,0.4146757716157037,0.3564050560651872,1.0,0.00048828125,0.005096435546875,11,12
