depth bin,avg,stdev,norm_depths,p-value,corrected p-value,df,N
0,0.3221843089604958,0.3393420242422606,0.0,0.0068359375,0.03682585685483871,11,12
1,0.5720665840596788,0.3516097535351573,0.25,0.00048828125,0.005096435546875,11,12
2,0.6556151497797842,0.41076856652772464,0.5,0.00048828125,0.005096435546875,11,12
3,0.779230363149115,0.6777408568803986,0.75,0.00244140625,0.015681340144230768,11,12
4,0.9971184128351136,0.6298062287245665,1.0,0.00048828125,0.005096435546875,11,12
