depth bin,avg,stdev,norm_depths,p-value,corrected p-value,df,N
0,0.06292608464773912,0.33134130134264766,0.0,0.5341796875,0.8017986240671642,11,12
1,-0.004090484498474674,0.3936843747740558,0.25,0.97412109375,0.9883796938004032,11,12
2,0.15977990871787362,0.44436858811643276,0.5,0.2548828125,0.5454704122340426,11,12
3,0.06680879869380689,0.45356275863676965,0.75,0.6259765625,0.8489284206081081,11,12
4,0.028053710259282678,0.5578566307308628,1.0,0.873046875,0.9655551531456953,11,12
