label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,0.01,6.00,0.90,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,1.81,6.00,0.84,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,3.61,4.00,0.88,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,5.41,4.00,0.89,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,6.91,4.00,0.79,r,0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,8.11,6.00,0.83,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,9.61,6.00,0.79,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,10.81,6.00,0.76,b,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,12.31,4.00,0.81,b,0
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,13.81,6.00,0.86,r,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,15.61,6.00,0.97,r,0
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,17.41,8.00,1.02,r,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,18.91,8.00,0.88,b,0
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,20.11,12.00,0.89,b,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,21.31,12.00,0.89,r,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,22.81,12.00,0.94,r,1
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,24.61,8.00,0.90,r,1
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,25.81,8.00,0.90,b,1
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,27.61,8.00,0.99,b,1
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,29.41,6.00,1.07,[],0
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,30.61,8.00,0.93,b,0
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,31.81,12.00,1.07,[],0
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,33.61,16.00,1.02,b,1
surround_180,90.00,180.00,0.00,0.00,0.0000,0.40,34.81,16.00,1.07,[],0
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,36.61,16.00,0.85,r,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,38.41,16.00,1.02,b,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,39.91,16.00,0.79,b,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,41.11,12.00,1.07,[],0
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,42.31,16.00,1.07,[],0
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,44.11,16.00,1.07,[],0
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,45.31,16.00,0.77,r,0
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,46.81,16.00,0.75,b,0
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,48.01,16.00,0.85,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,49.51,16.00,0.80,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,50.71,16.00,1.04,[],0
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,51.91,16.00,0.74,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,53.71,16.00,0.76,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,55.51,16.00,0.89,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,57.01,12.00,1.00,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,58.81,12.00,1.03,[],0
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,60.01,16.00,0.82,b,0
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,61.51,16.00,1.00,b,1
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,63.01,16.00,1.03,[],0
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,64.51,16.00,0.97,b,1
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,66.31,16.00,1.03,[],0
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,67.81,16.00,0.83,r,1
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,69.31,16.00,0.77,b,1
rest_22,22.50,112.50,0.00,0.00,0.0000,0.40,70.81,16.00,0.88,b,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,72.31,12.00,1.06,[],0
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,74.11,16.00,0.94,r,0
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,75.61,16.00,0.84,r,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,76.81,16.00,0.86,b,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,78.61,16.00,0.95,b,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,80.11,12.00,0.88,r,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,81.61,12.00,0.81,b,1
surround_112,22.50,112.50,0.00,0.00,0.0000,0.40,82.81,12.00,1.01,b,1
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,84.31,8.00,0.88,r,0
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,85.81,12.00,0.97,b,1
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,87.01,12.00,1.06,[],0
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,88.21,16.00,1.06,[],0
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,89.41,16.00,1.06,[],0
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,91.21,16.00,0.85,r,1
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,93.01,16.00,0.74,b,1
iso_90,90.00,90.00,0.00,0.00,0.4000,0.40,94.81,16.00,0.85,r,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,96.61,12.00,0.97,b,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,98.11,12.00,0.91,r,0
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,99.91,16.00,0.74,b,0
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,101.41,16.00,0.85,b,1
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,102.61,16.00,1.04,[],0
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,104.11,16.00,1.04,[],0
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,105.31,16.00,1.03,[],0
iso90_112,112.50,112.50,0.25,0.00,0.4000,0.40,106.81,16.00,1.04,[],0
orth_90,90.00,180.00,0.00,0.00,0.4000,0.40,108.31,16.00,1.04,[],0
