,subj,roi,cond,depth,radius_band,accuracy,nVoxels
134,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,2-Jan,0.3112307692307692,10
135,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2-Jan,0.29982051282051286,10
136,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,3-Feb,0.31079487179487175,10
137,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3-Feb,0.32424358974358974,10
138,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,4-Mar,0.2739615384615385,10
139,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4-Mar,0.30206410256410254,10
140,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,5-Apr,0.29942307692307696,10
141,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5-Apr,0.26161538461538464,10
142,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,6-May,0.2573974358974359,10
143,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,superficial,6-May,0.23296153846153847,10
180,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-1,0.19551282051282054,8
181,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-1,0.1717948717948718,8
182,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,deep,2-Jan,0.12001282051282053,10
183,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,deep,2-Jan,0.14525641025641028,10
184,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,deep,3-Feb,0.19793589743589746,10
185,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,deep,3-Feb,0.2628846153846154,10
186,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,deep,4-Mar,0.20206410256410254,10
187,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,deep,4-Mar,0.18485897435897436,10
188,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,deep,5-Apr,0.16153846153846158,10
189,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,deep,5-Apr,0.15153846153846154,10
190,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,deep,6-May,0.17097435897435898,10
191,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,deep,6-May,0.20148717948717948,10
192,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,middle,0-1,0.19487179487179485,7
193,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,middle,0-1,0.21025641025641023,7
194,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,middle,2-Jan,0.20571794871794874,10
195,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,middle,2-Jan,0.16991025641025645,10
196,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,middle,3-Feb,0.20951282051282052,10
197,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,middle,3-Feb,0.2173717948717949,10
198,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,middle,4-Mar,0.18284615384615385,10
199,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,middle,4-Mar,0.20955128205128207,10
200,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,middle,5-Apr,0.17078205128205132,10
201,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,middle,5-Apr,0.22765384615384615,10
202,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,middle,6-May,0.1874871794871795,10
203,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,middle,6-May,0.2005897435897436,10
204,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,0-1,0.1807692307692308,6
205,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0-1,0.2576923076923077,6
206,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,2-Jan,0.21388461538461537,10
207,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2-Jan,0.17984615384615385,10
208,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,3-Feb,0.18389743589743587,10
209,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3-Feb,0.1868589743589744,10
210,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,4-Mar,0.18901282051282053,10
211,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4-Mar,0.1807051282051282,10
212,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,5-Apr,0.1782692307692308,10
213,pnr328,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5-Apr,0.19046153846153846,10
214,pnr328,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,6-May,0.19902564102564108,10
