,subj,roi,cond,depth,radius_band,accuracy,nVoxels
54,pnr161,V1_tgt_rh_rad10_filled_deveined,center,deep,0-2,0.22666666666666666,30.0
55,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,deep,0-2,0.22000000000000003,30.0
56,pnr161,V1_tgt_rh_rad10_filled_deveined,center,deep,2-4,0.14777777777777776,30.0
57,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,deep,2-4,0.31444444444444447,30.0
58,pnr161,V1_tgt_rh_rad10_filled_deveined,center,deep,4-6,0.26,30.0
59,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,deep,4-6,0.35666666666666663,30.0
60,pnr161,V1_tgt_rh_rad10_filled_deveined,center,middle,0-2,0.2611111111111112,30.0
61,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,middle,0-2,0.40666666666666673,30.0
62,pnr161,V1_tgt_rh_rad10_filled_deveined,center,middle,2-4,0.33444444444444443,30.0
63,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,middle,2-4,0.31555555555555553,30.0
64,pnr161,V1_tgt_rh_rad10_filled_deveined,center,middle,4-6,0.2722222222222222,30.0
65,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,middle,4-6,0.25222222222222224,30.0
66,pnr161,V1_tgt_rh_rad10_filled_deveined,center,superficial,0-2,0.32222222222222224,30.0
67,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,superficial,0-2,0.3511111111111111,30.0
68,pnr161,V1_tgt_rh_rad10_filled_deveined,center,superficial,2-4,0.36333333333333334,30.0
69,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,superficial,2-4,0.3777777777777778,30.0
70,pnr161,V1_tgt_rh_rad10_filled_deveined,center,superficial,4-6,0.2511111111111112,30.0
71,pnr161,V1_tgt_rh_rad10_filled_deveined,surround,superficial,4-6,0.20111111111111116,30.0
72,pnr256,V1_tgt_lh_rad10_filled_deveined,center,deep,0-2,0.5755555555555556,30.0
73,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,deep,0-2,0.40555555555555556,30.0
74,pnr256,V1_tgt_lh_rad10_filled_deveined,center,deep,2-4,0.44666666666666666,30.0
75,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,deep,2-4,0.45888888888888885,30.0
76,pnr256,V1_tgt_lh_rad10_filled_deveined,center,deep,4-6,0.38333333333333336,30.0
77,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,deep,4-6,0.39333333333333337,30.0
78,pnr256,V1_tgt_lh_rad10_filled_deveined,center,middle,0-2,0.5599999999999999,30.0
79,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,middle,0-2,0.5955555555555556,30.0
80,pnr256,V1_tgt_lh_rad10_filled_deveined,center,middle,2-4,0.5311111111111112,30.0
81,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,middle,2-4,0.5,30.0
82,pnr256,V1_tgt_lh_rad10_filled_deveined,center,middle,4-6,0.5411111111111111,30.0
83,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,middle,4-6,0.42666666666666664,30.0
84,pnr256,V1_tgt_lh_rad10_filled_deveined,center,superficial,0-2,0.6755555555555557,29.0
85,pnr256,V1_tgt_lh_rad10_filled_deveined,surround,superficial,0-2,0.5711111111111111,29.0
