effect,condition,F Value,Num DF,Den DF,Pr > F
depth,iso0,23.52253082159902,2.0,20.0,5.579971907544511e-06
radius_band,iso0,1.3146616210873183,5.0,50.0,0.273016009397053
depth:radius_band,iso0,1.0888826661611684,10.0,100.0,0.3779937736539674
depth,sur,13.515232996616193,2.0,20.0,0.0001934225647440955
radius_band,sur,3.319675298082346,5.0,50.0,0.011496497468835973
depth:radius_band,sur,2.6997365254975847,10.0,100.0,0.005682488538027663
