subj,roi,cond,depth,radius_band,accuracy,nVoxels
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.285166667,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.285961538,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.277051282,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.226923077,5
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.257051282,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.309782051,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.274769231,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.268974359,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.271512821,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.124358974,4
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.362564103,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.308897436,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.288820513,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.283794872,10
pnr510,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.32,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.170512821,8
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.300858974,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.27,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.261141026,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.225807692,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.223230769,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.29,8
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.196782051,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.297012821,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.253589744,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.260128205,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.242397436,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.330128205,7
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.326166667,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.270269231,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.260705128,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.270012821,10
pnr579,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.26424359,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.23,8
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.201884615,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.182589744,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.200166667,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.161115385,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.171141026,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.210897436,7
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.215807692,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.278538462,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.206448718,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.199833333,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.234730769,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.257692308,6
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.299230769,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.271846154,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.193192308,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.211717949,10
pnr668,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.218012821,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.166666667,8
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.166910256,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.217423077,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.264217949,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.275910256,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.281371795,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.147435897,7
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.282051282,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.283115385,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.308576923,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.311833333,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.283115385,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.171794872,6
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.255397436,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.275576923,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.342769231,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.325217949,10
pnr713,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.311833333,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.287179487,6
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.353807692,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.344692308,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.329948718,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.167628205,10
pnr739,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.219628205,10
