,subj,roi,cond,depth,radius_band,accuracy,nVoxels
54,pnr143,V1_tgt_rh_rad10_filled_deveined,center,middle,3-4,0.2688888888888889,10.0
55,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,middle,3-4,0.33444444444444443,10.0
56,pnr143,V1_tgt_rh_rad10_filled_deveined,center,middle,4-5,0.3211111111111111,10.0
57,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,middle,4-5,0.33111111111111113,10.0
58,pnr143,V1_tgt_rh_rad10_filled_deveined,center,middle,5-6,0.2611111111111111,10.0
59,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,middle,5-6,0.2611111111111112,10.0
60,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,0-1,0.3022222222222222,6.0
61,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,0-1,0.31333333333333335,6.0
62,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,1-2,0.27222222222222225,10.0
63,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,1-2,0.24888888888888888,10.0
64,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,2-3,0.31,10.0
65,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,2-3,0.3088888888888889,10.0
66,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,3-4,0.36444444444444446,10.0
67,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,3-4,0.3211111111111111,10.0
68,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,4-5,0.29888888888888887,10.0
69,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,4-5,0.4566666666666667,10.0
70,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,5-6,0.28,10.0
71,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,5-6,0.3211111111111111,10.0
72,pnr161,V1_tgt_lh_rad10_filled_deveined,center,deep,0-1,0.18,10.0
73,pnr161,V1_tgt_lh_rad10_filled_deveined,surround,deep,0-1,0.15555555555555559,10.0
74,pnr161,V1_tgt_lh_rad10_filled_deveined,center,deep,1-2,0.15555555555555559,10.0
75,pnr161,V1_tgt_lh_rad10_filled_deveined,surround,deep,1-2,0.2111111111111111,10.0
76,pnr161,V1_tgt_lh_rad10_filled_deveined,center,deep,2-3,0.15777777777777777,10.0
77,pnr161,V1_tgt_lh_rad10_filled_deveined,surround,deep,2-3,0.2088888888888889,10.0
