,subj,roi,cond,depth,radius_band,accuracy,nVoxels
93,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.287051282,10
94,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,middle,6-May,0.291782051,10
95,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.253871795,10
96,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-1,0.248717949,6
97,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.255769231,6
98,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-Jan,0.295102564,10
99,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.327884615,10
100,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,3-Feb,0.266128205,10
101,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.308948718,10
102,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-Mar,0.307884615,10
103,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.337717949,10
104,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,5-Apr,0.309012821,10
105,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.347871795,10
106,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,6-May,0.291384615,10
107,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.290269231,10
144,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-1,0.119141026,10
145,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.128576923,10
146,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-Jan,0.157679487,10
147,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.213064103,10
148,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,deep,3-Feb,0.154846154,10
149,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.188615385,10
150,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-Mar,0.142115385,10
151,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.195487179,10
152,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,deep,5-Apr,0.176730769,10
153,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.161679487,10
154,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,deep,6-May,0.149038462,10
155,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.158564103,10
156,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-1,0.154384615,10
157,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.175,10
158,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-Jan,0.161948718,10
159,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.157192308,10
160,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,middle,3-Feb,0.190641026,10
161,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.191269231,10
162,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-Mar,0.155064103,10
163,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.191935897,10
164,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,middle,5-Apr,0.141179487,10
165,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.138384615,10
166,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,middle,6-May,0.176564103,10
167,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.157653846,10
168,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-1,0.157192308,10
169,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.157435897,10
170,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-Jan,0.1495,10
171,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.180858974,10
172,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,3-Feb,0.218307692,10
173,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.191217949,10
174,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-Mar,0.209089744,10
175,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.174102564,10
176,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,5-Apr,0.168602564,10
177,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.154205128,10
178,pnr328,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,6-May,0.178410256,10
179,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.186012821,10
216,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-1,0.162820513,5
217,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.101923077,5
218,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-Jan,0.182320513,10
219,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.172961538,10
220,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,deep,3-Feb,0.132538462,10
221,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.194384615,10
222,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-Mar,0.082512821,10
223,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.079717949,10
224,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,deep,5-Apr,0.118384615,10
225,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.131423077,10
226,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,deep,6-May,0.13475641,10
227,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.164346154,10
228,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-1,0.209615385,5
229,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.194871795,5
230,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-Jan,0.181512821,10
231,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.195602564,10
232,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,middle,3-Feb,0.178948718,10
233,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.161923077,10
234,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-Mar,0.108987179,10
235,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.134474359,10
236,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,middle,5-Apr,0.043551282,10
237,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.058884615,10
238,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,middle,6-May,0.078230769,10
239,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.098192308,10
240,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-1,0.195512821,4
241,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.11025641,4
242,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-Jan,0.190435897,10
243,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.159717949,10
244,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,3-Feb,0.183333333,10
245,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.191179487,10
246,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-Mar,0.197974359,10
247,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.174307692,10
248,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,5-Apr,0.084269231,10
249,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.085538462,10
250,pnr495,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,6-May,0.080448718,10
251,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.066128205,10
288,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-1,0.226461538,10
289,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.232653846,10
