effect,condition,F Value,Num DF,Den DF,Pr > F
depth,iso0,22.647305731911317,2.0,18.0,1.2166114555304213e-05
radius_band,iso0,2.558180088632655,5.0,45.0,0.04037727074367553
depth:radius_band,iso0,0.564759175505503,10.0,90.0,0.8384453682803231
depth,sur,18.965046123066855,2.0,18.0,3.703759047585524e-05
radius_band,sur,3.3871202597359296,5.0,45.0,0.011091708964005968
depth:radius_band,sur,0.4648514283837171,10.0,90.0,0.90841425912782
