,x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,NULL.1,theta first half all,theta first half F,tgt_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,NULL.2,theta second half all,theta second half F,tgt_theta_second_half p-val,sur_theta p-val,sur_theta_first_half p-val,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
24,-93.84,36.7,1.0,0.29,6.86,82.0,-46.03133392,-52.86601639,-39.06266022,-29.21152687,-41.79288483,7.75514364,0.00547532,142.41,-31.55937767,-46.460186,-71.12076569,-20.70330238,13.35064983,-130.87976074,-24.0574131,-53.04247284,-27.84127808,-43.54684448,8.35584736,0.00394321,-22.23304939,-93.90328979,-85.68338013,-62.48505783,-72.36165619,0.3921304,-345.7144165,-158.32420349,-90.10243988,-103.27610779,10.48876381,0.00130613,-1.33738089,-1.0682739,-1.0859375,0.76023746,0.39512712,2.5455606,1.84078288,1.9889462,-0.89273775,0.349242,0.21913055,0.63993187,0.00635989,0.00183874,0.70723661,-1.85470712,6.15866518,-15.37541866,-113.92537689,-4.54078388,10.46241951,-254.83940125,-63.71987152,-26.25457001,1.84429932,0.17481209,-56.87195969,-95.72595978,-40.19422913,-6.57888603,-53.02858734,44.88704681,-6.70200491,-81.52725983,-7.55013037,0.15309791,0.6956914,-15.15460587,-68.19477844,1.37886834,-21.87722206,-29.84088135,-8.74121475,-135.82484436,-70.79360199,-16.01644516,0.69308299,0.40535406,6.9149518,1.78497994,-5.12997198,3.3340261,0.06905815,30.91211128,32.98857117,2.07646132,0.49530086,4.53,4.32
25,-92.73,36.13,0.0,0.22,5.0,85.0,6.04850292,7.90920305,-3.68719888,5.85773897,4.03206158,5.65347385,0.01764161,16.09,6.90473557,6.30114985,-6.34964371,5.70286179,2.21092534,1.78941941,2.31280112,9.52543259,6.25819445,3.84680223,4.9424386,0.02646949,9.39227962,-16.41624641,-4.87265778,13.16259003,12.31297779,-7.4452672,20.81280899,14.2761097,15.27718258,6.27147532,3.99648571,0.04630323,2.61023903,2.68051028,0.46997279,1.45394671,1.2017535,2.73102093,-0.96375114,1.0144794,0.93930662,1.34726012,2.64820886,0.10437287,0.01784455,0.02523412,0.11706662,16.84700012,12.70216179,14.16346741,6.47080183,-4.03279161,5.48964119,2.91360188,8.03839493,1.9854579,0.81091511,0.36810762,5.25800085,-36.53317642,3.71351123,7.10474491,-7.48006058,-9.2103672,-1.64251101,10.254426,-9.83258915,22.16447449,2.93e-06,7.89307499,3.79371595,-10.44057274,6.46654987,13.61120319,8.45335865,14.86209202,1.20181715,0.05478104,0.0006898,0.97905297,1.79419768,-2.06131697,-3.85551476,3.91109896,0.0490709,-14.58431816,-33.58723068,-19.00291443,4.44833708,4.44,4.43
26,-93.59,37.65,1.0,0.12,6.91,84.0,0.28534198,-2.11039472,-0.94483048,0.5382449,-0.55790961,0.43694812,0.5087787,8.01,-1.66181886,2.12112045,0.22459213,2.17800689,-4.04057026,-2.06449652,1.58964419,-4.25174522,0.62039137,-0.58662122,0.48170727,0.48784122,-5.02301693,2.49590969,1.15533412,-5.58849096,1.64031482,0.65752816,-0.13952594,-5.89339256,-0.66432607,-1.26092291,0.75404835,0.38574273,0.53007448,1.09457731,1.33088934,-2.60333657,-0.6594792,-0.93707359,-3.88713574,-0.62987614,0.40542427,-0.59450889,0.3881956,0.53356786,0.76874586,0.70328033,0.59692628,-0.33325958,4.75767279,-2.26449084,-8.91512012,3.92294669,1.84973192,-2.02659297,-12.02107525,-2.57301974,5.6848464,0.01733285,-0.19125253,1.82315803,-2.15335751,-2.86095667,1.72197461,-0.07987097,-5.37246561,-0.86793858,-1.52243364,1.96611118,0.16123023,-6.21337175,1.37748742,9.56023788,-1.84671938,0.61809629,-0.62084812,0.78705454,-0.78124857,-0.19720939,0.03395607,0.85384472,-0.04951885,-2.38144636,-2.33192754,4.35695219,0.03787514,-1.35265684,-2.65542531,-1.30276859,1.35136688,4.39,4.4
27,-92.74,36.89,5.0,0.3,5.34,73.0,-42.8193512,-49.80231857,-35.53848267,-26.99579048,-38.78898621,7.7117362,0.00560731,132.55,-20.24754715,-30.73323441,-66.03417206,9.33494473,-19.25533104,-47.1657753,-43.41672516,-120.73384094,-25.67045212,-40.39535522,8.28927517,0.00408892,-21.05558395,-81.79524994,-82.17414093,-57.99616241,-71.2243042,-2.91501164,-315.18386841,-148.05570984,-82.54880524,-95.787323,10.31120968,0.00143426,2.5307796,-2.21232605,1.67737651,-0.59683454,0.44321761,0.82469618,-1.19974828,0.99693859,-0.66182393,0.20005259,0.06135184,0.80448591,0.00655962,0.00203253,0.96448766,-2.41219497,6.33545208,-17.63685799,-105.85869598,-8.7964983,10.43601799,-234.96220398,-58.58416367,-25.1827774,1.956797,0.16222496,-48.7626152,-81.86672974,-36.82699585,-7.39718866,-45.71695328,34.40540695,-8.62542057,-75.30613708,-6.6118269,0.13525133,0.71314077,-10.53490734,-64.16635132,3.50254655,-20.15237808,-30.26594353,-11.96885014,-123.40737915,-66.70449066,-15.081563,0.70921189,0.39994499,11.3176918,8.38837242,-2.92931914,1.14642406,0.28533572,33.81271744,38.16641617,4.35370064,2.40822458,4.53,4.32
28,-92.73,37.55,3.0,0.24,5.61,84.0,3.41502261,6.75377989,-2.51263666,5.50621176,3.29059434,4.24672318,0.03963062,15.15,-1.60659659,2.70857263,4.95519018,4.63592863,4.17394114,7.01417732,-7.00336218,5.41257763,5.66966438,2.88157034,3.17075896,0.07532765,6.05273533,-16.90921783,-10.89120007,9.000947,12.60318375,-0.28978407,14.24661064,9.88970852,12.18172359,3.98320246,1.64203632,0.20082359,3.2796185,1.75801229,0.47973105,3.22789741,1.88225532,0.07480039,0.30510408,2.71980977,1.15892923,1.65236354,3.69044614,0.05536209,0.04415162,0.17059697,0.07524642,14.53610134,9.11665154,7.32482529,8.1408453,-1.47892082,4.96713877,4.1012044,6.97276402,1.26191854,0.36644202,0.5451134,2.75284529,-33.13478088,1.72028959,4.3208456,-1.48979759,-1.91251886,-1.90936005,11.39216042,-8.05147934,16.54031754,5.21e-05,4.88877773,2.08219147,-11.84440422,3.15929651,12.12745476,5.01367617,11.27008438,-1.76731622,-2.23116994,1.20936692,0.27177223,5.05426359,2.67819571,-2.37606788,1.4912312,0.22318053,11.56113338,-0.10807712,-11.66921043,1.89335072,4.44,4.43
29,-92.73,37.55,3.0,0.15,5.61,96.0,0.32407224,-0.72839576,1.87158656,2.74736142,1.0536561,1.66442752,0.19735828,7.75,-4.55938959,0.84003133,1.0847342,-1.38691008,2.13293529,-0.09596682,6.08915329,-0.54147953,2.65678191,0.69040775,0.72307819,0.39537751,-4.57469368,7.00441122,0.85668129,-0.46794254,1.25954938,2.16627622,-1.20754802,-10.92187119,3.11428213,-0.30756488,0.05005119,0.82309382,1.89046347,5.0231843,0.33612886,1.45660043,-0.80489796,0.87390023,-0.49734175,2.05926704,0.67690927,1.22257781,1.80930889,0.1792747,0.13991193,0.6279827,0.19880494,-3.79146385,8.89784622,-2.92487431,-0.47279015,1.50418484,2.46791291,-1.32463622,-9.98061275,-3.53414822,11.39182186,0.00077147,2.66445947,6.32854128,-1.7208339,-0.45695695,4.28465414,4.05822372,-0.33841553,0.03564963,-0.8446008,0.64955455,0.42049981,-5.27540112,4.80461788,6.7371068,-0.7493192,-0.04077774,0.67171556,0.68192703,-4.48802614,-2.42866516,5.4998188,0.01925004,1.7011553,0.1596982,-1.54145706,1.84372675,0.17574396,4.38134146,6.81980228,2.43846059,4.08422613,4.39,4.4
30,-92.14,36.28,3.0,0.27,4.2,75.0,-0.5022198,0.08007377,-0.86511904,-1.74825752,-0.75888062,1.5155164,0.21864058,5.85,-0.31221554,0.16006476,0.10621991,-0.47214252,-0.79119658,-1.47196245,-0.98984379,0.11044083,-1.76265693,-0.60198545,0.92483073,0.33648552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.84450686,-0.34574452,-1.29736245,-3.34704876,-1.17500854,1.18333888,-1.46393883,-1.43080115,-2.28540015,-1.22171843,1.12328207,0.28978646,0.1686319,1.0,0.178481,-0.31021234,0.88878971,-0.13098693,-0.35205507,0.65005183,0.34438282,0.7584641,-0.98512185,1.84017754,5.18713284,0.02300497,-1.49108863,0.29250979,-1.98487294,-1.97819829,-1.41474259,-0.16840282,-2.36016655,1.75783885,0.85144526,1.14899385,0.28406737,2.5913651,-0.27903694,-0.96561652,-2.53371191,-1.68915224,0.15295161,0.31951606,-1.61258852,1.27309799,2.58786821,0.10806048,18.51647186,19.15536308,0.63889039,0.04626126,0.82987765,-4.95347023,-3.60220504,1.35126519,4.35127544,4.63,3.98
31,-92.44,36.91,6.0,0.26,4.92,79.0,-52.20768738,-70.17383575,-43.78436279,-34.5955162,-50.19034958,11.06171036,0.00091916,143.2,-25.43640518,-146.60284424,-74.72368622,-33.6708107,-64.8946991,-42.55559158,-51.78025055,2.46513915,-33.32487106,-52.22816849,11.88540077,0.00059377,-54.34165573,-124.54188538,-134.45011902,-70.68781281,-52.47782516,-33.73335266,-372.60787964,-157.38270569,-102.47162628,-122.39913177,14.90955544,0.00013243,1.36976933,0.28076264,-0.04098492,-0.60918283,1.80956209,2.93859959,-0.34151134,-0.03379942,0.73733729,0.67827135,0.64825422,0.42116655,0.00130644,0.00031935,0.32465285,-52.63004684,18.00771904,-47.88519287,-128.61994934,-18.33307648,0.96693909,-266.76657104,-79.24476624,-38.29759598,3.87835145,0.04924044,-55.71474075,-121.50421906,-65.97509766,-16.10793304,-2.00218272,40.43335724,-22.07600784,-84.51056671,-5.80479622,0.08974244,0.76457886,1.03169668,-85.72245026,-5.40696669,-13.79107666,-40.24557114,-29.1611557,-151.05993652,-67.70417786,-16.8763237,0.76301581,0.38263573,13.36316967,13.6328373,0.26966807,0.01094512,0.91676243,27.57103157,31.26987839,3.69884849,1.64699137,4.58,4.09
32,-92.44,36.91,3.0,0.22,4.92,89.0,3.1836524,5.34209776,1.46072781,5.22612667,3.80315113,8.23051357,0.00422148,12.58,4.36027384,0.17661305,6.53198242,3.20891905,4.76914406,0.24257453,2.09430504,4.4374733,5.25533438,3.44950485,6.58075237,0.01048067,5.76652956,1.02233219,-3.9084444,8.41058445,13.58125687,-1.01407158,0.98867947,12.89701748,13.23809338,5.65899944,5.25237751,0.02246018,1.41206193,0.78990561,0.53448057,1.6298542,2.5620749,2.86193204,1.50059724,-0.1101353,0.28097197,1.27225351,1.75205636,0.18629649,0.00618381,0.0204668,0.22134067,12.40512466,7.95584059,7.01179123,10.52528,-4.31618261,2.71092415,-1.84665525,6.21970844,-0.00875353,0.0,1.0,3.88216782,-8.34568787,4.84564447,-2.31303596,4.44743061,2.90491986,-0.58958155,7.80391312,-3.75867033,4.89884615,0.02714238,4.14350128,5.9053793,-10.22186661,4.05223227,11.9364233,2.99354076,3.05650115,1.47754538,-2.21479297,1.7289592,0.1889023,6.61107397,6.48046255,-0.13061121,0.00482223,0.94469329,8.88254642,2.80675459,-6.07579184,0.60908103,4.5,4.06
33,-91.55,36.91,0.0,0.14,3.62,110.0,1.66379464,0.25163957,1.40240729,2.53878975,1.46415782,3.03077602,0.08206162,7.98,0.64275289,0.10037859,-2.23765731,3.42265177,1.44643283,1.34643364,0.84024429,3.46766567,2.53303075,1.28337455,2.28781271,0.13076835,-3.97953033,2.82476807,1.73152089,-1.46081316,0.32065797,1.25621104,-1.51124954,-9.42186832,1.17424905,-1.00633204,0.50696242,0.47689138,1.86675644,2.67069864,0.91905105,3.1109817,0.44311231,4.70064402,1.66268647,4.6202116,2.69284725,2.51825595,6.8455677,0.00918775,0.05675838,0.85544596,0.00494062,0.63922155,4.91686106,0.1622739,-3.71998549,6.00620604,3.58400345,0.72700155,-9.21564674,-2.2602303,4.34800529,0.03735336,1.99009001,4.55269003,-1.41660726,-0.38220412,-0.49693176,5.49711323,-0.76377535,1.80627382,-1.17925489,1.18940854,0.27576126,-4.15487862,2.46028495,5.22855234,5.42885923,-0.49481806,2.17280722,2.57737374,0.00254562,-0.90081608,0.70283777,0.40207001,2.35437584,2.0674355,-0.28694022,0.06600479,0.79745734,7.48660326,6.78362226,-0.70298088,0.33830592,4.44,4.05
