,subj,roi,cond,depth,radius_band,accuracy,nVoxels
225,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.131423077,10
227,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.164346154,10
229,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.194871795,5
231,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.195602564,10
233,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.161923077,10
235,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.134474359,10
237,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.058884615,10
239,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.098192308,10
241,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.11025641,4
243,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.159717949,10
245,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.191179487,10
247,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.174307692,10
249,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.085538462,10
251,pnr495,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.066128205,10
289,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.232653846,10
291,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.253935897,10
293,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.241333333,10
295,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.243858974,10
297,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.220320513,10
299,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.235358974,10
301,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.265884615,10
303,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.275910256,10
305,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.306910256,10
307,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.246666667,10
309,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.234871795,10
311,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.254448718,10
313,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.333628205,10
315,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.339807692,10
317,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.283653846,10
319,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.251589744,10
321,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.262089744,10
323,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.291551282,10
361,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.250641026,10
363,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.291807692,10
365,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.255179487,10
367,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.268423077,10
369,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.236384615,10
371,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.24174359,10
373,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.359615385,9
375,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.255974359,10
377,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.291525641,10
379,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.293641026,10
381,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.259141026,10
383,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.294192308,10
385,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.280128205,8
387,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.294410256,10
389,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.305141026,10
391,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.314397436,10
393,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.291205128,10
395,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.280794872,10
433,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.196153846,4
435,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.253346154,10
437,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.254538462,10
439,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.232192308,10
441,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.24,10
443,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.252538462,10
445,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.187820513,3
447,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.262653846,10
449,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.270153846,10
451,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.261102564,10
453,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.269589744,10
455,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.254358974,10
457,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.178846154,3
459,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.246692308,10
461,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.276,10
463,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.264833333,10
465,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.247217949,10
467,pnr668,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.266910256,10
505,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.147435897,10
507,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.168679487,10
509,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.181564103,10
511,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.200858974,10
513,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.194807692,10
515,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.178717949,10
517,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.208653846,10
519,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.2305,10
521,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.254282051,10
523,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.259923077,10
525,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.23724359,10
527,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.209871795,10
529,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.272179487,10
531,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.310512821,10
533,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.310346154,10
535,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.307653846,10
537,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.267038462,10
539,pnr713,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.228807692,10
577,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.171794872,6
579,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.282692308,10
581,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.270910256,10
583,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.287051282,10
585,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.253128205,10
587,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.282935897,10
589,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.25,6
591,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.323948718,10
593,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.241217949,10
595,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.267128205,10
597,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.302615385,10
599,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.279179487,10
601,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.180769231,5
603,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.32074359,10
605,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.300115385,10
607,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.324692308,10
609,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.30175641,10
611,pnr739,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.317320513,10
649,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.25,10
651,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.26825641,10
653,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.288115385,10
655,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.309641026,10
657,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.274987179,10
659,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.302884615,10
661,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.391025641,9
663,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.309192308,10
665,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.383820513,10
667,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.326935897,10
669,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.307371795,10
671,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.322205128,10
673,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.385897436,8
675,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.457179487,10
677,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.392461538,10
679,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.333858974,10
681,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.368397436,10
683,pnr756,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.344423077,10
721,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.115551282,10
723,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.239525641,10
725,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.143435897,10
727,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.193128205,10
729,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.165846154,10
731,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.226474359,10
733,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.154717949,10
735,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.163628205,10
737,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.161294872,10
739,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.182358974,10
741,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.200474359,10
743,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.2005,10
745,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.185705128,10
747,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.181307692,10
749,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.166410256,10
751,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.20124359,10
753,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.230935897,10
755,pnr822,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.227153846,10
