x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
3.14,-6.68,0.00,0.22,88.00,139.00,3.00,5.10,151.00,25.25,0.82,-1.34297884,-1.24831510,-0.48104340,-1.15377688,-1.05652857,6.60537481,0.01032594,4.12,-0.05236453,-0.46011552,-0.60799140,-2.81023622,-1.57282782,-1.09685695,-0.98091310,-0.16653399,-1.08157051,-0.98006451,5.60982895,0.01807014,0.07447987,-1.30189931,-1.37637925,21.37039757,0.00000582,-3.35842252,-2.69354129,0.66488117,0.48068106,6.28,0.00,
-8.22,3.28,13.00,0.60,88.00,139.00,17.00,8.35,158.00,16.68,0.68,5.58158636,6.09150648,6.26763582,5.02408171,5.74120283,135.17715454,0.00000000,4.95,5.31087065,7.16371155,5.79661036,4.00822926,6.00469923,4.75079918,7.55568838,7.37435055,5.08835888,5.88891840,141.66252136,0.00000000,-1.72557485,-6.85271931,-5.12714434,500.45147705,0.00000000,2.86146188,-2.67650390,-5.53796577,57.58675766,3.29,1.73,
-8.15,3.21,15.00,0.88,88.00,139.00,18.00,8.28,162.00,18.86,0.73,5.12843561,4.99406815,4.09149981,4.01648283,4.55762148,79.63752747,0.00000000,5.12,4.54485703,4.36814976,5.44713926,2.63601947,4.50141478,3.87741971,5.86282635,6.42973328,4.08540154,4.63457870,81.52285004,0.00000000,-2.21517515,-6.92815971,-4.71298456,415.14935303,0.00000000,3.08811927,-0.23769094,-3.32581019,18.15646553,3.30,1.80,
4.31,-6.86,2.00,0.32,88.00,140.00,1.00,5.30,150.00,18.01,0.64,25.88770485,15.36966133,15.39636707,7.68311262,16.08421135,8.01554775,0.00474042,56.96,4.49738979,39.13054657,0.74026304,36.94925690,48.64942932,14.84790993,7.85869360,-7.01953077,6.05649948,16.83986092,8.91698837,0.00290176,4.22295952,2.13496590,-2.08799386,8.58571148,0.00367134,-1.18157077,-1.69474256,-0.51317185,0.83038384,4.32,5.01,
3.90,-6.50,0.00,0.35,88.00,140.00,2.00,4.92,156.00,24.40,0.79,0.99707359,1.08611715,0.87518162,1.13464737,1.02325499,6.27525425,0.01241811,4.10,-0.14262101,1.57830477,1.25720966,1.07282114,0.54106206,0.19754995,1.25338888,1.94900262,1.13067794,0.98095095,5.67402363,0.01742458,1.91066515,-0.14453641,-2.05520153,18.89782333,0.00001941,-4.96773481,-1.05411696,3.91361785,3.20376849,6.28,0.00,
3.61,-6.24,0.00,0.24,88.00,140.00,3.00,4.66,148.00,23.09,0.82,0.53616428,0.70482308,0.79874611,0.99725395,0.75924683,3.14444828,0.07652166,4.29,-0.54660809,1.00863957,1.15303493,-0.19182870,1.26934600,0.83260828,0.85530758,0.97763544,0.98164135,0.70371521,2.65137219,0.10381014,0.64342833,-1.01237345,-1.65580177,30.86921883,0.00000006,0.48906228,-2.79310036,-3.28216243,12.48458481,6.28,0.00,
4.67,-6.45,0.00,0.39,88.00,141.00,1.00,4.96,147.00,17.64,0.62,6.60309315,5.46714973,3.84075904,6.77205801,5.67076492,1.72306681,0.18963117,43.31,10.77859688,-4.69982529,32.76937103,2.16534090,6.97187710,-4.28599882,14.47524834,-18.23351479,7.34220886,5.24844694,1.49781597,0.22132766,6.01551914,3.10083890,-2.91468048,17.78989983,0.00003348,-2.57153916,-2.63601422,-0.06447510,0.01376870,4.34,4.88,
4.18,-6.07,3.00,0.38,88.00,141.00,2.00,4.53,150.00,20.55,0.71,0.21935393,-0.26830253,0.37641254,1.01382422,0.33532205,0.50475162,0.47760254,4.73,-1.01887548,1.45607996,-0.96622145,0.65675837,1.20408547,-0.31047073,1.32398343,-1.55029547,0.95518768,0.19427572,0.16811427,0.68189065,2.91096830,0.26605868,-2.64490962,33.27928543,0.00000002,43.64113617,40.96727753,-2.67385840,0.27012259,6.28,0.00,
3.90,-5.85,0.00,0.25,88.00,141.00,3.00,4.31,152.00,28.75,0.79,0.11302048,0.36424288,0.01491753,0.05517770,0.13683964,0.12045459,0.72862258,3.95,0.53428501,-0.15792780,-0.72058254,0.12472044,-0.18616909,1.01387417,0.37524575,0.42660832,0.06174435,0.16336964,0.16810629,0.68189779,1.14024854,-0.89609277,-2.03634119,49.53270721,0.00000000,-2.54026628,-5.89404631,-3.35378003,20.64419937,6.28,0.00,
5.01,-6.10,4.00,0.38,88.00,142.00,1.00,4.72,146.00,17.40,0.55,7.40985489,0.20984097,3.09667301,1.20224726,2.97965407,0.64110422,0.42352114,37.31,10.36901474,-15.37737179,27.14551163,-2.67278934,12.37814903,-11.16372871,3.70018291,2.37358975,1.55171704,3.14177442,0.72127789,0.39595065,7.25755596,3.55231833,-3.70523739,32.59931564,0.00000003,-0.17920133,-3.24524999,-3.06604862,23.17778969,4.34,4.88,
