x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
5.06,5.59,0.00,0.64,97.00,171.00,22.00,nan,25.00,10.04,0.73,3.71768737,4.81108999,6.78644705,4.83626080,5.03787136,32.61227798,0.00000002,9.22,5.33221006,4.73781729,3.79220223,5.92906427,3.36721516,3.46976376,8.86045074,5.05589819,4.83342743,5.03696346,31.94354630,0.00000002,-1.70810831,-4.14438152,-2.43627310,93.63435364,0.00000000,7.54268789,5.12392950,-2.41875815,2.20586824,nan,nan,
5.53,5.76,19.00,0.71,97.00,171.00,23.00,nan,29.00,4.86,0.73,5.56843996,7.74448729,9.33734322,9.93960381,8.14746857,17.86976814,0.00002598,20.13,6.15977430,6.07106352,9.96263218,-2.11727619,13.86945152,4.86177206,6.73347044,11.80746174,9.49825001,7.41997242,14.69950676,0.00013459,-1.65444851,-4.16494560,-2.51049709,84.20344543,0.00000000,22.34136200,18.06735802,-4.27400398,0.84941518,nan,nan,
3.86,6.24,20.00,0.73,97.00,172.00,20.00,nan,42.00,19.06,0.69,4.51882267,4.47220945,2.56490183,2.85540104,3.60283375,60.18064117,0.00000000,4.85,4.25569391,4.75793409,3.76835918,3.98620343,3.78682899,4.27129078,3.61857533,2.77870893,2.95345211,3.79365230,64.40658569,0.00000000,-2.59308839,-4.24432993,-1.65124142,75.60197449,0.00000000,-3.07892919,-4.20752335,-1.12859404,2.22417092,nan,nan,
4.11,6.23,0.00,0.75,97.00,172.00,21.00,nan,42.00,15.33,0.71,4.50835896,4.19995308,2.63691926,2.87113309,3.55409122,48.67070007,0.00000000,5.32,3.37356162,2.71364689,2.95726776,3.59419560,4.29612780,4.95833778,3.66339183,4.84496975,2.84225297,3.69005656,51.08589554,0.00000000,-2.35079956,-4.15745974,-1.80665994,72.93785858,0.00000000,-11.68609428,-14.32214451,-2.63605022,7.54299927,nan,nan,
4.45,6.15,19.00,0.75,97.00,172.00,22.00,nan,28.00,11.82,0.74,3.86324000,3.84649992,0.78712237,1.73924923,2.55902791,17.87111282,0.00002597,6.32,2.92940760,1.42957926,4.37412262,1.83172166,3.10451770,3.56563616,1.55250478,3.82441425,1.70311713,2.69896746,19.15192413,0.00001344,-2.16412425,-4.02564478,-1.86152029,57.58781052,0.00000000,-14.72799873,-17.08000374,-2.35200524,2.68929768,nan,nan,
3.32,6.92,0.00,0.72,97.00,173.00,20.00,nan,62.00,18.23,0.69,0.76181722,0.23995234,1.30543542,1.60136282,0.97714198,5.74292040,0.01675144,4.26,-1.75478983,1.29366660,1.40671933,-0.52683312,0.86130780,1.66183019,1.54295743,1.41648817,1.46549296,0.81771916,4.01504564,0.04538660,-2.94049215,-4.42768288,-1.48719072,59.79098129,0.00000000,-7.73126793,-10.99326992,-3.26200175,13.09240532,nan,nan,
3.68,6.94,19.00,0.74,97.00,173.00,21.00,nan,53.00,18.45,0.74,2.34050298,0.76659954,1.92648757,2.03704262,1.76765823,13.58632946,0.00024099,5.01,0.59170479,0.34297192,4.90377998,1.00063777,0.76081610,1.89216352,3.09785342,0.71111715,1.95313108,1.69321346,12.48783588,0.00042984,-2.58341575,-4.00522280,-1.42180693,48.15269852,0.00000000,-1.39644492,-2.36203623,-0.96559119,1.49168575,nan,nan,
4.08,7.02,0.00,0.75,97.00,173.00,22.00,nan,23.00,15.11,0.73,0.81794512,0.14161742,1.60462320,0.10183682,0.66650563,1.30922854,0.25282816,6.09,0.98522294,-0.84156209,0.56093287,0.13371846,2.49076653,0.02777061,2.35877895,0.79713476,0.06287331,0.72989565,1.54245341,0.21456711,-2.34822679,-3.66118670,-1.31295979,32.37039185,0.00000003,-5.44784832,-6.54104757,-1.09319913,1.00844932,nan,nan,
2.43,7.70,0.00,0.89,97.00,174.00,18.00,nan,55.00,17.58,0.68,1.41511369,0.84785777,0.69395459,1.83933830,1.19906604,8.49182606,0.00365276,4.30,-0.82241535,1.41215026,0.21578178,0.75155824,1.74287760,2.30451632,1.30135858,1.17936623,1.79519892,1.09672356,7.03174973,0.00814442,-3.29700112,-4.72909403,-1.43209302,62.93009949,0.00000000,-6.70980310,-8.67528725,-1.96548378,6.79913092,nan,nan,
2.61,7.66,21.00,0.79,97.00,174.00,19.00,nan,63.00,17.16,0.67,1.75675488,0.85794771,1.45794249,0.44911745,1.13044071,5.98969698,0.01457332,4.83,0.37214816,2.61349964,-0.61712319,2.61783719,0.91844684,2.69727802,1.75265253,1.10449088,0.49199954,1.32658648,8.18145561,0.00432713,-3.17568445,-4.62508440,-1.44939983,56.18333054,0.00000000,-6.93007278,-10.02863503,-3.09856248,9.65687275,nan,nan,
2.82,7.60,19.00,0.69,97.00,174.00,20.00,nan,58.00,19.58,0.69,1.61526728,0.90884674,0.00713048,0.62610281,0.78933680,3.28091836,0.07041151,4.55,0.62260079,0.34256926,2.28910851,-0.85921687,0.76358593,1.66862512,-0.05473564,1.76341844,0.55313516,0.78688908,3.20535374,0.07372388,-2.77921677,-4.11053848,-1.33132148,44.73472977,0.00000000,-2.03777647,-2.46391392,-0.42613748,0.24132675,nan,nan,
3.48,7.71,17.00,0.71,97.00,174.00,21.00,nan,44.00,17.36,0.70,0.77545619,-0.18669023,0.65154803,0.94670707,0.54675525,1.39015985,0.23867901,4.84,-0.38470170,2.45150304,2.72847462,-0.97857511,-1.02430725,0.95055115,1.14130783,-1.54185700,0.94743711,0.47617140,1.06652665,0.30200066,-2.41241217,-3.55173254,-1.13932025,31.09253120,0.00000006,-9.68142319,-10.45378685,-0.77236342,0.82450837,nan,nan,
4.00,7.77,20.00,0.71,97.00,174.00,22.00,nan,26.00,15.12,0.71,1.67742538,0.81532168,0.51684046,0.22096509,0.80763817,1.63299239,0.20160785,6.60,1.62229812,0.33113369,-0.07101993,1.10704422,1.64445806,1.02287507,2.14650846,0.46537849,0.28505245,0.94946390,2.20402884,0.13799050,-2.31812453,-3.27223778,-0.95411336,18.34579468,0.00002529,7.30252647,6.31748581,-0.98504072,0.98513353,nan,nan,
2.03,8.25,0.00,0.84,97.00,175.00,18.00,nan,74.00,18.12,0.71,1.82797885,1.09555924,1.02680099,1.39799452,1.33708346,10.36604214,0.00132793,4.34,0.70752156,1.62503123,0.82480371,2.60727644,0.62125123,1.48987246,1.58806491,1.47780466,1.43538237,1.37384796,10.71511650,0.00110195,-3.12603378,-4.59862423,-1.47259021,57.35021210,0.00000000,-3.45982552,-5.13500786,-1.67518210,4.05071449,nan,nan,
