x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-3.67,-3.24,0.00,0.30,72.00,144.00,1.00,11.57,64.00,17.63,0.65,1.20392299,1.23599565,0.91797125,0.51393896,0.96795720,2.54640532,0.11088452,6.34,2.02668643,1.06153095,1.42753053,0.40699619,0.73799747,1.19895196,0.58117181,1.38088119,0.51494336,1.03637254,2.85096097,0.09165567,0.38223112,-0.11438634,-0.49661744,14.17126656,0.00020309,3.66792345,3.23246026,-0.43546307,0.16959697,nan,nan,
-3.44,-3.21,0.00,0.25,72.00,144.00,2.00,11.22,65.00,20.07,0.63,-0.07835435,-0.24398279,-0.44389737,0.04195473,-0.18106996,0.13608654,0.71228673,5.13,-0.10573865,0.92519134,-1.01833320,-0.90287870,-0.05183118,-0.90386045,1.14547384,-1.07241535,0.11285556,-0.20774060,0.17629103,0.67467753,0.88949525,0.45705095,-0.43244430,12.92916489,0.00038180,1.61883414,1.68464494,0.06581082,0.00552784,nan,nan,
-3.85,-2.72,0.00,0.32,72.00,145.00,1.00,11.97,60.00,17.15,0.63,-0.32216933,-0.98490173,-0.17764838,-0.95933551,-0.61101371,1.30368233,0.25383496,5.59,-0.63855946,0.07130471,0.91762352,-1.10216904,0.32956252,-1.26975989,-0.50936300,-1.82756627,-0.93773103,-0.55129904,1.04220581,0.30757536,-0.22578764,-0.70698404,-0.48119640,14.43827057,0.00017745,2.70933008,3.64143085,0.93210077,0.89613926,nan,nan,
-3.54,-2.65,0.00,0.31,72.00,145.00,2.00,11.51,64.00,18.23,0.63,-0.34660441,-0.33583838,0.45717260,0.15422933,-0.01776021,0.00132557,0.97096451,5.15,-1.85260928,-0.54132932,1.58651948,-1.31554198,0.53066307,-0.29781741,0.39976990,0.41363209,0.02288195,-0.11697529,0.05554009,0.81374123,0.44841045,0.01738783,-0.43102264,14.41946983,0.00017914,-0.12328532,1.14684868,1.27013397,2.28743672,nan,nan,
-4.03,-2.08,0.00,0.33,72.00,146.00,1.00,12.44,59.00,18.69,0.62,-0.37442142,-1.09459901,-0.49585500,-0.66111541,-0.65649772,1.65342915,0.19881222,5.33,-0.11837781,-2.38892531,0.99089748,-0.60181904,0.20922354,0.18860561,-0.66420174,-2.75173450,-0.66789073,-0.64426875,1.58009577,0.20906352,-1.26393163,-1.70131242,-0.43738079,11.41222095,0.00083238,-5.60289574,-5.57614136,0.02675437,0.00078154,nan,nan,
-3.63,-1.98,0.00,0.33,72.00,146.00,2.00,11.88,66.00,19.13,0.62,0.19821028,0.29927337,-0.16082452,-0.16011506,0.04413602,0.00836930,0.92712779,5.04,0.94644511,0.12650341,1.54149687,-0.00575195,-0.82200211,-1.06393075,0.02680879,0.02362737,-0.12722076,0.07170334,0.02170229,0.88291386,-0.16380331,-0.53872120,-0.37491786,11.95354176,0.00062956,-4.25787783,-2.94351125,1.31436634,2.52085495,nan,nan,
-4.01,-1.47,0.00,0.35,72.00,147.00,1.00,12.67,62.00,19.02,0.64,-1.73665452,-2.17802143,-1.60838914,-1.63975167,-1.79070413,8.87056255,0.00297313,6.28,-2.01258302,-1.30084121,-0.43280795,-2.25856161,-0.65100557,-2.64835382,-3.02400637,-2.50639486,-1.63242054,-1.82783425,9.07343388,0.00266392,-1.93776429,-2.33068967,-0.39292532,7.15005302,0.00793347,-7.18023920,-8.80448437,-1.62424481,3.48051500,nan,nan,
-3.66,-1.38,0.00,0.36,72.00,147.00,2.00,12.19,66.00,18.70,0.62,0.88946968,0.39839801,0.52047575,0.71706963,0.63135326,1.53849947,0.21515346,5.32,2.43692160,0.48342696,-1.14664960,0.67811102,0.48424152,-1.27967691,1.84464467,1.29412067,0.82251143,0.62355930,1.49344730,0.22199301,-0.57051587,-0.86233085,-0.29181495,6.67540741,0.01027862,-3.53071833,-3.59900165,-0.06828348,0.00507935,nan,nan,
-3.36,-1.39,0.00,0.23,72.00,147.00,3.00,11.75,66.00,19.91,0.60,-0.35196686,0.35292643,0.77640283,0.69375569,0.36777952,0.65009505,0.42028438,4.77,1.55492902,-1.06266487,1.88145673,0.55603105,-0.45590666,0.45300415,-0.11871159,-0.88900155,0.67672056,0.28814012,0.39362401,0.53055509,0.26692793,0.03304217,-0.23388575,5.37801600,0.02110678,0.43206453,0.35035518,-0.08170934,0.01055378,nan,nan,
-4.09,-1.01,0.00,0.32,72.00,148.00,1.00,13.01,63.00,18.48,0.66,0.75482142,0.18949388,0.76990116,0.45119637,0.54135323,1.16518152,0.28067279,5.24,0.30120808,1.46665061,0.71795923,1.09739542,-0.29269320,0.96601135,1.47555566,-0.83967268,0.49910942,0.59845912,1.39839029,0.23729649,-1.42075610,-1.77907169,-0.35831565,5.11058283,0.02454269,-6.46096420,-7.23785496,-0.77689070,0.76758760,nan,nan,
