x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
84.36,43.83,10.00,0.48,4.20,142.00,23.12216187,18.39529800,19.89005661,19.31582642,20.18083572,199.59703064,0.00000000,14.97,20.66079521,17.95675468,19.21899986,21.03828049,16.08815002,20.39177513,26.07241821,23.37284279,19.49595070,20.45685196,200.61180115,0.00000000,23.31573868,14.96777725,11.63828564,14.21516228,14.07172394,25.10254288,24.03836823,19.11677933,-0.84924328,0.22126119,0.63818917,17.53301048,22.27618980,13.54014301,25.81518364,13.67189217,8.44923496,29.06293678,30.53646088,0.45277178,0.06247616,0.80267855,21.29993248,16.58852005,31.88426781,21.08441734,20.28546715,27.73170853,26.54845619,20.07105637,3.77269673,4.27419806,0.03896699,-1.85900497,-9.32468414,-7.46567917,281.83544922,0.00000000,-7.12402582,-34.26565933,-27.14163399,103.86576843,nan,nan,
84.46,44.26,18.00,0.50,3.99,109.00,7.51020098,7.53829908,8.94596386,9.69032669,8.42119789,160.88745117,0.00000000,6.96,4.85811949,10.65217113,9.86499786,6.95367193,5.85206175,8.61560440,6.57214642,9.96084118,9.65678215,8.10149002,148.33062744,0.00000000,7.69170284,7.76535988,8.72860146,5.47859573,6.88056040,7.24445868,5.50860405,10.72987556,-2.16469312,6.61115551,0.01028616,4.70164967,13.32220936,11.92778778,7.14945269,6.25880432,8.48991013,8.32699490,10.69483280,-0.71864414,0.72027957,0.39626715,2.71734953,9.49411869,9.16978645,8.15848541,6.18817759,9.34518147,6.43321609,8.68099022,-2.20069098,6.72408295,0.00965898,-2.68875265,-9.92508316,-7.23633051,309.34674072,0.00000000,-11.37262058,-23.11055946,-11.73793983,75.18183899,nan,nan,
80.18,49.13,6.00,0.00,2.97,125.00,10.47036743,6.82083321,8.67264271,8.67541027,8.65981293,177.14071655,0.00000000,6.82,10.12325382,8.63865185,7.32861757,9.10510921,5.25206661,8.93121815,9.05817890,10.08358002,8.56492519,8.55650234,167.62930298,0.00000000,8.00502205,8.03630638,2.77617788,2.65337205,3.21048784,8.99144268,9.76608753,10.57069206,-1.84947073,5.13242579,0.02370849,12.63471413,11.76116276,6.31663752,10.89619350,6.54237080,5.05222988,6.57054663,10.04872417,-0.00075089,0.00000000,1.00000000,10.41490841,5.31391478,12.93625927,12.75567055,6.86477709,13.66337585,12.17537689,9.97008610,1.79001510,4.68505907,0.03067584,0.02845805,-2.19600153,-2.22445965,106.14821625,0.00000000,2.57174873,0.09742306,-2.47432566,7.25443077,nan,nan,
80.74,49.18,3.00,0.13,2.70,131.00,15.27828407,11.33862686,15.25201511,14.89778423,14.19167709,313.25097656,0.00000000,8.41,15.10576344,13.88065434,11.86641312,14.31526661,12.54152966,12.84598351,15.22619724,16.35181618,14.95652008,14.10700607,297.65432739,0.00000000,13.06557941,10.49287319,5.71723080,8.31153584,13.93346786,15.08658886,11.32939720,12.02061939,-3.53558064,12.18744564,0.00050337,16.11320305,20.39751434,12.46249199,15.30770016,10.43601894,9.64871120,18.04115486,20.10005379,0.33955759,0.11098035,0.73910466,15.75170994,9.82871151,17.46286392,17.50412750,13.46468067,14.83301067,16.99388695,16.82446671,0.42827532,0.17437036,0.67635143,0.31222045,-1.70383108,-2.01605153,91.45280457,0.00000000,-7.87210846,-11.92151451,-4.04940653,15.36591244,nan,nan,
79.81,49.34,1.00,0.00,3.17,111.00,8.73937416,6.16933680,10.14971352,9.94985294,8.75206947,112.91724396,0.00000000,8.63,5.04203320,11.01325130,6.77465105,6.47046804,8.39011097,7.50036812,10.49750519,11.98654842,10.13759136,8.63719082,108.21616364,0.00000000,4.45280361,3.48324990,6.12700272,4.09932852,6.08502436,3.57635260,12.26077557,9.59853840,-3.86484480,13.81472588,0.00021360,6.52704191,15.87205791,5.59640408,7.68109226,6.40481806,8.97424603,9.95306492,19.45782852,0.23672429,0.05168157,0.82021181,3.96652007,12.59950542,8.60090446,6.59690857,12.88776398,9.54737663,9.74513721,6.59477472,-1.29866946,1.52496362,0.21717684,0.53157961,-1.90319371,-2.43477345,113.25717926,0.00000000,7.13203382,3.07802129,-4.05401278,13.56566811,nan,nan,
80.18,49.13,9.00,0.00,2.97,110.00,15.88230896,7.75706863,15.19522381,11.55088902,12.59637260,44.06385040,0.00000000,19.89,7.83758736,12.75767517,10.67746925,8.40360451,11.00282955,15.60244465,17.34319878,20.24335861,11.81130314,12.84042168,44.58182526,0.00000000,-3.28376389,4.32609320,11.70470047,3.56407404,1.35335672,9.21431541,18.12547493,19.59343529,-3.94921350,2.72757721,0.09896103,16.91102409,17.40795517,2.80825853,6.15883350,8.98410892,20.87369728,14.79260731,31.78181648,3.67957139,2.32392764,0.12773256,11.15828228,16.31690025,17.62517166,13.98201084,23.59185219,15.60395718,20.43108559,9.99108696,4.19605494,2.97339630,0.08497099,0.48077005,-1.56462228,-2.04539227,75.98027802,0.00000000,-2.88851523,-6.11744833,-3.22893310,0.79972732,nan,nan,
80.76,48.63,8.00,0.20,2.69,122.00,15.13812828,7.97149563,12.15008545,11.80626965,11.76649475,54.98023987,0.00000000,16.64,12.36004829,10.86244297,9.68676758,10.21046257,11.76017380,11.87083435,16.11277580,11.80796337,11.99644852,11.84013844,53.59550095,0.00000000,7.57828569,1.14442766,0.43429580,8.85166168,6.73094463,15.88410759,16.12342262,8.10557556,-3.75809026,3.50983524,0.06131398,17.00314140,15.34643745,8.59616756,10.67368507,6.34130192,1.61393285,21.47838974,18.10405350,0.26418719,0.01702969,0.89620034,12.51186752,16.83636093,20.13772583,9.78378582,21.05800056,19.05095482,11.87245560,9.23454475,3.18649364,2.46094680,0.11704318,0.73557693,-0.90445542,-1.64003229,52.04199982,0.00000000,11.89878178,15.05006123,3.15127921,2.35764980,nan,nan,
80.76,48.63,5.00,0.00,2.69,140.00,6.55144739,3.13607812,5.57898521,4.56339073,4.95747566,46.89153671,0.00000000,7.59,6.54060268,6.21643114,2.89960790,5.05188417,2.45326090,5.27345800,5.31944132,6.22227430,4.44467306,4.93080139,44.96147156,0.00000000,4.67585421,2.85725451,-1.33629513,4.09518480,0.35312670,4.49621344,4.62023067,5.33654308,-1.35386097,2.18579865,0.13962202,7.83460760,7.70472193,3.53053498,4.70578671,4.64257908,4.22739553,4.70533037,7.39164925,1.03356051,1.23453963,0.26680861,7.30200434,7.68133688,6.65441465,5.90581799,3.09938335,8.02458858,8.07437134,5.65100384,1.99174583,4.60086203,0.03221025,1.09558511,-0.35716271,-1.45274782,47.86531067,0.00000000,8.66906548,9.84864902,1.17958355,1.16921926,nan,nan,
79.81,49.34,4.00,0.00,3.17,85.00,8.34552193,6.20608139,8.19165993,8.66696548,7.85255718,116.16605377,0.00000000,7.64,5.30311251,10.37598324,5.07661676,7.62700176,7.52177715,7.51658440,6.88061476,9.95023823,8.64105892,7.64712191,108.43463135,0.00000000,3.73536968,5.18843937,4.13035202,5.17915678,7.83229685,7.60013914,8.86132622,7.50661755,-2.49294138,7.28349590,0.00708325,6.69653797,17.42617798,3.54772830,7.48338175,8.47711563,4.88263464,3.14371443,13.61157417,-0.36022997,0.15506372,0.69383134,5.86633921,7.24696493,7.26103067,10.17581367,6.93729734,11.06958485,9.47529888,9.19202614,-0.34830150,0.13900575,0.70935504,0.63805044,-1.59880626,-2.23685670,95.48060608,0.00000000,0.74387836,-5.50879431,-6.25267267,32.23640060,nan,nan,
80.76,48.63,17.00,0.00,2.69,98.00,-4.67801905,-3.84746265,-2.37630725,5.09578180,-1.45150173,0.38759676,0.53371445,24.44,-0.01801559,3.51960516,-9.61013889,-6.48330545,-2.40416455,-6.59806633,-8.43320370,-1.30695593,4.56129932,-2.97179699,1.59325421,0.20717257,-0.51015055,-8.46236610,5.03075504,-13.57405567,-9.08039284,-2.15641046,2.47793198,-5.30422735,-9.08883667,9.44861603,0.00217374,3.20267820,12.03514767,-13.17625141,-5.28247547,4.11207151,2.53946495,-22.82602692,-1.51754761,-7.14055300,5.78809357,0.01632627,-2.70294261,3.22273445,-19.03605843,-1.09352803,-2.59946346,-14.73726845,-2.56134200,2.83608699,-9.64059162,10.46989346,0.00125551,0.61641371,-1.06364417,-1.68005788,52.69634628,0.00000000,-16.68822670,-15.86811066,0.82011640,0.03822428,nan,nan,
