x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-81.17,29.04,1.00,0.00,3.84,132.00,3.05542946,1.87946522,1.88793623,2.18376398,2.25164866,42.44442749,0.00000000,3.56,1.62370861,2.13105965,1.97211540,2.50505853,2.92279172,1.97545195,2.67532492,1.97804260,2.14330888,2.21188164,40.12222290,0.00000000,2.23396873,1.24310946,0.70868427,1.66606581,3.31520963,0.89989322,2.67076182,2.16032624,-0.28954670,0.43266350,0.51084767,1.40530229,1.60866272,1.85830295,2.40119028,1.89100003,3.48359489,1.78777552,0.84966183,-0.32699162,0.54039109,0.46245602,1.47644496,3.49428463,3.42785168,3.52046156,3.80531931,1.99818361,3.29251194,3.35073638,0.87470275,3.93187118,0.04767304,-0.52330893,-1.27738059,-0.75407171,54.01679993,0.00000000,-5.12680531,-6.79533434,-1.66852915,8.15135098,nan,nan,
-81.74,29.68,1.00,0.00,3.81,122.00,3.24096131,2.62873745,2.47972274,2.25142574,2.65021181,70.28933716,0.00000000,3.26,2.45782089,2.41954851,2.61793923,3.30941582,3.49542832,2.88322210,1.93810046,3.03022408,2.25260210,2.70887756,72.58557129,0.00000000,2.21642327,2.81695080,1.36876035,3.69095087,4.46443272,1.76146829,2.58007121,2.38303232,0.40580985,1.01955938,0.31288618,2.92257905,2.85774612,2.22034693,2.50259662,2.83023381,3.76230550,0.16092224,2.70127439,0.18037720,0.19753878,0.65681826,2.11225080,1.83816528,4.20778036,3.83436179,3.31767511,3.43610239,3.01752424,4.05558443,0.98971117,6.02869129,0.01425726,-0.53251827,-1.14967930,-0.61716104,37.96174240,0.00000000,-1.91308260,-2.72512746,-0.81204492,2.06130528,nan,nan,
-78.53,28.14,4.00,0.00,5.29,152.00,12.13799572,8.65089512,10.85094929,9.56545162,10.30132294,171.77267456,0.00000000,8.11,9.86074448,11.06969452,11.95434093,11.26420689,9.86236000,10.68080044,11.15012360,8.56602478,9.61014175,10.43604660,172.27105713,0.00000000,8.32763195,9.11901855,8.72104168,6.06572628,4.11457682,14.31512833,8.48553181,9.87501144,-1.03306103,1.07439196,0.30022494,12.16411877,9.79965591,13.53300667,15.60481548,10.99882221,7.49960327,9.25995827,8.08217716,1.27402878,1.59980202,0.20624812,9.96400642,14.14954281,13.86101055,11.55336761,14.47478485,10.38139057,14.70135784,8.04795933,2.53403831,6.40781069,0.01152571,-0.77511817,-3.42488956,-2.64977145,151.71998596,0.00000000,-8.13903809,-12.55204582,-4.41300774,11.56359291,nan,nan,
-78.94,28.31,5.00,0.00,5.02,157.00,6.42422628,4.94301653,5.77417040,5.52417898,5.66639805,151.75306702,0.00000000,4.74,4.69339228,6.30502796,5.85418987,5.66411209,5.49222422,6.26534891,5.62159920,5.60331106,5.53144026,5.66440201,148.84341431,0.00000000,4.29515314,5.17129183,6.57428885,3.30879450,2.10067868,7.46124601,6.15223455,4.16422606,-0.64003927,1.20469344,0.27266972,4.27880001,5.60196304,4.56952095,7.22260046,9.69659233,6.38100910,3.53739738,5.16825628,0.20614333,0.12309189,0.72578444,5.78516483,8.03249359,6.77051067,6.14391470,4.91148043,4.98223400,6.47992611,8.05745697,0.93930435,2.56219196,0.10978635,-1.28902733,-3.47516203,-2.18613458,155.51522827,0.00000000,0.14144725,-2.89048433,-3.03193164,11.77759361,nan,nan,
-79.37,29.03,4.00,0.00,4.82,158.00,2.65267801,1.21096063,2.23497891,2.09781814,2.04910898,37.39591599,0.00000000,3.46,2.06162977,1.95473313,2.67655468,2.38347912,1.97243583,2.01489329,1.05496490,2.20525837,2.11546183,2.04677463,36.47366714,0.00000000,0.60791558,2.03673148,2.14920020,-0.21895665,1.29692578,1.20094037,2.00467134,0.34153920,-0.89088124,4.35436773,0.03718603,2.14042187,1.46143305,1.86219883,2.96628618,2.19956326,4.33092928,-0.34343153,3.15689278,0.06479953,0.02281216,0.87997933,3.31923175,2.36775851,4.20532274,4.04921675,2.32677650,0.72031879,1.15680575,3.17329454,0.56647164,1.76868105,0.18387146,-1.43874371,-3.13080859,-1.69206476,140.27224731,0.00000000,-1.85537386,-2.88623977,-1.03086591,2.90346265,nan,nan,
-78.94,28.32,0.00,0.00,5.02,162.00,0.55437809,0.68609142,0.46763125,0.46629697,0.54359943,2.49595881,0.11447634,3.55,1.05388427,1.56599712,0.65407777,-0.59852350,1.07654214,0.54987544,0.37563455,-0.01553111,0.46731293,0.56934893,2.72637129,0.09904020,-0.14747858,1.84329057,0.84176123,-2.65344715,1.44086778,1.38160861,0.53820914,1.81792569,0.19989100,0.21038032,0.64657665,2.28635168,0.43122053,0.00608701,0.19806984,0.12771037,0.37042978,0.29655638,0.20850907,-0.00343874,0.00007374,0.99315045,0.95722985,2.31872106,1.15483570,0.39335117,1.73815751,0.12398042,0.20726307,-2.25284123,0.05502421,0.01588288,0.89973754,-1.16370142,-2.47246647,-1.30876505,121.93054199,0.00000000,1.85462022,1.30282652,-0.55179375,1.06707132,nan,nan,
-79.13,28.32,0.00,0.00,4.91,153.00,2.45132446,1.24460518,1.70481813,1.59501708,1.74894118,31.20466805,0.00000003,3.23,1.65815544,2.72505617,2.54195046,0.74962646,2.66856122,1.45791054,1.33859015,1.15034032,1.57032156,1.76051688,31.37231064,0.00000003,0.55584431,1.32145035,1.99035823,0.04664925,1.60343182,0.54317629,1.68569803,1.98890328,-0.34689826,0.75578541,0.38487500,2.07837152,2.00586033,2.41825461,0.51784724,3.34962082,2.99546504,1.28169966,-0.35356486,0.09142919,0.05207947,0.81953372,2.59054565,4.64840937,3.35239053,1.73163557,3.19897842,1.22789502,0.89543909,2.00575113,0.85534322,4.62860155,0.03170013,-0.77499694,-1.83904409,-1.06404722,102.10716248,0.00000000,-0.05775643,-0.13650191,-0.07874548,0.02111764,nan,nan,
-80.79,29.94,1.00,0.00,4.30,136.00,2.16118884,1.42341721,1.66232920,1.43061042,1.66938639,26.54474640,0.00000031,3.34,1.18748963,1.09514594,2.08989000,1.79027402,1.77233934,2.36064410,2.04607940,1.47427762,1.42864943,1.69217169,26.91514206,0.00000026,1.10705507,0.76005888,2.02554655,0.23502722,1.61879516,1.67304981,2.09166336,1.53534782,-0.01572292,0.00141237,0.97002941,0.35678494,0.92913413,1.39975452,2.49086523,2.03080010,2.94672966,2.40979648,0.79608929,0.21396317,0.26410776,0.60743409,2.19239807,1.58130038,2.93279243,2.38493752,1.82002056,2.62040091,1.41751039,2.31904125,0.72686183,3.07824183,0.07967557,-0.52749437,-1.43876147,-0.91126704,81.73413086,0.00000000,4.48713923,3.37003875,-1.11710048,5.71622562,nan,nan,
-78.53,28.14,10.00,0.26,5.29,150.00,15.27979755,11.70896435,14.79193497,12.27108765,13.51294613,218.71241760,0.00000000,9.42,13.24020767,15.44506836,13.06225777,13.96004677,14.75019550,14.67434978,13.42694569,13.20034027,12.40107250,13.78181362,222.06295776,0.00000000,13.44203758,11.00731182,9.06596565,8.47315979,10.78902435,16.20664024,13.35249519,10.63270569,-0.64938641,0.31169507,0.57677626,16.88214302,15.12273216,10.82066917,18.94387627,18.59318352,15.90295792,12.44815254,10.68660259,2.43524313,4.32838297,0.03775510,9.67385483,19.43128204,19.58485413,13.52052212,14.57525444,11.83200645,13.28071594,19.49318695,3.07657170,7.04584217,0.00808064,-0.15636599,-3.38537550,-3.22900963,145.62966919,0.00000000,-7.09427452,-19.57935905,-12.48508549,74.20783997,nan,nan,
-78.85,28.97,9.00,0.32,5.12,154.00,4.44857740,3.41771889,3.81077623,3.48680758,3.79097009,74.47779846,0.00000000,4.53,2.67678761,2.81852531,4.40639162,4.08114910,5.65796804,4.24444342,3.89678574,3.24034190,3.49744487,3.83170199,75.92617798,0.00000000,2.22325969,1.17343688,0.97886479,4.04278708,5.11813784,5.45218372,4.36664724,4.02746916,-0.08690432,0.02435679,0.87601437,4.21997738,2.24799323,6.32699823,5.74982834,6.59214020,2.81326604,0.69955456,2.18142128,0.27884069,0.24869505,0.61811336,1.85962951,4.94281387,5.73775721,2.47589993,5.68078995,4.86507511,6.04337263,3.69869399,0.95055622,2.89650345,0.08910614,-1.10072708,-3.68042016,-2.57969308,177.50100708,0.00000000,-4.48333168,-6.96328259,-2.47995067,10.58676147,nan,nan,
-79.13,29.62,9.00,0.30,5.05,156.00,1.07550299,1.16891146,0.71869773,1.08467567,1.01194704,8.79247570,0.00310143,3.52,0.76283181,0.63550144,1.64977109,0.73425597,1.02729964,1.12566340,0.60375297,1.16835797,1.04897189,0.97196108,8.00257492,0.00477131,0.18668886,0.52470720,2.75057864,0.75313532,1.28936005,2.14798737,0.14102928,1.43720067,0.08006234,0.03398211,0.85378507,-0.45815107,0.89164263,1.63121319,0.61375397,0.61024147,0.66728008,0.57265806,1.05828393,-0.36113328,0.67460299,0.41166188,2.52072668,0.56821156,0.62937570,0.87637043,1.30923486,0.62494183,1.18875515,1.02545929,-0.00491101,0.00007487,0.99309798,-1.48744535,-3.40627861,-1.91883314,181.11416626,0.00000000,-0.77031529,-1.83629620,-1.06598091,3.39956427,nan,nan,
-79.13,29.62,4.00,0.00,5.05,156.00,0.63826519,1.19594431,0.63739711,0.89057583,0.84054559,5.00399065,0.02552347,3.88,1.01998782,1.30796456,0.99837530,-0.78173304,0.78075689,0.71759522,1.28660762,0.95748293,0.82153356,0.78905135,4.37642241,0.03670950,1.43695295,1.04306841,0.77119738,-1.55967200,1.68094277,2.18676043,1.42777061,2.06892657,0.27954206,0.34202638,0.55880374,1.47951603,0.59837323,1.74813712,-0.31932688,-0.18246906,-0.59647900,1.92680621,0.45491865,-0.21381934,0.19588378,0.65816697,0.32721138,2.12367320,0.40341201,-0.37486780,0.93192482,0.55548912,0.59086668,0.49091938,-0.25037131,0.27187324,0.60220209,-1.25310397,-2.67185831,-1.41875434,156.51445007,0.00000000,-4.40134239,-5.70739126,-1.30604923,5.45516825,nan,nan,
-79.77,29.83,3.00,0.00,4.76,163.00,0.87169981,0.97618759,0.65015626,1.62253487,1.03014469,7.46152687,0.00642162,3.89,0.96309721,1.59594119,0.09547149,0.76942456,1.20592701,0.75738364,1.39050066,-0.02149489,1.64410853,0.93243992,6.05774832,0.01402567,1.02452874,0.76979363,0.48643050,1.06914926,-0.51789290,1.67872202,1.96581352,1.37976313,-0.67312592,1.95838213,0.16201990,1.49878657,2.03544593,0.64983261,0.73716944,1.66008735,-0.00847497,1.85451126,-2.53324103,-0.94699228,3.85015631,0.05003922,0.67541534,1.96906936,-0.80591118,0.63096201,2.50314069,0.49386144,0.19144128,1.40989447,-0.75163120,2.44378018,0.11833177,-0.83054376,-1.93881571,-1.10827196,121.26480103,0.00000000,-2.74405026,-4.77448654,-2.03043628,13.00943851,nan,nan,
-80.79,29.94,2.00,0.00,4.30,157.00,1.06581533,0.79989094,0.51293325,0.54773974,0.73159480,4.17072582,0.04140769,3.69,0.15762326,0.87064373,0.60549247,1.27925408,0.46899191,1.21826267,1.18687117,0.40236792,0.55121255,0.74821991,4.30616236,0.03824840,-0.22995244,0.76288885,0.87973291,0.77030295,0.79413623,1.95942938,1.72091126,-0.28074732,0.23881306,0.27339655,0.60118693,-1.18257368,1.31619895,0.85479277,2.86145282,0.38223782,-0.11013731,-1.01100862,0.68154657,-0.05100222,0.01235726,0.91151092,1.98156285,0.68938744,0.15421723,0.17448308,0.33303207,1.72889256,2.39323974,1.05060887,0.52661693,1.32619739,0.24977880,-0.50762421,-1.44241500,-0.93479085,91.81038666,0.00000000,-3.24667954,-4.60389376,-1.35721433,5.94243336,nan,nan,
-78.90,30.10,10.00,0.41,5.27,154.00,2.47893357,2.59383512,2.26407838,2.17543793,2.37807131,39.57395172,0.00000000,3.90,3.40876245,3.23739290,1.56062531,1.95190775,2.62060595,2.63754582,2.87826371,1.49409270,2.21220994,2.44215608,41.54241943,0.00000000,4.12724876,2.66679907,1.71329439,1.88056910,0.45531711,3.88131356,2.55980754,3.40081835,0.37664524,0.61439610,0.43333697,3.24714446,2.66536093,0.32234135,1.94691312,4.61334133,2.53916311,3.52710462,-0.03659862,0.09818313,0.04124782,0.83910474,3.10233235,4.17620850,2.72813964,1.82477295,2.69658208,1.47665954,2.48864603,1.40939200,0.30277798,0.39386046,0.53043118,-1.34170139,-3.40241885,-2.06071758,206.06651306,0.00000000,-6.70795345,-9.87346840,-3.16551447,34.89829254,nan,nan,
-79.14,30.10,5.00,0.00,5.14,153.00,-0.03738367,0.12012546,0.15739202,0.44979301,0.17248170,0.21906964,0.63985857,3.80,0.56253320,0.40158722,-0.28379360,0.14031759,0.40037179,0.44066900,0.45032510,-1.05875754,0.51957947,0.17458437,0.22234961,0.63736580,0.97214162,-0.09340101,-0.13693585,1.39458120,-0.37964585,0.04766887,-0.27186981,-0.38334614,-0.32481387,0.47697335,0.48996880,0.13490693,-0.18511294,-0.34362635,-0.86045760,0.89626789,1.50164413,2.28865337,-1.69675946,-0.28409684,0.36123043,0.54797013,0.53365088,1.15271175,-0.42335951,-0.11230335,0.53498334,-0.23895556,-0.61271840,-0.99770355,-0.49875608,1.12154889,0.28986016,-1.22083843,-2.73893595,-1.51809764,178.37138367,0.00000000,-5.58656740,-6.59155416,-1.00498641,3.02867365,nan,nan,
-79.56,30.41,3.00,0.00,5.02,153.00,-1.02935100,-1.00970328,-0.52123493,0.23586099,-0.58110708,2.23497295,0.13525568,4.01,-0.65711045,0.21023324,-1.72223604,-1.45819795,-1.13158751,-0.99008012,-0.68183094,-0.36613804,0.24251540,-0.72754204,3.47249198,0.06271157,-0.46614975,0.67228478,-2.49898982,-1.17717302,-2.18364358,0.29592019,-2.42181659,0.05650725,-1.27260196,6.63876867,0.01013148,-0.42924622,-0.61098772,0.28297120,-1.11028922,-0.91267914,-1.63530743,0.91288781,-0.70130056,-0.71851891,2.06073689,0.15147330,-0.94709146,0.38258377,-3.02562833,-1.95248580,-0.31408712,-1.66033649,-0.23016268,-0.47803828,-1.25030398,6.37078714,0.01176692,-0.83234102,-1.98527682,-1.15293574,135.67401123,0.00000000,-1.60114455,-3.46255612,-1.86141157,9.44274998,nan,nan,
-80.23,30.60,1.00,0.00,4.79,160.00,0.32622454,0.20590936,0.19281073,0.16225480,0.22179985,0.40952170,0.52236881,3.57,0.14082302,0.27004063,0.34807345,0.21463570,1.13369024,0.77140564,-0.28248596,-0.40360335,0.21438052,0.26717255,0.58898145,0.44300763,1.24549270,0.22312580,-0.24540657,-0.86251217,0.02886779,2.03485131,0.40341267,-1.48290157,0.01817218,0.00168333,0.96728203,-1.35191941,0.12385134,2.75183773,0.47108337,1.28387868,-0.32954091,-1.18080473,-0.24224420,0.02508091,0.00316187,0.95517028,0.18766192,0.19952057,-1.82629144,1.06396401,1.99418378,0.49665534,-0.16966635,0.83015138,0.15480617,0.12304264,0.72583708,-0.49727780,-1.43672824,-0.93945044,99.75833130,0.00000000,-4.98490334,-6.10485744,-1.11995399,4.24038458,nan,nan,
