x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-89.00,46.62,1.00,0.00,10.30,52.00,1.36425996,0.34468779,2.80197072,2.18401408,1.67373312,8.58569431,0.00347081,5.97,0.42798892,1.97680748,1.70172632,1.35446656,2.69682360,0.84569675,2.07136178,0.85527569,2.15776777,1.56375861,7.25935555,0.00718078,-1.94646406,4.31525230,-0.33550137,0.71108276,2.00807047,-1.38805163,1.51564348,-1.88152874,-1.84026515,6.06373978,0.01397984,2.36957645,2.09109116,3.79097891,0.32297656,4.83071375,2.99812460,2.47477412,2.98294306,0.61426520,0.67185175,0.41261789,0.83994120,-0.68056393,1.79688478,3.17749619,1.09398818,0.94434237,2.24259782,1.34245217,-0.84257990,1.25177765,0.26350368,-0.64597821,-0.99066615,-0.34468794,8.45952606,0.00392024,4.98694658,3.38737392,-1.59957290,2.49878073,nan,nan,
-87.52,48.54,2.00,0.00,8.67,65.00,3.64568257,3.47831249,2.94039702,2.46748137,3.13296843,41.29910278,0.00000000,5.09,5.83688259,4.51015520,2.72290754,2.76216292,2.35221291,3.37427735,2.19632530,3.18147993,2.57186604,3.27541804,44.85858536,0.00000000,5.55135155,3.19110394,1.54771459,4.92226791,2.90912485,4.10167027,2.75470996,2.99966764,1.02201462,2.54510045,0.11097846,6.09835768,4.78878117,2.66811323,2.95531821,1.44639897,1.55451965,2.12192202,2.86754060,0.48993766,0.59010661,0.44257396,6.32326221,5.54132700,4.56605864,0.25964653,2.57732224,4.27740955,1.41357195,4.32059383,1.26010680,3.90099645,0.04855445,0.38581032,0.31687710,-0.06893322,0.37930107,0.53847429,1.25676394,1.39537728,0.13861328,0.03210218,nan,nan,
-87.70,49.34,1.00,0.00,7.42,72.00,1.25419235,-0.19353899,0.49506542,0.12601036,0.42043230,1.02864659,0.31073998,4.33,-0.68538600,1.40122759,0.29726809,-0.45097309,0.96295297,1.07139337,1.04206121,0.59322059,0.10501865,0.48138297,1.31696165,0.25143415,-1.18319285,-0.21832548,-1.90075183,0.10352235,1.76198292,-0.55393863,2.37378645,-1.72572279,-0.29264289,0.29076007,0.58986363,-0.69712710,1.79367626,0.66636455,-0.17788725,0.31700471,0.66033471,0.26185399,1.20102406,0.41583714,0.58328003,0.44522427,0.14467804,2.01008987,2.35150337,-1.03123438,0.90786707,3.01157451,0.51588601,2.44190979,1.21063626,4.94606876,0.02639084,-0.02572438,-0.16990818,-0.14418378,1.69683802,0.19376478,-2.07132959,-0.77704263,1.29428709,3.66937494,nan,nan,
-87.06,48.00,1.00,0.00,9.84,62.00,-0.32580876,0.29894859,0.57577187,0.11687946,0.16644779,0.12851526,0.72005765,4.85,1.56446171,-0.02434660,0.25739691,-0.64457321,-1.49122214,1.66357446,-0.21764994,0.17067802,0.07544190,0.15026748,0.10344633,0.74780496,-0.29141229,1.11599231,-0.27226040,-2.07445860,-0.83745682,1.61106002,1.20384812,1.49166858,0.16310768,0.07148408,0.78924769,3.55605912,-1.27271652,1.57683945,0.75463712,-2.60301375,3.78205180,0.41261002,-1.17671156,0.44103321,0.53472823,0.46481096,1.29367113,0.39517301,-0.58444178,-1.39821208,-0.80730075,-0.09358727,-2.28647065,0.76564908,-0.39381739,0.41482896,0.51968830,-0.01910517,-0.17085089,-0.15174572,1.60748363,0.20589170,0.96998340,2.14092612,1.17094278,1.92472136,nan,nan,
-86.71,48.70,2.00,0.00,9.27,64.00,2.32488251,2.36657238,1.88799989,2.84330797,2.35569072,28.01269722,0.00000015,4.65,2.97972035,1.83557665,0.69297343,2.02509165,3.09473014,2.70749044,1.76589751,2.51036906,2.86681795,2.27313209,25.66313362,0.00000049,3.88909435,0.09922151,2.06372905,0.31038225,4.86884499,2.96689820,3.64864826,1.19708872,-0.47601315,0.66828430,0.41386093,1.78285134,2.23554993,-0.67032546,3.52392483,1.49853849,0.81910813,0.84122378,5.28746700,-0.98547155,2.88155890,0.08993561,3.09528518,3.11716199,0.48048991,2.16161442,3.31931353,4.38278198,0.62567908,1.42581594,-0.51275826,0.76849520,0.38091058,0.06002761,-0.11154815,-0.17157575,2.17218971,0.14164140,1.58840299,1.75158393,0.16318107,0.04786030,nan,nan,
-86.97,49.28,2.00,0.00,8.27,72.00,0.90099609,0.07289574,0.36616009,0.99777156,0.58445591,1.95249975,0.16265028,4.37,0.28771901,0.48270679,1.46684480,0.26822683,0.40329024,0.39525384,0.18533932,0.13287516,0.99846733,0.51290029,1.46615958,0.22626122,0.04036378,0.64079112,1.12253094,0.08503034,1.53952134,-0.63703686,-0.30245852,-1.66917288,-0.92465335,2.82813764,0.09296326,0.49231151,0.01717142,0.88765776,0.14466439,-0.52357322,0.72678107,0.13623877,1.17242372,-0.61323375,1.24339890,0.26510662,0.62288678,0.77083468,2.28074431,0.61143523,0.11498292,0.98650986,0.86736083,1.07755482,-0.07708127,0.01949013,0.88900086,-0.20736466,-0.44220808,-0.23484342,4.46929121,0.03538707,4.21447802,4.66978693,0.45530891,0.36044282,nan,nan,
-86.51,49.89,1.00,0.00,8.07,70.00,0.07924429,0.73185611,-0.18705316,0.21075191,0.20869979,0.25187179,0.61587870,4.34,-0.19152167,0.50822490,1.20276642,0.84144783,-0.20854166,-0.43018794,0.22187334,-0.21186617,0.23380446,0.21822596,0.26917550,0.60400922,0.19209185,0.83582258,2.01615810,2.00753617,2.53462863,-1.14343512,0.56506306,-0.76414490,0.52947617,0.94230425,0.33193971,1.40057468,-0.14054799,0.63134831,-0.95848083,-3.13431692,-1.48285699,0.32371110,2.60098362,-0.34789956,0.41153055,0.52135260,-1.91220558,0.79800636,1.24502516,1.74251878,0.26853785,1.17678988,-0.03473968,-2.27304411,-0.18255651,0.11186375,0.73810799,-0.73058188,-1.10926175,-0.37867987,12.78641319,0.00041069,-7.25004578,-7.08593988,0.16410606,0.04902681,nan,nan,
-94.43,44.57,1.00,0.12,12.50,58.00,0.33150029,0.18701023,0.47823671,0.44056928,0.35932913,0.29959178,0.58426949,6.86,-0.29018518,0.54549325,1.99660528,-0.65551639,0.87985849,-0.19912562,0.86843306,-0.69663185,0.41817281,0.31824854,0.23043163,0.63131721,-1.04944396,0.42653355,0.81454432,0.46572307,2.53381753,-0.82809871,-1.11060965,0.54504484,-0.25890419,0.08980532,0.76449212,1.23216963,0.04255523,3.60746408,-0.19483940,-1.19991386,-0.21865620,2.50287771,-1.60861731,0.09979670,0.01346927,0.90763242,-0.96024638,1.43252540,1.79381299,-2.04361033,1.66105950,0.27773511,1.69090772,-0.93452042,-0.12332039,0.02034925,0.88659704,0.49763742,-0.31998816,-0.81762558,30.21937943,0.00000009,-0.55076063,-3.35676908,-2.80600858,9.78421879,nan,nan,
-94.48,44.75,3.00,0.16,12.24,47.00,2.49037194,1.14747500,1.81673682,2.22931957,1.92097580,11.54372311,0.00070855,5.91,1.19854295,1.43862879,3.96611571,2.47175527,1.55360818,0.44379327,2.41561079,1.16181600,2.25097346,1.87599373,10.81916237,0.00104239,0.65784097,2.32678318,1.56822932,-0.21021098,1.17369211,-1.24025285,4.44740868,0.31472230,-1.10457134,2.21664453,0.13687035,3.23134089,-0.48224020,3.94061518,2.60384631,2.47161388,1.24990022,2.04548550,-0.62610769,-0.43885955,0.35102639,0.55367749,-0.27939066,2.64954996,6.10919428,4.74103498,1.02794182,1.22761106,0.95915508,3.63349771,0.26617908,0.12913969,0.71940773,-0.27438089,-1.28240788,-1.00802708,40.07221603,0.00000000,9.16835594,9.13730907,-0.03104694,0.00136712,nan,nan,
-93.76,44.91,0.00,0.18,11.86,36.00,2.02886534,1.28254831,1.16526604,0.65038222,1.28176546,4.45622206,0.03504012,6.34,-0.28974691,2.14957786,3.43705177,2.00013924,1.91318119,1.61090267,1.20641208,0.19562478,0.65125740,1.42905843,5.45576954,0.01971624,-2.17492533,0.13966955,4.12666607,-0.44087213,3.93085766,2.02293754,2.27718830,0.38430232,0.65640652,0.68132132,0.40934492,-0.34619421,2.02279615,1.34148645,2.02601266,0.73390692,1.18453157,0.41461039,2.09262586,0.56073833,0.49354997,0.48252475,1.19817054,4.14485216,4.20253515,4.79612255,1.31858897,1.85364830,1.31653833,-2.12569547,1.27147031,2.54892111,0.11071115,-0.78915519,-1.89614069,-1.10698545,44.27190781,0.00000000,-4.47854996,-4.86855602,-0.39000627,0.20214206,nan,nan,
