x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-8.53,-5.40,0.00,0.11,67.00,191.00,4.00,4.57,143.00,20.54,0.77,0.84466553,0.15383439,0.30106297,0.73819375,0.50943917,1.13800097,0.28634502,4.70,0.40617719,1.31763637,1.19604731,0.73317683,0.64472598,0.37777257,-0.99001873,-0.39319125,0.73323971,0.44683784,0.86008662,0.35395025,-0.50092536,-1.19420183,-0.69327652,27.55248833,0.00000030,-1.15784991,-1.03351188,0.12433800,0.02145296,6.28,0.00,
-8.34,-5.21,0.00,0.14,67.00,191.00,5.00,4.44,146.00,19.73,0.77,2.38007665,0.83935916,1.67310321,2.44479108,1.83433247,13.02008152,0.00032418,5.00,0.86529636,1.51378071,2.39105415,1.80200422,2.14278221,1.68629730,2.02481890,0.04429755,2.36343670,1.64654827,10.23573589,0.00142314,-0.32490733,-1.04478824,-0.71988094,35.50839233,0.00000001,1.10520625,0.62217218,-0.48303401,0.45489296,6.28,0.00,
-6.89,-4.31,0.00,0.10,67.00,191.00,10.00,3.56,157.00,16.67,0.79,-2.36043692,-1.90315580,-2.49375963,-2.33249497,-2.27246189,13.06408119,0.00031675,6.19,-1.98719680,-3.89294124,-1.68797410,-0.71975899,-2.84861922,-0.83105648,-3.38640571,-3.29365158,-2.41475201,-2.33792162,13.63582802,0.00023457,0.51794463,-0.34887090,-0.86681551,46.86960983,0.00000000,1.02946341,-0.23337218,-1.26283562,1.95196187,6.28,0.00,
-8.33,-5.20,0.00,0.13,67.00,192.00,5.00,4.44,145.00,23.38,0.79,-0.16173014,-0.38240665,-1.19658959,-0.37836301,-0.52977234,1.28165591,0.25787585,4.61,-0.35467991,-0.68199617,-0.86503768,-0.29390261,-0.68623638,-0.42161238,-0.40568078,-0.64822155,-0.34332329,-0.52177668,1.20692337,0.27222094,-0.29494137,-1.03925920,-0.74431783,37.77155685,0.00000000,-2.91049719,-4.15955925,-1.24906218,3.08675623,6.28,0.00,
-7.09,-4.50,0.00,0.11,67.00,192.00,10.00,3.69,159.00,17.82,0.80,-2.31012368,-0.42186025,-1.62654114,-1.92039979,-1.56973124,6.70574427,0.00975670,5.97,-1.22770321,-0.82462788,-1.15497518,-1.37144220,-2.11048579,-1.56818295,-0.86670935,-1.83668458,-1.86264431,-1.42340362,5.34283829,0.02102101,0.37297538,-0.51361793,-0.88659334,45.81552887,0.00000000,2.85676599,2.30019665,-0.55656946,0.31854615,6.28,0.00,
-5.48,-3.35,0.00,0.14,68.00,189.00,10.00,2.68,156.00,17.13,0.66,-1.85008943,-0.71929795,-0.98454326,-1.25443745,-1.20209205,4.05100727,0.04442558,5.88,-1.35869670,-0.98428774,-1.19949901,-0.83776164,-0.42746526,-1.03439510,-1.29869008,-1.86384404,-1.20276999,-1.13302243,3.50208020,0.06159928,0.56934428,-0.21209922,-0.78144354,45.93958282,0.00000000,-3.67871833,-5.12863874,-1.44992054,2.15770698,6.28,0.00,
-5.67,-3.70,0.00,0.18,68.00,189.00,11.00,2.83,154.00,17.24,0.63,1.66639614,1.03388929,0.27998129,2.39659905,1.34421647,3.91530204,0.04813567,6.69,-0.93989015,1.75782871,1.70056844,0.88398939,1.72756088,0.61986434,1.59427643,0.32268378,2.35714912,1.11266744,2.62410522,0.10558405,0.34529999,-0.46109691,-0.80639690,45.18586731,0.00000000,0.63411766,0.01447679,-0.61964089,0.44060233,6.28,0.00,
-8.66,-5.53,0.00,0.22,68.00,190.00,4.00,4.66,128.00,16.51,0.72,0.70247149,1.35473084,0.81432891,1.37942588,1.06273925,3.24476933,0.07196744,5.81,0.18175711,0.53644401,0.99642330,1.55884087,-0.28823301,1.18221450,1.47059548,1.20386648,1.25561655,0.89882535,2.26932240,0.13229036,-0.07193965,-0.99212813,-0.92018849,59.31880951,0.00000000,1.11961377,-0.97606230,-2.09567595,5.08616638,4.72,1.90,
-8.16,-5.03,0.00,0.19,68.00,190.00,5.00,4.33,134.00,20.86,0.73,-0.38069436,0.05015627,-0.70060557,-0.35575616,-0.34672496,0.49996305,0.47968903,4.83,1.14406538,-1.20169902,-1.58912122,0.60737926,0.24368784,0.23989797,-0.16784641,-0.87134725,-0.21279949,-0.20066391,0.16504174,0.68464808,-0.06320432,-0.93824995,-0.87504566,62.51699448,0.00000000,-0.98533517,-2.28473592,-1.29940081,2.39261508,4.67,2.05,
-6.00,-3.57,0.00,0.17,68.00,190.00,9.00,2.99,151.00,16.04,0.69,-0.05916288,-0.23097914,-0.10148435,-0.20463580,-0.14906554,0.06090367,0.80512640,5.94,0.67345947,-1.04507565,-0.93659145,-0.97454697,-1.44006729,1.10747600,1.37130296,0.22064415,-0.25394320,-0.14178498,0.05453166,0.81540789,0.61916274,-0.28385842,-0.90302116,69.80117798,0.00000000,6.98558426,6.46436691,-0.52121747,0.33706406,6.28,0.00,
-6.02,-3.68,0.00,0.20,68.00,190.00,10.00,3.01,155.00,17.02,0.66,-0.25639552,0.31677720,-0.85468531,-0.87132561,-0.41640732,0.34916496,0.55472617,6.94,-0.45055655,0.17293215,-1.67369998,-0.37013704,1.26414227,-1.38932252,0.29961091,1.25326753,-0.68374163,-0.17510305,0.06059970,0.80560382,0.87168765,-0.12182769,-0.99351531,74.03176880,0.00000000,5.70048904,3.98108792,-1.71940112,3.53198433,6.28,0.00,
-6.12,-3.89,0.00,0.22,68.00,190.00,11.00,3.09,154.00,14.82,0.63,0.30930552,0.60243493,-0.04860106,0.36593813,0.30726936,0.15919413,0.68998884,7.58,0.73102510,1.83984470,0.29494810,0.24592541,-0.50385278,0.30120707,-0.46185267,0.17317627,0.39615005,0.33483940,0.18463030,0.66752140,0.74732447,-0.28313184,-1.03045630,77.66033936,0.00000000,0.94061357,-1.43459034,-2.37520385,6.26312780,6.28,0.00,
-6.29,-4.20,0.00,0.16,68.00,190.00,12.00,3.22,162.00,17.51,0.70,1.46821988,0.87001544,0.78568727,1.96700346,1.27273154,3.82045984,0.05092211,6.41,-0.18230180,3.33466721,1.72562110,0.18619654,0.45649046,0.28617498,1.45263362,0.75300044,1.90592766,1.10094357,2.81175232,0.09390544,0.36290073,-0.62162185,-0.98452258,73.05892944,0.00000000,0.24072903,-2.70790195,-2.94863081,9.46021461,6.28,0.00,
-8.64,-5.50,2.00,0.33,68.00,191.00,4.00,4.64,126.00,18.03,0.73,1.73891890,2.66378546,1.85887957,0.00035928,1.56548584,7.90744019,0.00502415,5.48,1.47275293,2.72036481,3.42509127,2.47853160,2.33045840,1.80306470,1.14314938,1.33316422,0.01519013,1.85611618,10.88200665,0.00100714,-0.31198320,-1.27967477,-0.96769154,57.99296188,0.00000000,-9.39283943,-7.62403536,1.76880395,3.35708427,4.72,1.90,
-8.27,-5.14,2.00,0.35,68.00,191.00,5.00,4.40,129.00,18.70,0.73,2.00307798,1.12745750,1.81793308,1.41361296,1.59052038,8.63564110,0.00337589,5.33,0.49767986,0.89523524,1.88190675,2.72279024,1.40418303,1.52650797,1.35280180,1.49571395,1.24662459,1.44560230,6.97099304,0.00842016,-0.17116204,-1.13267493,-0.96151292,68.95796967,0.00000000,-0.15360340,-1.74799025,-1.59438682,4.35364199,4.67,2.05,
-7.63,-4.62,3.00,0.27,68.00,191.00,6.00,3.99,135.00,18.42,0.72,-0.14658664,-0.17696795,0.01974311,0.81828034,0.12861721,0.05517322,0.81434467,5.39,-0.21943107,-0.89029145,1.61859000,0.24899833,-2.19012308,-0.82698113,-0.01551353,0.10168407,0.65843427,-0.16812432,0.09316956,0.76025268,-0.06104232,-0.98373532,-0.92269295,67.62053680,0.00000000,3.49116254,1.06164181,-2.42952061,8.00665379,4.67,2.05,
-7.07,-4.30,0.00,0.23,68.00,191.00,7.00,3.65,133.00,19.79,0.72,1.27371049,1.39162087,0.91054070,0.97643834,1.13807762,4.64119291,0.03146311,5.20,2.11946511,1.73279274,2.03355312,0.80323601,-0.61565435,1.20336378,0.64390612,1.47810853,0.95595664,1.14937472,4.65524387,0.03120920,-0.00155322,-0.90068042,-0.89912719,68.13380432,0.00000000,1.60534084,0.35220835,-1.25313258,2.72377443,6.28,0.00,
-6.70,-4.07,2.00,0.26,68.00,191.00,8.00,3.42,143.00,24.67,0.71,1.00108469,0.05865614,0.67671168,0.84797162,0.64610600,1.97109175,0.16065747,4.53,0.08197079,0.14696358,0.57713455,0.48835179,0.23697875,0.56401956,1.26904821,0.58717906,0.75366783,0.52228987,1.25405478,0.26306278,0.16819321,-0.76410043,-0.93229365,73.84748840,0.00000000,-1.94627810,-1.76781940,0.17845871,0.08487625,6.28,0.00,
-6.50,-3.94,2.00,0.31,68.00,191.00,9.00,3.30,143.00,18.36,0.73,0.59369010,0.56685638,0.33376679,-0.14873253,0.33639517,0.37110737,0.54254632,5.44,1.04906535,-0.45213926,0.68135130,-0.56270981,0.81423765,1.33938098,1.19999099,0.49567696,-0.08901655,0.49681798,0.79323053,0.37335080,0.52654701,-0.48974422,-1.01629126,77.37882233,0.00000000,2.59997249,1.04132926,-1.55864322,3.06359458,6.28,0.00,
-6.55,-4.02,2.00,0.30,68.00,191.00,10.00,3.34,157.00,15.29,0.73,0.31172410,0.19184829,0.20218278,-0.39744374,0.07707786,0.01504899,0.90239083,6.19,-0.55058533,-1.35968661,0.81294608,1.16042483,-0.15777403,1.24726546,-0.98973155,0.38417402,-0.55157161,-0.00050381,0.00000000,1.00000000,0.87401831,-0.22621217,-1.10023046,79.15414429,0.00000000,9.00166702,7.69666290,-1.30500400,1.96521640,6.28,0.00,
-6.64,-4.22,0.00,0.22,68.00,191.00,11.00,3.41,160.00,15.59,0.74,-1.39095020,-0.34713790,-0.19596675,-1.52228427,-0.86408478,1.50450015,0.22028288,6.93,0.20486209,-0.15892211,-0.33155647,-0.67999965,1.05177069,-2.81496406,0.30426610,-1.15979850,-1.28867519,-0.54090494,0.57834637,0.44715012,0.93947387,-0.19657968,-1.13605356,82.77392578,0.00000000,-0.83484811,1.31507766,2.14992571,6.48292255,6.28,0.00,
-6.73,-4.55,0.00,0.17,68.00,191.00,12.00,3.50,164.00,16.25,0.73,-0.15723258,-0.77684712,-0.98928159,-0.19942318,-0.53069609,0.60265028,0.43776102,6.73,-1.98644197,-1.70742083,0.65819144,-1.68312180,-0.97610289,0.54063064,-0.09390677,-0.79422182,-0.33706409,-0.70811987,1.05300343,0.30507787,0.70602709,-0.39266038,-1.09868753,82.34860992,0.00000000,1.47766149,2.49773526,1.02007365,1.12760389,6.28,0.00,
-6.57,-5.12,0.00,0.13,68.00,191.00,13.00,3.51,158.00,16.85,0.74,-0.71628910,0.37063935,-0.57195628,-0.64097798,-0.38964599,0.38693413,0.53406400,6.17,-0.52725291,-0.35519394,0.01921956,-0.66519707,0.86391878,1.07604957,-1.13964343,-0.97994733,-0.55976754,-0.25172740,0.15785412,0.69122925,0.43251461,-0.53322297,-0.96573758,65.62816620,0.00000000,-4.74267435,-5.97717190,-1.23449755,1.80164135,6.28,0.00,
-8.36,-5.24,0.00,0.39,68.00,192.00,5.00,4.46,124.00,21.87,0.72,2.56316710,2.79418731,3.00658560,1.99338210,2.58933067,23.47516441,0.00000148,5.26,1.41975844,3.75842118,3.61685610,2.78619146,1.83821917,2.54583597,2.18678331,2.99682665,1.84126985,2.55190802,22.38310051,0.00000257,-0.11638549,-1.15147674,-1.03509128,78.09960938,0.00000000,1.18534732,-0.49858198,-1.68392920,5.16688013,4.67,1.93,
-7.77,-4.84,3.00,0.38,68.00,192.00,6.00,4.09,132.00,19.22,0.69,2.56677675,1.48951316,1.33902395,1.26847923,1.66594827,11.25504017,0.00082536,4.89,2.02412868,1.83895063,1.98670518,1.83655465,0.02210372,1.69702375,1.31394994,2.76676011,1.16502941,1.62628388,10.48469162,0.00124543,-0.03412913,-1.03385091,-0.99972183,77.10273743,0.00000000,-2.55916548,-2.41012001,0.14904545,0.03057890,4.67,1.93,
-7.39,-4.60,4.00,0.37,68.00,192.00,7.00,3.86,134.00,19.22,0.72,1.83625913,0.94024408,0.71068132,1.19805276,1.17130935,6.45081902,0.01124780,4.54,1.00342560,1.38414192,1.85957205,0.19315645,0.94096845,0.65558100,1.01898539,2.09344053,1.20386362,1.14919806,6.05692911,0.01402890,-0.04488050,-1.01864052,-0.97376007,76.41858673,0.00000000,-2.55789113,-3.33790708,-0.78001601,1.02608502,4.62,2.07,
-7.14,-4.40,4.00,0.38,68.00,192.00,8.00,3.70,137.00,21.41,0.72,0.36986372,0.45368823,0.29548699,0.33852518,0.36439103,0.54260617,0.46153574,4.87,0.00593782,0.09328770,0.48604414,-0.36346847,1.00236666,1.39676309,0.83889538,-0.17676336,0.34952456,0.40321723,0.65090853,0.41999019,0.04048701,-0.97930509,-1.01979208,81.74298096,0.00000000,-1.78775954,-1.16137981,0.62637973,0.95837909,4.58,2.15,
-6.97,-4.35,4.00,0.37,68.00,192.00,9.00,3.60,144.00,20.12,0.74,-0.25298852,0.11830610,-0.72007406,0.49260020,-0.09053907,0.02918271,0.86439408,5.22,-0.73516756,-0.03035533,0.09617632,-1.18190050,-1.21633506,0.70578945,-0.20498854,0.09719301,0.43890432,-0.22540592,0.17693533,0.67411554,0.32130945,-0.79571104,-1.11702049,83.19807434,0.00000000,-5.19527006,-5.57989550,-0.38462511,0.25414178,6.28,0.00,
-7.12,-4.54,0.00,0.33,68.00,192.00,10.00,3.71,148.00,15.44,0.77,-1.19413698,0.09908660,-0.47429055,-1.25254893,-0.70547247,1.43506896,0.23123649,5.80,1.02605534,0.51948309,0.31428358,-1.49465144,-1.56813467,-0.27961370,-0.15775761,-1.42223001,-1.14736927,-0.46730277,0.61752093,0.43216618,0.68812704,-0.50700641,-1.19513345,80.99330139,0.00000000,6.88172388,5.84560299,-1.03612101,1.37149036,6.28,0.00,
-7.25,-4.70,0.00,0.22,68.00,192.00,11.00,3.80,158.00,14.97,0.78,0.91539866,0.59349751,1.18928254,0.60601312,0.82604796,1.48976183,0.22255501,6.66,1.36083317,-0.08818825,0.78939116,2.17644548,2.37527895,-0.56879914,0.71646106,0.70286280,0.69902289,0.90612721,1.75970948,0.18497988,0.93613559,-0.28458095,-1.22071648,82.80462646,0.00000000,-1.44252563,-1.15133703,0.29118857,0.09942814,6.28,0.00,
-7.31,-4.99,0.00,0.19,68.00,192.00,12.00,3.87,161.00,16.15,0.77,0.95228869,0.28869256,0.88061702,0.73949444,0.71527320,1.39826107,0.23730957,5.95,-0.26237637,0.53186488,-0.62582815,0.27817437,1.63419652,1.58267629,1.90709078,0.56562924,0.69555330,0.70007491,1.31457520,0.25185696,0.95236534,-0.23213005,-1.18449533,84.49311829,0.00000000,11.43803310,9.50407696,-1.93395579,5.33172274,6.28,0.00,
-7.21,-5.26,0.00,0.15,68.00,192.00,13.00,3.86,164.00,18.27,0.78,1.60648525,2.03938317,2.07615399,1.14849877,1.71763039,10.43207932,0.00128078,5.23,0.38791406,1.59455836,2.26470923,2.48577285,1.62200701,2.40527201,1.78393328,1.64165866,0.99698287,1.68529177,9.83214092,0.00176765,0.84034079,-0.21027608,-1.05061686,70.10621643,0.00000000,0.75166798,-0.53784627,-1.28951418,2.98057723,6.28,0.00,
-8.61,-5.65,0.00,0.36,68.00,193.00,5.00,4.65,137.00,21.40,0.73,1.18264663,1.43231547,0.84562182,0.42610770,0.97167289,3.62831283,0.05710488,5.02,2.10915303,1.71409094,1.85703993,0.29276246,1.86004603,0.60345858,1.59733760,0.54164124,0.60353303,1.24087596,5.79929304,0.01622244,0.30409044,-0.76579779,-1.06988823,92.27683258,0.00000000,-1.35334861,-2.53154731,-1.17819858,2.64587593,4.67,1.79,
-8.19,-5.40,0.00,0.40,68.00,193.00,6.00,4.39,136.00,20.03,0.70,1.75914156,1.24895418,1.52176523,1.72653127,1.56409812,8.99550724,0.00277671,5.13,1.48998499,0.99969280,1.30114388,1.35935593,2.42175961,0.80862874,1.13755202,2.61455297,1.77794456,1.54407835,8.58417511,0.00347218,0.32002673,-0.71560669,-1.03563344,94.23327637,0.00000000,-0.06565908,-0.04398423,0.02167485,0.00083293,4.67,1.79,
