x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
6.59,4.60,0.00,0.17,81.00,156.00,14.00,5.64,nan,25.12,0.72,1.68121219,1.75665021,1.41367960,0.84649396,1.42450893,9.64848042,0.00195157,4.31,1.73310125,0.47472379,2.40941238,0.73182702,2.18119192,2.67598414,1.20599234,1.44363570,0.84391576,1.52067602,10.95660591,0.00096814,-0.41875491,-0.72597289,-0.30721796,10.29202747,0.00148843,0.71946084,-0.38920888,-1.10866976,2.58368731,6.28,0.00,
6.67,4.52,0.00,0.13,81.00,156.00,15.00,5.65,nan,23.97,0.74,-0.20915227,0.31981570,-0.54234904,-0.06400777,-0.12392334,0.08584845,0.76958713,3.97,-0.24616036,-0.77659959,-0.00293512,0.46375802,0.21756400,-0.48437485,-0.14806297,-0.08775575,-0.06889676,-0.12581444,0.08725917,0.76775608,-0.65210909,-0.87068111,-0.21857202,4.69521284,0.03107517,-2.39071608,-3.07157946,-0.68086344,1.05193388,6.28,0.00,
2.56,5.41,0.00,0.13,81.00,157.00,7.00,3.89,nan,17.21,0.72,-3.05021405,-1.76465952,-3.05530715,-3.05933309,-2.73237848,21.28727913,0.00000450,5.56,-2.30956936,-2.20438552,-2.06772542,-2.26059318,-2.73639536,-2.50117254,-3.39209342,-3.49585915,-3.05509615,-2.66654086,19.94574928,0.00000893,-0.19383276,-1.03587449,-0.84204167,52.41361237,0.00000000,-1.59287333,-0.69426292,0.89861035,0.92219126,6.28,0.00,
4.20,5.21,0.00,0.27,81.00,157.00,9.00,4.56,nan,26.42,0.72,0.76981378,-0.38148114,0.82707566,0.58930016,0.45117712,1.18006682,0.27761911,3.90,0.02162860,0.00094749,0.09364267,0.27835920,0.83030546,0.26359770,0.83894092,0.87357420,0.58077431,0.41977653,1.00140953,0.31722694,-0.06186196,-0.72964984,-0.66778785,37.84840012,0.00000000,0.61362588,1.09624445,0.48261854,0.66080707,6.28,0.00,
4.58,5.08,0.00,0.24,81.00,157.00,10.00,4.69,nan,24.84,0.67,0.14132114,-0.98321933,-0.47253257,-0.42897069,-0.43585035,1.01800263,0.31325126,4.06,0.05140496,-0.83546031,-1.06389940,0.03911730,-1.30923367,-0.62398553,0.59752375,-0.63662744,-0.51082945,-0.47641090,1.20270956,0.27306137,-0.09387508,-0.75271839,-0.65884328,41.31023407,0.00000000,2.89973879,3.07670641,0.17696774,0.07376734,6.28,0.00,
5.09,4.92,0.00,0.22,81.00,157.00,11.00,4.90,nan,24.05,0.64,0.12003883,0.89490604,0.45211503,0.51944965,0.49662739,1.23159432,0.26737922,4.20,1.51962125,0.81141949,0.74737209,-0.15576923,0.82361829,-0.17054698,1.02164352,-0.54860365,0.57583815,0.51332980,1.30687809,0.25325143,-0.12985967,-0.78033251,-0.65047288,44.82794952,0.00000000,0.75777060,0.01685996,-0.74091059,1.40078342,6.28,0.00,
5.69,4.91,0.00,0.25,81.00,157.00,12.00,5.23,nan,25.99,0.66,-0.19292937,0.40117341,0.09533112,0.17003763,0.11840320,0.09217722,0.76149407,3.66,-0.37131533,0.05511526,1.31441164,-0.25354385,-0.11910450,0.41623294,-0.47106528,0.61223370,0.24852192,0.15889500,0.16483097,0.68483946,-0.19057928,-0.76079333,-0.57021409,36.23970413,0.00000001,1.66545415,1.59612513,-0.06932893,0.00894344,6.28,0.00,
6.13,5.02,0.00,0.20,81.00,157.00,13.00,5.53,nan,24.18,0.71,-1.48496699,-1.08695126,-1.20755672,-0.98925269,-1.19218194,9.05158806,0.00269419,3.72,-1.41047430,-1.67138016,-1.41484642,-1.27033746,-1.88236296,-0.60990107,-0.15171529,-1.34660530,-0.96502477,-1.19021392,8.95596790,0.00283786,-0.32366008,-0.73085570,-0.40719563,17.98506737,0.00003012,-1.79827344,-0.08547109,1.71280241,8.91455173,6.28,0.00,
6.51,4.97,0.00,0.15,81.00,157.00,14.00,5.73,nan,27.70,0.73,-0.42684096,0.05931038,0.73664886,-0.26004231,0.02726899,0.00482409,0.94464161,3.69,0.38952976,0.21405311,0.38102406,0.21364079,0.00002464,-0.24119450,0.93556100,-0.28711852,-0.15540454,0.16096286,0.16459860,0.68504974,-0.52849305,-0.77379674,-0.24530369,6.01512671,0.01478328,0.37878415,2.65141654,2.27263236,15.94248772,6.28,0.00,
2.79,5.62,0.00,0.24,81.00,158.00,7.00,4.09,nan,20.26,0.63,1.42877376,-0.00139649,0.85595822,1.10151243,0.84621197,2.61245584,0.10636086,4.92,0.11888194,1.26440763,0.66260368,0.30545670,1.17424583,-0.10683648,-0.04546512,2.35733199,1.08128321,0.75612193,2.06262565,0.15128223,-0.25545892,-1.01963675,-0.76417780,48.94847870,0.00000000,0.52347404,-1.02632606,-1.54980016,5.94601011,6.28,0.00,
3.59,5.46,0.00,0.21,81.00,158.00,8.00,4.37,nan,19.67,0.62,2.80241680,1.10640538,2.16587329,1.18650913,1.81530118,12.05353737,0.00054033,4.91,1.87705266,2.33021712,1.17268491,1.31905973,2.41033053,1.47543812,2.89430141,2.20235419,1.11832380,1.86477363,12.49329662,0.00042830,-0.17994796,-0.89619195,-0.71624398,43.92715073,0.00000000,0.47268742,-1.85153353,-2.32422090,11.53571510,6.28,0.00,
4.27,5.55,0.00,0.35,81.00,158.00,9.00,4.75,nan,21.26,0.62,2.16199279,1.77040493,1.49850452,1.89663291,1.83188379,13.25579262,0.00028647,4.72,1.78300309,0.70624727,0.92389143,1.19898021,2.36656761,2.16522980,2.63998771,2.47995138,1.85069406,1.78871536,12.55214119,0.00041519,-0.18574435,-0.88473743,-0.69899309,44.84862900,0.00000000,-2.09917474,-1.38324344,0.71593136,0.86643517,6.28,0.00,
4.74,5.58,0.00,0.34,81.00,158.00,10.00,5.00,nan,27.10,0.63,0.92204636,0.42081136,0.09165201,-0.13625690,0.32456321,0.54905009,0.45888997,4.11,0.45267609,0.77213532,-0.65230948,0.97510785,-0.26487684,0.46055284,1.43522418,0.22864935,-0.24273194,0.35125145,0.63761783,0.42477621,-0.24351160,-0.95224011,-0.70872849,51.62326813,0.00000000,-2.91165423,-1.63947940,1.27217472,3.93593073,6.28,0.00,
5.21,5.59,0.00,0.28,81.00,158.00,11.00,5.25,nan,25.02,0.61,-0.07381506,-0.65307409,-0.43842193,-0.68557185,-0.46272072,1.31454659,0.25186303,3.79,-0.43571356,-0.04162137,-0.79088098,0.15455452,-0.30553901,-0.63200474,-0.92380881,-0.50077575,-0.75393879,-0.46949989,1.33605719,0.24802388,-0.30345014,-0.99588281,-0.69243264,54.17401886,0.00000000,-4.57851982,-5.22892189,-0.65040207,1.06003439,6.28,0.00,
5.89,5.50,0.00,0.26,81.00,158.00,12.00,5.58,nan,26.22,0.64,-0.38225862,-0.39052695,0.40643719,-0.27296418,-0.15982814,0.15110181,0.69757211,3.86,-0.20162541,0.33606356,-0.70045918,-1.09249842,0.59874797,-0.24494210,-0.68028235,1.16578472,-0.19732322,-0.11283532,0.07483894,0.78447738,-0.37024736,-0.95499247,-0.58474511,39.13040924,0.00000000,1.66369247,3.16920853,1.50551593,5.87329149,6.28,0.00,
6.17,5.49,0.00,0.18,81.00,158.00,13.00,5.74,nan,29.34,0.69,-0.21573371,-0.43853873,-0.00278346,-0.37330219,-0.25758952,0.34949088,0.55454270,4.09,-0.46376243,0.25200406,-0.91247582,0.06622223,-0.97318333,-0.79143190,0.99714547,0.30701017,-0.35048723,-0.20745443,0.22540189,0.63506458,-0.47500950,-0.86201090,-0.38700143,15.86519718,0.00008642,1.18255723,0.82436383,-0.35819334,0.34538704,6.28,0.00,
2.59,6.04,0.00,0.20,81.00,159.00,6.00,4.23,nan,21.23,0.63,2.81125021,2.65053678,1.80365348,2.62105846,2.47162461,24.58484840,0.00000084,4.68,2.21627903,2.11561823,2.10959458,2.95433068,2.20319963,1.70030904,2.83209348,3.06414890,2.56999779,2.41597843,23.15383720,0.00000174,0.02193294,-0.60303426,-0.62496722,37.78998566,0.00000000,-4.31228876,-4.77133417,-0.45904553,0.34568781,6.28,0.00,
3.08,6.12,0.00,0.30,81.00,159.00,7.00,4.47,nan,20.65,0.62,0.11433171,0.10683561,0.03258600,-0.45559874,-0.05046136,0.01009425,0.91999238,4.71,-0.09604283,0.59411138,-0.39064029,-0.88354605,-0.55020201,0.93500519,0.58855659,0.36667728,-0.46454298,0.01103077,0.00050932,0.98199957,0.01161066,-0.64215559,-0.65376627,41.45240402,0.00000000,-0.94423985,-0.53620279,0.40803707,0.29293245,6.28,0.00,
3.71,5.90,0.00,0.27,81.00,159.00,8.00,4.64,nan,19.66,0.63,2.16412354,1.53880763,1.67216599,1.17325437,1.63708794,8.43198967,0.00377249,5.29,1.17149842,2.44530702,2.35691261,2.73188591,1.41151702,2.01971173,1.97577858,-0.15705176,1.07481956,1.66837215,8.71471405,0.00323491,-0.03897316,-0.71624535,-0.67727220,43.51209259,0.00000000,-3.57610965,-4.18315029,-0.60704058,0.57498962,6.28,0.00,
4.30,5.90,0.00,0.38,81.00,159.00,9.00,4.93,nan,17.53,0.62,2.57732773,2.89310741,2.06052423,2.17731214,2.42706800,16.12484741,0.00006400,5.68,3.36136270,1.91308177,2.73337221,2.80654716,2.70261145,1.33436310,3.51563740,1.75656950,2.17683864,2.47534275,16.61298180,0.00004971,-0.15801585,-0.87268978,-0.71467394,50.20169830,0.00000000,-3.65063667,-6.15880775,-2.50817108,6.29240227,6.28,0.00,
4.77,5.96,0.00,0.36,81.00,159.00,10.00,5.19,nan,24.59,0.63,1.74701238,1.22311258,2.02732301,1.03198624,1.50735855,12.10284424,0.00052640,4.07,1.47906387,1.73427653,1.11749709,1.66533279,1.39900136,2.10011315,1.59986830,2.21436739,1.02213371,1.59081364,13.28219128,0.00028260,-0.27655959,-1.02644384,-0.74988431,60.00811768,0.00000000,1.63372982,0.36991429,-1.26381552,3.44168568,6.28,0.00,
5.35,6.00,3.00,0.29,81.00,159.00,11.00,5.51,nan,28.46,0.57,-0.62886477,-0.64300573,-0.31019256,-0.15476029,-0.43420583,1.12435865,0.28925250,3.84,-1.30845094,-0.40789649,0.22037986,0.22012642,-1.91634035,-0.52395898,-0.20647663,0.21780916,-0.09972490,-0.42230314,1.06211162,0.30299888,-0.37632772,-1.09948599,-0.72315830,58.82153320,0.00000000,-3.28546429,-4.33430529,-1.04884100,3.02807522,6.28,0.00,
6.02,6.03,1.00,0.22,81.00,159.00,12.00,5.88,nan,24.47,0.61,-0.65075237,-0.89036465,0.58682698,-0.30375043,-0.31451011,0.57130969,0.44992711,3.91,-0.17717998,-0.97415447,-0.17365304,-0.71159589,-0.06834107,-0.61590475,1.01499557,-0.13832970,-0.18231677,-0.22493930,0.28717482,0.59216332,-0.48262319,-1.06757450,-0.58495128,37.51323318,0.00000000,-5.11877251,-5.22317791,-0.10440544,0.02851746,6.28,0.00,
2.67,6.33,0.00,0.20,81.00,160.00,6.00,4.41,nan,20.98,0.62,0.78124833,1.08519793,1.66099370,2.16397834,1.42285454,8.92413139,0.00288689,4.47,1.62603045,2.37058735,0.65091974,0.84116924,1.45499730,0.41244495,1.09556353,1.09960687,2.22726560,1.30742300,7.45384455,0.00644836,0.32284537,-0.10530154,-0.42814693,20.13809776,0.00001047,4.54577208,2.23503494,-2.31073713,10.46519184,6.28,0.00,
