x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
8.29,6.11,0.00,0.78,116.00,149.00,14.00,4.57,nan,20.44,0.51,2.49870992,2.55574989,1.83915329,1.44029725,2.08347750,16.35682297,0.00005674,4.84,2.27988434,1.59549224,1.67634463,1.81542957,2.57851768,2.28839135,1.61193025,4.39516306,1.43094873,2.18360329,17.90270042,0.00002552,0.92989510,-1.37232530,-2.30222034,221.25657654,0.00000000,-2.85461783,-3.98486876,-1.13025093,2.42291808,2.88,6.30,
8.68,5.36,0.00,0.67,116.00,150.00,13.00,4.67,nan,24.09,0.60,2.98529983,2.71894217,2.42217541,2.66701221,2.69835734,43.50883865,0.00000000,3.84,2.56080914,2.62934089,3.32215190,1.98405707,3.42144990,2.93616605,2.45578694,2.01660585,2.63281441,2.65946913,41.87682343,0.00000000,1.08045745,-1.27143216,-2.35188961,207.10076904,0.00000000,0.95079339,-1.59649825,-2.54729176,16.81857109,2.87,6.52,
8.34,5.45,15.00,0.82,116.00,150.00,14.00,4.51,nan,18.16,0.56,3.44462276,4.88855934,3.82474756,2.88147497,3.75985122,38.85856628,0.00000000,5.66,3.25551367,4.76145935,4.65932035,3.93773055,3.82096648,2.73239660,3.95710754,6.05475664,3.04017591,4.02035618,44.01262665,0.00000000,0.64928252,-1.62702596,-2.27630854,191.39106750,0.00000000,-1.85025442,-3.45797348,-1.60771906,3.03839302,2.84,6.37,
9.33,4.53,10.00,0.61,116.00,151.00,12.00,4.92,nan,25.24,0.65,2.35726905,2.02892113,1.85333371,1.00663757,1.81154037,18.14075661,0.00002257,3.99,2.33657265,1.97773290,1.52478027,0.73438787,1.79819202,2.78226709,2.34617949,2.84399652,0.98014742,1.92299247,20.32684517,0.00000735,1.12638652,-1.30615544,-2.43254209,204.70269775,0.00000000,0.54390007,-2.75851512,-3.30241537,24.10063362,2.79,6.53,
8.76,4.67,13.00,0.76,116.00,151.00,13.00,4.64,nan,19.88,0.61,6.19709682,5.20916939,5.28178024,4.62574196,5.32844687,112.33046722,0.00000000,4.72,6.03169394,6.59388065,5.47511387,4.16197681,5.75346041,4.64736414,6.21195507,5.00961208,4.57897091,5.37950706,113.63199615,0.00000000,0.82979918,-1.58325291,-2.41305208,197.14492798,0.00000000,2.40965295,-2.20587230,-4.61552525,31.94834709,2.87,6.52,
8.40,4.82,0.00,0.86,116.00,151.00,14.00,4.48,nan,14.57,0.56,-2.11290479,-1.10378885,-1.39835274,-1.51513636,-1.53254569,4.11988497,0.04266142,7.09,-2.40599775,-3.40657449,-0.76614630,0.24684151,-0.54617107,-1.28818035,-1.28691649,-2.10240459,-1.46088827,-1.44482458,3.63512158,0.05687683,0.44409207,-1.78050256,-2.22459459,158.46699524,0.00000000,1.81719518,-1.01566803,-2.83286333,5.75566721,2.84,6.37,
9.52,3.98,0.00,0.68,116.00,152.00,12.00,4.99,nan,27.99,0.64,2.58100653,3.55525899,2.57253194,1.87534475,2.64603567,51.37854385,0.00000000,3.47,2.59507275,3.33399105,3.49380589,3.05557680,2.60324812,2.64788532,2.85347962,2.88380837,1.91849530,2.81777525,57.17425156,0.00000000,0.81214947,-1.72530508,-2.53745461,223.44363403,0.00000000,-1.63265264,-4.71408987,-3.08143711,21.96091843,2.79,6.53,
8.95,4.25,15.00,0.85,116.00,152.00,13.00,4.71,nan,14.12,0.62,6.39270544,6.39170408,6.72163343,5.79435682,6.32509995,80.87782288,0.00000000,6.60,8.98943710,7.32883453,6.41248751,4.32764912,6.55146885,5.18623447,7.22926283,5.89240408,5.87460518,6.41495466,83.37020111,0.00000000,0.66444796,-1.80092335,-2.46537137,196.28947449,0.00000000,0.38401929,-2.69853187,-3.08255124,10.93538666,2.78,6.43,
9.72,3.28,15.00,0.75,116.00,153.00,12.00,5.08,nan,21.78,0.62,3.09202600,3.44360542,2.34391546,2.42901802,2.82714128,40.22921753,0.00000000,4.19,1.89121270,3.26360631,2.46807289,3.87965727,2.70199013,2.69899154,2.89178848,3.77760649,2.37940907,2.88070917,41.31357956,0.00000000,0.77199262,-1.87804914,-2.65004182,248.85182190,0.00000000,8.92545986,4.68142176,-4.24403811,24.44964027,2.72,6.56,
9.87,2.70,0.00,0.80,116.00,154.00,12.00,5.17,nan,17.59,0.62,0.72688341,2.98808384,1.29064143,1.49853146,1.62603509,7.79760933,0.00533702,5.47,2.05577683,0.78444320,2.35624027,2.97758389,1.40529191,2.13757730,0.46879977,1.77122188,1.56363785,1.72278357,8.58070850,0.00347944,0.96040559,-1.73704338,-2.69744897,254.21107483,0.00000000,5.22220945,-1.20143592,-6.42364550,41.72195816,2.66,6.60,
