x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
1.73,5.14,19.00,0.87,110.00,162.00,12.00,3.16,166.00,4.32,0.65,13.77920723,5.17504930,3.13626790,11.29094696,8.34536743,12.58978367,0.00040778,23.58,7.79924297,-0.04865680,13.63121414,8.00247574,8.69818211,10.85894394,0.87856555,7.02939034,11.01799297,7.53327608,9.96254826,0.00165065,0.70906121,-1.98340452,-2.69246578,71.06462860,0.00000000,12.84886360,25.62266159,12.77379799,11.01097870,1.22,1.80,
3.51,5.30,19.00,0.89,110.00,163.00,9.00,3.48,157.00,8.97,0.76,20.96390533,15.00592995,19.75901985,20.19151115,18.98009109,307.28546143,0.00000000,10.86,13.92255974,21.20366478,16.72674561,16.53165436,20.53362846,19.71759224,21.60028267,18.61586952,19.94615746,18.73659515,290.85037231,0.00000000,-0.17135827,-1.42346227,-1.25210392,14.66185951,0.00015922,0.37454122,-5.32401180,-5.69855309,12.52366161,1.08,1.81,
3.25,5.63,0.00,0.86,110.00,163.00,10.00,3.66,168.00,7.40,0.76,15.13778973,15.54907608,17.31864929,15.69414902,15.92491627,171.42823792,0.00000000,12.19,9.91901588,19.97412872,14.85412788,17.02686310,14.54069233,13.31301594,18.26865196,20.11152077,15.60526562,15.94107437,171.48330688,0.00000000,0.30293673,-1.01598895,-1.31892574,17.14188004,0.00004613,-15.68595791,-18.50306320,-2.81710553,1.61631358,1.12,1.76,
1.97,5.67,0.00,0.83,110.00,163.00,12.00,3.59,180.00,5.49,0.72,22.19971275,20.58690834,22.92160988,18.79422951,21.12561417,100.56548309,0.00000000,21.12,15.73842430,21.05435944,21.09895515,20.68668747,17.75142479,27.20248985,20.37268257,31.98093414,18.60466957,21.58846092,104.23882294,0.00000000,0.20925206,-2.34039950,-2.54965138,68.48885345,0.00000000,-2.70064092,-10.04059219,-7.33995152,6.07262325,1.18,1.73,
3.32,6.07,0.00,0.80,110.00,164.00,10.00,4.01,168.00,8.80,0.74,12.90162373,8.06354523,7.72054338,9.88054371,9.64156437,63.96963501,0.00000000,12.09,7.67884254,6.97259426,10.11432171,9.63401413,7.64228249,12.60236263,11.14915657,10.00311375,9.74165630,9.49475574,60.01027679,0.00000000,-0.13376947,-2.02700591,-1.89323640,37.36582947,0.00000000,-1.19868517,-1.03707671,0.16160837,0.01059385,1.08,1.70,
3.08,6.18,15.00,0.83,110.00,164.00,11.00,4.06,170.00,8.15,0.73,14.07073116,8.98687077,10.09452915,13.48648739,11.65965462,65.87108612,0.00000000,14.40,13.57988453,8.59353256,8.36446762,9.13516903,14.45628738,11.93629074,11.04320049,11.26391220,13.38450813,11.29505539,60.18391800,0.00000000,-0.14025673,-2.17903018,-2.03877354,44.95569992,0.00000000,10.44639874,11.24238968,0.79599071,0.25438082,1.08,1.70,
2.35,6.24,13.00,0.83,110.00,164.00,12.00,4.05,169.00,7.49,0.73,18.45527458,13.29122353,11.24538231,14.50145912,14.37333488,79.69660950,0.00000000,16.14,12.85716343,10.83106232,15.08521748,6.20967293,22.04104233,16.73163033,16.25840950,13.15988731,14.38634109,14.15920734,76.29243469,0.00000000,-0.33219734,-2.72492695,-2.39272976,61.00461197,0.00000000,2.42636108,1.89689648,-0.52946448,0.09282678,1.18,1.73,
3.41,6.42,0.00,0.80,110.00,165.00,10.00,4.29,120.00,7.34,0.73,10.41224766,7.01400709,11.41842270,6.32448578,8.79229069,31.34396172,0.00000003,15.75,7.48266077,10.40371990,8.37817669,8.67277718,10.09737587,8.58259201,13.63572598,10.32816410,6.24368477,9.30456161,34.17887497,0.00000001,-0.46767062,-2.89853454,-2.43086386,62.81306458,0.00000000,1.47386551,-3.07477045,-4.54863596,3.51765394,1.08,1.70,
3.29,6.51,0.00,0.83,110.00,165.00,11.00,4.34,117.00,7.08,0.74,8.34918976,9.44131756,8.78146744,7.03360415,8.40139484,20.99389458,0.00000525,18.38,8.61319828,9.35765553,5.80463934,8.67252922,4.35816765,9.79880619,11.31050396,13.48655128,7.12258673,8.71623516,22.19267654,0.00000285,-0.61180770,-2.94797397,-2.33616614,54.93418121,0.00000000,-2.60477448,-6.77508879,-4.17031431,3.60546780,1.08,1.70,
3.42,6.93,14.00,0.88,110.00,166.00,10.00,4.69,142.00,5.21,0.72,1.79493344,3.96034312,2.22801614,1.76448929,2.43694544,1.04228044,0.30756422,23.93,-1.18673790,0.21716109,-0.66099280,-3.52487803,3.50429940,2.18642521,5.50588036,15.31977081,1.84487641,2.57584429,1.15758204,0.28225558,-0.66881824,-3.51155734,-2.84273911,66.00424194,0.00000000,-1.93335223,-8.51251411,-6.57916212,6.05144835,1.03,1.60,
1.73,2.94,0.00,0.88,111.00,159.00,10.00,1.34,151.00,5.89,0.71,-16.71752930,-10.09174061,-8.11396599,-13.08784676,-12.00277042,25.54355240,0.00000052,23.81,-14.24966621,-2.06343937,-19.42750549,0.72931403,-18.25322151,-16.72438049,-17.01817131,-4.82891703,-13.19412994,-11.65834332,24.18149948,0.00000104,1.81526852,2.27519321,0.45992488,3.52358460,0.06155621,-26.67550850,-8.17323017,18.50227928,65.84380341,1.25,1.99,
