x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
3.03,9.85,5.00,0.45,125.00,145.00,15.00,3.30,159.00,24.97,0.59,1.45496678,1.95040596,1.67124248,1.84267211,1.72982180,26.62341690,0.00000030,3.61,1.61531293,1.86597073,2.64878511,1.77680242,0.98565638,1.51538730,1.41889191,1.92699659,1.86283243,1.73344660,26.20539856,0.00000037,1.37030423,-1.17350543,-2.54380965,254.60000610,0.00000000,1.75102592,0.20997964,-1.54104626,8.78908634,2.54,3.03,0.00331710,5.78865671,3.01612210,1.45434630,-3.94369817,3.39376855,0.31987774,0.02894880,2.31129527,0.77140456,0.55089223,0.82489371,0.36398381,0.00564485,12.71268082,2.56491470,0.39241940,-5.94154692,3.92760968,0.43318236,0.03066589,4.57822800,2.11490679,-0.01795608,0.00089102,0.97619301,0.01047575,22.02050972,-4.10597229,0.66840655,-6.00052691,2.41802621,-1.56102777,0.23621833,-1.74954438,0.13626553,-0.27309591,0.25329792,0.61487921,0.00710056,28.49918747,-2.42649984,0.78613442,-3.92805791,3.46284008,-0.25384310,0.01400201,-0.43859488,0.02223849,-0.99612904,2.68943477,0.10134704,0.01021861,23.45010757,-0.18376292,0.00239138,-4.19101429,1.63017464,1.68643892,0.30729246,2.79750299,0.54560852,-0.46154711,0.69469619,0.40478134,0.01586964,23.06484222,-1.12070227,0.06597346,-2.99231839,0.41760826,3.50457692,0.72630441,1.76978862,0.18740936,0.00972253,0.00037273,0.98460085,0.00710056,28.49918747,-2.42649984,0.78613442,-3.92805791,3.46284008,-0.25384310,0.01400201,-0.43859488,0.02223849,-0.99612904,2.68943477,0.10134704,0.01021861,23.45010757,-0.18376292,0.00239138,-4.19101429,1.63017464,1.68643892,0.30729246,2.79750299,0.54560852,-0.46154711,0.69469619,0.40478134,0.01586964,23.06484222,-1.12070227,0.06597346,-2.99231839,0.41760826,3.50457692,0.72630441,1.76978862,0.18740936,0.00972253,0.00037273,0.98460085,
5.29,8.26,5.00,0.37,126.00,141.00,16.00,2.61,203.00,26.81,0.66,4.23148727,3.82101941,4.07361889,4.56198406,4.17202759,185.27658081,0.00000000,3.30,4.70320225,3.96914220,4.75940514,3.34665895,3.20335126,4.27813244,4.49936056,3.60385323,4.58743382,4.10151005,176.60705566,0.00000000,1.64345717,0.27574146,-1.36771572,123.47371674,0.00000000,4.35059786,0.30220252,-4.04839516,58.19191360,2.54,3.81,0.00603144,23.20208740,-1.25281572,0.30419123,-2.17794514,1.25488913,0.43683553,0.06547015,-0.20055225,0.00703693,1.93141079,12.29164219,0.00047629,0.00859491,35.86484909,-3.24841285,0.76595020,-1.71614385,0.39874229,-0.86934304,0.15026250,0.04664018,0.00027107,1.44998491,7.21097374,0.00737234,0.01267132,39.51610184,-11.05950642,5.94815445,2.24021363,0.41332054,-0.74345660,0.06566860,0.09059383,0.00045540,1.65754592,11.44701195,0.00074538,0.00697225,33.24572372,2.00436687,0.64900291,-0.30749720,0.02572820,-0.24540718,0.01585364,1.44866300,0.29388127,1.48667479,7.24774265,0.00722402,0.01014034,27.75658607,2.79006290,0.66416895,-2.37163830,0.62752020,-0.35448083,0.01634822,2.30853176,0.44661188,2.01868558,15.97266197,0.00006924,0.01470704,23.70277405,0.36989099,0.00856308,2.72861338,0.41548762,1.15678382,0.09472904,-0.89369279,0.05717638,2.57048249,33.91870499,0.00000001,0.00697225,33.24572372,2.00436687,0.64900291,-0.30749720,0.02572820,-0.24540718,0.01585364,1.44866300,0.29388127,1.48667479,7.24774265,0.00722402,0.01014034,27.75658607,2.79006290,0.66416895,-2.37163830,0.62752020,-0.35448083,0.01634822,2.30853176,0.44661188,2.01868558,15.97266197,0.00006924,0.01470704,23.70277405,0.36989099,0.00856308,2.72861338,0.41548762,1.15678382,0.09472904,-0.89369279,0.05717638,2.57048249,33.91870499,0.00000001,
5.34,8.02,2.00,0.16,126.00,141.00,17.00,2.55,170.00,30.75,0.57,2.58337569,2.20923996,2.32558155,2.05583334,2.29350758,55.52283096,0.00000000,3.31,2.33483768,1.65417242,2.24842310,1.95469785,1.79117596,3.28765416,2.76050496,2.89554954,2.04581499,2.32798433,56.34955978,0.00000000,1.29800999,-0.01340856,-1.31141853,124.74060059,0.00000000,0.55101806,0.30396751,-0.24705054,0.20099662,2.54,3.81,0.00323488,6.52216864,2.88947535,1.58127427,-0.58788377,0.08930901,-0.13376267,0.00600616,-3.72572780,2.37469697,1.19381666,4.58905554,0.03243067,0.00498205,11.70425987,5.87561417,2.43386054,0.21754098,0.00623099,-1.96492255,0.74534953,-1.83293295,0.40071422,0.81492537,2.21235323,0.13724186,0.01110942,29.69065094,-11.35620594,6.13032484,-0.90047240,0.06525789,-3.08521032,1.10626817,-2.79096341,0.41585216,0.12909511,0.06783972,0.79456501,0.00510231,17.43312836,3.41889644,1.84894133,-1.14472914,0.34842840,-0.80737257,0.16756141,4.83470440,3.20442343,0.36951700,0.43846270,0.50802614,0.00758054,15.32773304,8.86825180,6.63012075,-1.24383402,0.17050835,-2.12198114,0.57782894,5.41862726,2.43105316,0.71809769,1.99719334,0.15791868,0.01147146,14.25474453,8.40100002,4.38604784,-1.79673111,0.17810826,-2.37690711,0.39518872,6.12981844,2.65901518,1.08997011,6.02852345,0.01425495,0.00510231,17.43312836,3.41889644,1.84894133,-1.14472914,0.34842840,-0.80737257,0.16756141,4.83470440,3.20442343,0.36951700,0.43846270,0.50802614,0.00758054,15.32773304,8.86825180,6.63012075,-1.24383402,0.17050835,-2.12198114,0.57782894,5.41862726,2.43105316,0.71809769,1.99719334,0.15791868,0.01147146,14.25474453,8.40100002,4.38604784,-1.79673111,0.17810826,-2.37690711,0.39518872,6.12981844,2.65901518,1.08997011,6.02852345,0.01425495,
4.91,8.41,4.00,0.31,126.00,142.00,16.00,2.60,174.00,31.82,0.57,2.79534674,3.53490758,3.41480470,3.18133616,3.23159885,101.55834961,0.00000000,3.45,1.96129096,3.69972086,3.74230981,2.62416697,2.25808668,2.33051586,3.84927034,5.36918783,3.10110545,3.21185780,101.22776031,0.00000000,1.66722524,0.48438659,-1.18283856,92.87161255,0.00000000,4.14619017,1.50988328,-2.63630676,26.64273453,0.00,0.00,0.00753031,33.49742126,-2.33802199,0.98134559,-0.60744488,0.09042075,-1.20820761,0.46398383,2.30300069,0.85998708,0.39745235,0.48213398,0.48762724,0.01130859,58.16114426,-6.13004875,2.55510235,-0.63680583,0.05146262,-0.79317254,0.11714519,-0.60517514,0.04215195,-0.38474351,0.47560605,0.49058796,0.01663959,63.54324341,-8.21998119,3.06412077,0.68235236,0.03575671,-2.19014072,0.53184921,-3.82913280,0.74672920,-0.01445395,0.00076440,0.97794895,0.00847928,45.18122864,-1.16531718,0.20161161,-0.79115641,0.15616159,-1.49651754,0.54007274,-4.87473345,3.05705452,-0.03494161,0.00374588,0.95120995,0.01289164,41.45076752,1.45097423,0.16599098,-1.36012542,0.19072363,-1.18264437,0.16781688,-3.83046675,1.13595927,0.48788404,0.86207414,0.35339500,0.01582385,25.05936050,-2.03137732,0.23689169,0.58969128,0.01767727,-1.55116689,0.15551108,-4.72677612,1.46077776,1.53163576,10.99811172,0.00094665,0.00847928,45.18122864,-1.16531718,0.20161161,-0.79115641,0.15616159,-1.49651754,0.54007274,-4.87473345,3.05705452,-0.03494161,0.00374588,0.95120995,0.01289164,41.45076752,1.45097423,0.16599098,-1.36012542,0.19072363,-1.18264437,0.16781688,-3.83046675,1.13595927,0.48788404,0.86207414,0.35339500,0.01582385,25.05936050,-2.03137732,0.23689169,0.58969128,0.01767727,-1.55116689,0.15551108,-4.72677612,1.46077776,1.53163576,10.99811172,0.00094665,
5.10,8.23,0.00,0.11,126.00,142.00,17.00,2.57,154.00,29.58,0.57,2.19575882,1.51143527,2.27636862,2.43921208,2.10569382,47.30715561,0.00000000,3.29,0.71469563,2.55159688,1.69370556,2.75424337,2.18619514,1.73003209,2.25116134,2.03783607,2.43463540,2.03730536,43.57185364,0.00000000,1.30578315,0.08312450,-1.22265863,106.97632599,0.00000000,5.81106520,5.50056124,-0.31050375,0.28743401,0.00,0.00,0.00311127,6.14985323,5.80889130,6.51452684,-0.87417430,0.20132470,1.29584467,0.57398391,2.30093455,0.92321885,1.00659621,3.32562852,0.06852236,0.00490841,11.48065376,5.65794420,2.28064609,-2.36681271,0.74442929,-0.28158978,0.01552003,0.54835302,0.03627253,0.62747735,1.32549918,0.24989748,0.00795004,15.11006451,0.78423989,0.02901970,-3.45309615,0.95402277,-1.98451781,0.45484847,0.50085747,0.01327121,0.60939914,1.50300837,0.22051319,0.00502902,16.95596504,-6.49190950,6.67418098,-1.26735210,0.42752698,-1.47617745,0.56065178,-2.17545891,0.64954972,0.15817681,0.08046104,0.77673546,0.00802895,17.16818810,-3.29453802,0.91361260,-0.34318104,0.01302755,-0.71439630,0.06540363,-2.16729927,0.38834515,0.38696846,0.57906145,0.44686947,0.01363658,20.32872581,-3.47083688,0.75555557,0.00530812,0.00000000,0.05604011,0.00026695,-4.57145643,1.49251366,0.63187224,2.04465389,0.15307085,0.00502902,16.95596504,-6.49190950,6.67418098,-1.26735210,0.42752698,-1.47617745,0.56065178,-2.17545891,0.64954972,0.15817681,0.08046104,0.77673546,0.00802895,17.16818810,-3.29453802,0.91361260,-0.34318104,0.01302755,-0.71439630,0.06540363,-2.16729927,0.38834515,0.38696846,0.57906145,0.44686947,0.01363658,20.32872581,-3.47083688,0.75555557,0.00530812,0.00000000,0.05604011,0.00026695,-4.57145643,1.49251366,0.63187224,2.04465389,0.15307085,
4.10,8.80,4.00,0.48,126.00,143.00,15.00,2.71,186.00,22.91,0.65,5.89385128,5.38349438,6.65316868,5.18679667,5.77932787,211.98249817,0.00000000,4.27,4.66051483,6.94389486,6.21766758,6.77612972,5.73092365,5.69300127,7.55038595,4.44649935,5.22659016,5.91026258,219.66227722,0.00000000,1.94851387,0.55135876,-1.39715517,110.44206238,0.00000000,7.67546701,2.81353378,-4.86193323,54.21202850,2.53,3.54,0.01382417,76.81729889,-0.86086738,0.09049349,-2.90156960,1.40365958,-1.67762136,0.60864174,-3.41565633,1.28723061,0.73328960,1.11668515,0.29090227,0.01746417,94.09677887,-5.46305180,1.37660646,-0.56312454,0.02727375,-1.45823264,0.26854593,-4.16438341,1.35312235,0.25764158,0.14463699,0.70379916,0.02516216,98.02454376,-7.26778078,1.61588478,-0.33394486,0.00578698,-5.73686504,2.46170044,-7.98821831,2.19229078,0.93416822,2.28723168,0.13077532,0.01663133,122.36342621,-4.68989086,2.29835629,-2.48608327,1.08550906,-2.84287000,1.37188792,-5.34181404,2.58420777,-0.62639278,0.83223921,0.36185752,0.02631439,121.88886261,-1.87229693,0.19505630,-4.96206808,1.79117918,-4.65252638,1.83311915,-4.17777681,0.95372576,0.21839915,0.12195412,0.72700215,0.04029202,116.04065704,1.55224872,0.09879138,-6.60811615,1.58944738,-2.34447217,0.25372744,-6.86272573,2.19924283,1.47248268,7.25994444,0.00717548,0.01663133,122.36342621,-4.68989086,2.29835629,-2.48608327,1.08550906,-2.84287000,1.37188792,-5.34181404,2.58420777,-0.62639278,0.83223921,0.36185752,0.02631439,121.88886261,-1.87229693,0.19505630,-4.96206808,1.79117918,-4.65252638,1.83311915,-4.17777681,0.95372576,0.21839915,0.12195412,0.72700215,0.04029202,116.04065704,1.55224872,0.09879138,-6.60811615,1.58944738,-2.34447217,0.25372744,-6.86272573,2.19924283,1.47248268,7.25994444,0.00717548,
4.14,8.71,1.00,0.27,126.00,143.00,16.00,2.68,173.00,25.30,0.58,5.49419832,5.59753132,5.80513477,5.63785219,5.63367891,275.99578857,0.00000000,3.65,5.04550886,5.91896725,5.64524317,5.20912457,5.26504612,5.60102320,7.04445887,5.25319862,5.62221098,5.61713076,270.51119995,0.00000000,1.57942164,0.31647810,-1.26294351,104.31721497,0.00000000,4.06097746,0.84312224,-3.21785498,37.38985062,0.00,0.00,0.01263616,89.46164703,1.13659954,0.21995783,-3.70904565,3.19693947,-0.90454686,0.24664073,-0.90610552,0.12629382,1.02530384,3.04286718,0.08141631,0.01617875,112.87392426,-4.18363571,1.12847435,-2.66627240,0.85488296,-1.83434641,0.59405214,-0.23685800,0.00617968,0.52775991,0.84854275,0.35719902,0.02295855,113.61813354,-6.18034124,1.62694871,-6.71794081,3.25581193,-2.74189019,0.78296161,-0.19032308,0.00175498,1.21547389,5.39122677,0.02044913,0.01518525,144.17413330,1.76590848,0.46057183,-0.92465788,0.21227218,-3.54265499,3.01115084,-3.71696663,1.76841033,-0.17151533,0.08820518,0.76653641,0.02496237,156.12718201,2.36927342,0.44456521,-2.48749280,0.64075089,-5.61814594,3.80481791,-2.49971294,0.48600349,0.36783665,0.49225673,0.48309437,0.03932229,158.42500305,1.79963410,0.19039764,1.51591110,0.11992633,-1.06811035,0.07547519,-2.09919620,0.29497874,1.40179181,9.43131256,0.00219387,0.01518525,144.17413330,1.76590848,0.46057183,-0.92465788,0.21227218,-3.54265499,3.01115084,-3.71696663,1.76841033,-0.17151533,0.08820518,0.76653641,0.02496237,156.12718201,2.36927342,0.44456521,-2.48749280,0.64075089,-5.61814594,3.80481791,-2.49971294,0.48600349,0.36783665,0.49225673,0.48309437,0.03932229,158.42500305,1.79963410,0.19039764,1.51591110,0.11992633,-1.06811035,0.07547519,-2.09919620,0.29497874,1.40179181,9.43131256,0.00219387,
3.09,9.25,18.00,0.88,126.00,144.00,13.00,2.99,147.00,28.24,0.74,9.84864807,9.05013466,9.78580284,9.31306934,9.49941349,893.88592529,0.00000000,3.42,9.05305576,9.59385014,10.19386673,10.40441990,8.23771000,9.94450092,9.53450584,9.87434959,9.35266399,9.56697083,892.33374023,0.00000000,1.72498727,-1.10517931,-2.83016658,256.12573242,0.00000000,3.17521882,1.80605626,-1.36916244,8.86668968,0.00,0.00,0.01628225,193.65209961,3.12000561,2.16078639,1.78799200,0.96853334,0.70152211,0.19342104,0.59522861,0.07100265,3.48058677,45.71652985,0.00000000,0.02029243,234.86708069,-0.46903905,0.01878882,3.31100345,1.74364531,-1.62818241,0.61896968,1.72016478,0.42683536,3.04099607,37.26195145,0.00000000,0.02838460,225.69378662,-2.33014250,0.30053416,4.06666660,1.55046177,-1.22860348,0.20433006,4.70117426,1.37381113,3.96892786,74.70217896,0.00000000,0.02030031,364.96826172,-0.15714838,0.00516183,1.32229578,0.61478549,-2.09570718,1.49258959,1.89380383,0.65027308,1.65087044,11.57328892,0.00069700,0.03281825,377.26605225,-2.35864305,0.61591113,1.96481538,0.55885422,-5.55359936,5.19759512,2.07178330,0.46671236,2.51018572,32.04847336,0.00000002,0.05061813,357.43627930,-1.58005381,0.19979523,6.64682436,3.13864160,-6.78250408,4.14403343,1.08429360,0.10713657,4.08257103,108.92166901,0.00000000,0.02030031,364.96826172,-0.15714838,0.00516183,1.32229578,0.61478549,-2.09570718,1.49258959,1.89380383,0.65027308,1.65087044,11.57328892,0.00069700,0.03281825,377.26605225,-2.35864305,0.61591113,1.96481538,0.55885422,-5.55359936,5.19759512,2.07178330,0.46671236,2.51018572,32.04847336,0.00000002,0.05061813,357.43627930,-1.58005381,0.19979523,6.64682436,3.13864160,-6.78250408,4.14403343,1.08429360,0.10713657,4.08257103,108.92166901,0.00000000,
3.24,9.17,0.00,0.68,126.00,144.00,14.00,2.94,153.00,33.36,0.72,3.63425350,2.86553526,3.37523842,3.46415806,3.33479619,123.75811005,0.00000000,3.22,2.90660381,3.22846484,2.83573675,3.83651400,3.25453639,3.86118174,3.41765547,3.02480793,3.47958231,3.31280422,119.21228790,0.00000000,1.81656444,-0.31194448,-2.12850904,191.69779968,0.00000000,0.91747653,0.23754556,-0.67993098,1.84234965,2.50,3.31,0.00598919,24.23877907,3.72397208,2.84769630,-0.76991367,0.16609596,0.75101626,0.20507188,2.75571918,1.40851259,1.13677561,4.51129818,0.03392977,0.00833551,35.68247604,0.62234122,0.02972512,-1.84964478,0.48993886,0.84165978,0.14891236,4.69771147,2.86622834,0.66481471,1.60343623,0.20572766,0.01168898,35.05475616,-2.91054106,0.42944923,-1.65955293,0.23651515,2.43933344,0.73755509,4.75177097,1.28549922,1.02556467,4.56832218,0.03282349,0.00867429,55.32973099,-0.65012163,0.07344504,-1.25802124,0.46209979,0.91671968,0.23718655,3.78910899,2.16136861,-0.03877114,0.00535740,0.94166698,0.01442349,61.19718170,-2.44858313,0.55747175,-4.07221794,2.01600170,1.80844033,0.46281412,5.06771278,2.34510112,0.23480549,0.23551835,0.62757391,0.02242065,59.73017502,-4.49967813,1.38026130,-4.12467098,1.02946544,-0.80498451,0.04980972,1.30974448,0.13318056,0.94540334,4.97507238,0.02594824,0.00867429,55.32973099,-0.65012163,0.07344504,-1.25802124,0.46209979,0.91671968,0.23718655,3.78910899,2.16136861,-0.03877114,0.00535740,0.94166698,0.01442349,61.19718170,-2.44858313,0.55747175,-4.07221794,2.01600170,1.80844033,0.46281412,5.06771278,2.34510112,0.23480549,0.23551835,0.62757391,0.02242065,59.73017502,-4.49967813,1.38026130,-4.12467098,1.02946544,-0.80498451,0.04980972,1.30974448,0.13318056,0.94540334,4.97507238,0.02594824,
3.45,9.05,4.00,0.47,126.00,144.00,15.00,2.86,188.00,26.96,0.66,3.38771772,3.21230197,3.58851433,3.40128994,3.39745593,86.38674927,0.00000000,3.93,2.17100549,2.80912709,3.68690920,4.35704708,3.70287657,3.67764425,3.95769382,3.05540586,3.42708755,3.42377257,86.45074463,0.00000000,1.66856241,0.00676147,-1.66180098,149.65188599,0.00000000,5.44648027,2.76934409,-2.67713642,21.68415451,2.52,3.25,0.00950536,41.82283020,-4.19696140,2.47766304,-0.55960250,0.06012176,4.49382162,5.02947617,-1.51296091,0.29078245,-0.23641384,0.13362546,0.71478372,0.01200049,50.20593643,-10.55816936,5.81019163,-3.17640781,0.98089850,2.62762856,0.98537540,1.10518968,0.10764060,-0.52484500,0.67841476,0.41034007,0.01602248,44.66190720,-10.74760437,3.97086883,-2.88666725,0.48518822,4.13081837,1.43418956,-1.40010107,0.07571408,0.19119707,0.10771230,0.74283623,0.01351909,94.04013062,-7.32411814,6.51968765,-4.09783125,3.43047833,2.58196712,1.31627417,2.13694572,0.48106170,-1.90634155,8.96602726,0.00282182,0.02170664,97.00649261,-6.43624592,2.69552493,-3.30167246,0.92748803,3.32904124,1.09773529,5.14339304,1.69062066,-1.29987514,5.05124044,0.02483733,0.02970898,72.51488495,-7.29105854,2.50565553,-7.63505077,2.43891478,8.91847229,4.21985102,5.96490765,1.90966964,0.17233092,0.11428861,0.73538824,0.01351909,94.04013062,-7.32411814,6.51968765,-4.09783125,3.43047833,2.58196712,1.31627417,2.13694572,0.48106170,-1.90634155,8.96602726,0.00282182,0.02170664,97.00649261,-6.43624592,2.69552493,-3.30167246,0.92748803,3.32904124,1.09773529,5.14339304,1.69062066,-1.29987514,5.05124044,0.02483733,0.02970898,72.51488495,-7.29105854,2.50565553,-7.63505077,2.43891478,8.91847229,4.21985102,5.96490765,1.90966964,0.17233092,0.11428861,0.73538824,
