x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-0.24,8.00,1.00,0.27,106.00,191.00,14.00,2.86,186.00,19.35,0.68,5.53639603,4.29072571,4.21628761,3.51364064,4.38926268,92.42997742,0.00000000,4.49,4.78070593,5.58022547,5.15213346,3.45789266,4.32658100,4.49440432,5.15696859,4.68380928,3.52930021,4.56898451,97.48079681,0.00000000,0.59471858,-1.21971810,-1.81443667,173.30572510,0.00000000,-1.11151052,-1.28640103,-0.17489049,0.04091290,0.00,0.00,
-0.57,8.19,4.00,0.37,106.00,191.00,15.00,2.88,183.00,20.27,0.62,7.06839991,6.23701668,7.21738291,5.14330578,6.41652632,262.15567017,0.00000000,3.90,5.69726562,7.34334373,7.88583660,5.39665508,5.83834171,7.57228088,6.05939627,7.55208349,4.95519638,6.47134447,264.61413574,0.00000000,0.78301930,-1.33116901,-2.11418819,213.98178101,0.00000000,-1.22842681,-4.20841026,-2.97998333,16.68540001,2.47,3.72,
-1.00,8.44,0.00,0.32,106.00,191.00,16.00,2.93,184.00,21.06,0.61,6.83425951,6.32868528,6.78087282,6.77299356,6.67920303,183.17527771,0.00000000,4.86,6.38576317,7.35155773,6.16061115,7.37111044,4.85397243,5.62872744,5.98832035,8.17444897,6.63229322,6.49869537,171.65333557,0.00000000,0.79434246,-1.37726045,-2.17160296,231.15664673,0.00000000,-0.20328514,-4.19413567,-3.99085069,30.86594582,2.45,3.41,
0.67,7.51,0.00,0.15,106.00,192.00,13.00,2.85,176.00,21.02,0.68,0.92993188,1.33181143,1.14049673,1.16899669,1.14280915,6.73920059,0.00957667,4.33,1.60225153,1.84985983,1.14450145,0.73459035,1.70543802,0.74857897,-0.05189026,1.90693748,1.27167082,1.21122515,7.43927670,0.00649934,0.87172377,-0.91090697,-1.78263068,166.90719604,0.00000000,2.78745985,0.92365324,-1.86380672,4.93158340,2.50,4.07,
0.21,7.89,1.00,0.35,106.00,192.00,14.00,2.90,150.00,18.85,0.64,8.12533951,6.91569519,7.57463884,7.03672552,7.41309977,225.58750916,0.00000000,4.86,5.63800907,8.87871456,7.23988152,6.84638596,6.08528280,7.29878235,8.29691792,8.49045849,6.81093311,7.27997589,215.26106262,0.00000000,1.06013250,-1.29456198,-2.35469460,228.86575317,0.00000000,1.28283441,-2.96978474,-4.25261927,21.78495216,2.50,4.07,
-0.26,8.22,8.00,0.54,106.00,192.00,15.00,2.94,157.00,13.47,0.61,12.72589111,10.80853748,12.22667599,12.53504944,12.07403851,302.90536499,0.00000000,6.83,12.38559818,13.31599712,12.04517555,9.50923920,9.60856342,12.16744995,12.87752438,12.75920200,12.40010357,11.88464260,288.72329712,0.00000000,1.26949263,-1.49403369,-2.76352644,243.00190735,0.00000000,4.54552364,0.72284299,-3.82268071,13.50436497,0.00,0.00,
-1.00,8.76,13.00,0.55,106.00,192.00,16.00,3.07,177.00,12.25,0.63,9.75591087,9.52374554,9.02928543,7.36012888,8.91726780,98.00480652,0.00000000,8.87,7.39735365,8.40897942,10.49390221,7.65367746,11.06185722,8.32073975,10.77767372,11.27164555,7.39043999,9.18816566,102.53915405,0.00000000,1.30681241,-1.51550722,-2.82231951,241.77894592,0.00000000,4.11298418,-1.96034670,-6.07333088,21.40340424,2.42,3.39,
1.06,7.46,3.00,0.19,106.00,193.00,13.00,2.93,171.00,20.32,0.65,1.48114240,1.67925811,1.49834931,1.73151183,1.59756541,13.08219624,0.00031374,4.35,1.11956394,2.53508568,0.72945338,0.62799072,1.70046902,3.22313786,1.30203187,1.44718397,1.71546865,1.59844279,12.94607067,0.00033716,1.29886425,-0.88448822,-2.18335247,218.34777832,0.00000000,0.09370923,-0.01200755,-0.10571677,0.01703699,2.52,4.25,
0.66,7.85,0.00,0.41,106.00,193.00,14.00,2.98,136.00,19.30,0.64,5.24811125,5.47278118,4.59386826,5.03041553,5.08629417,126.90672302,0.00000000,4.44,3.83654189,7.34514761,5.56720257,5.98749065,3.93001318,4.20522690,5.04649353,4.35130930,4.93992472,5.01823807,122.98764801,0.00000000,1.62151325,-1.35618508,-2.97769833,279.24700928,0.00000000,1.92269170,-0.56528896,-2.48798060,11.11597633,2.52,4.25,
0.27,8.17,0.00,0.68,106.00,193.00,15.00,3.02,146.00,10.50,0.64,5.36120367,5.71401072,6.20471191,6.21817017,5.87452412,34.28050613,0.00000001,9.88,5.39821815,6.40703154,6.40392399,8.91117096,4.24336958,3.37894940,5.38141918,4.60230732,6.07536268,5.63899469,31.06389236,0.00000003,1.97185826,-1.60058296,-3.57244134,275.92654419,0.00000000,18.61695480,16.60300827,-2.01394629,1.46496892,2.48,4.06,
-0.90,8.98,19.00,0.76,106.00,193.00,16.00,3.17,164.00,4.01,0.67,-3.73009157,-11.79451561,-6.61867905,-13.89535618,-9.00966072,9.68122387,0.00191697,28.50,-6.94543791,-13.55247688,-4.47154570,-4.13192368,-3.67712903,-14.59478855,-7.39980507,-6.95462036,-13.93144894,-8.39816856,8.20731640,0.00426423,2.08653688,-1.54462564,-3.63116241,257.19094849,0.00000000,-1.76263952,0.75594169,2.51858115,0.29603660,2.34,3.06,
-1.73,9.31,0.00,0.65,106.00,193.00,17.00,3.23,200.00,14.21,0.66,9.43534470,7.22135925,6.77569294,5.18690968,7.15482664,124.61643219,0.00000000,6.31,8.10421562,8.56864738,10.11984921,7.27075100,8.10577202,4.49968290,7.83776617,8.21001244,5.31234884,7.55122423,135.94566345,0.00000000,1.84401703,-1.32491457,-3.16893148,254.74681091,0.00000000,10.10957813,4.54096842,-5.56860924,25.28989792,2.35,2.88,
1.51,7.15,0.00,0.10,106.00,194.00,12.00,2.94,177.00,20.03,0.71,-0.26979765,0.28390333,-0.88203466,0.21365222,-0.16356920,0.10214691,0.74933829,5.04,-0.02503577,0.30566093,-0.60810310,0.07839650,-0.02101452,-0.83394802,-0.74529558,0.20431785,0.32041800,-0.14703101,0.08036027,0.77687160,1.16635239,-0.53109378,-1.69744611,157.14533997,0.00000000,-1.57685769,-2.35012770,-0.77327007,1.01214254,0.00,0.00,
