,x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,tgt_theta_first_half p-val,tgt_theta_second_half p-val,0,23,45,67,90,112,135,157,theta all,theta F,sur_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,theta first half all,theta first half F,sur_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,theta second half all,theta second half F,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
12,0.0,0.0,21.0,0.86,13.0,-7.17357683,-0.67446434,-0.87245387,-3.63522291,-3.08892941,0.84732163,0.35757292,31.84,0.36589816,0.60010106,0.11091769,3.16237378,-1.03213942,-2.66641927,-4.46811771,0.2860491,-5.9539628,-3.50171018,-12.21630573,-3.29877901,0.9662447,0.32590022,10.54448795,6.43293238,2.10619593,8.01486492,5.48332024,-15.59640121,-4.64908552,12.68830395,3.12807727,0.41862696,0.51801053,-8.71522999,-11.27693367,-8.50662804,-9.95786762,1.64299738,-9.45425415,-5.40437889,-22.30886459,-9.24764442,3.85887957,0.05010248,2.10962057,-12.86133003,3.17510939,8.70039082,15.39345455,-13.89012909,-11.50997543,-0.97233826,2.87833238,0.43253508,0.5109276,9.25641632,10.33123684,3.88782692,3.00621629,-4.80232096,-10.10426331,-12.0643816,-9.96220398,2.06277514,0.22811104,0.63305212,-21.21882629,-13.05560684,4.82117033,-12.06311226,-3.01149392,1.47018504,-4.67776012,-9.3963232,-3.30859661,0.58980989,0.44270822,-21.82784271,-21.11287689,0.71496636,0.6614759,0.41681638,-1.11573911,-1.60578752,-0.49004841,0.007959,0.28,0.55
13,0.0,0.0,1.0,0.0,114.0,0.70404911,-1.19671202,1.07214248,-1.64740038,-0.2669802,0.06488328,0.7989996,9.94,0.95644977,0.52943422,0.23371951,-2.05777788,0.82925206,-1.0275619,-1.44005573,-0.60153723,-0.33229521,0.84396154,1.34450674,-0.30518848,0.08421867,0.77173106,-0.60011637,-3.21808243,-0.69734251,-1.23714662,-0.07644708,-3.65805078,-3.87303352,-1.56935275,-1.86619651,1.08529377,0.29817346,3.94346237,2.6865468,2.27245474,-0.95589912,0.33131248,0.29912177,-0.83194542,3.59344244,1.41731203,1.34883285,0.24610206,-3.53520155,0.34410244,0.0453538,-2.99541116,-7.69227028,-1.23647046,-3.09933662,8.62514687,0.4088558,0.09050897,0.76360546,4.32415771,-2.74818349,4.86972475,2.24291539,0.11925253,-1.92647541,3.41861582,-1.29973018,2.64928913,3.86236525,0.04970941,-1.744699,2.22977734,-5.90026569,-1.47061062,6.48785019,1.71735132,1.13380706,1.50097775,2.2942667,2.92883801,0.08737881,-1.96026993,-2.0666275,-0.1063576,0.07924414,0.77855815,-9.35095596,-9.15004349,0.20091328,0.00797701,0.0,0.0
14,0.0,0.0,3.0,0.24,126.0,-2.19100642,0.9357056,-1.29912281,0.14460519,-0.6024546,0.551467,0.45792455,7.7,0.27667986,0.96019758,0.03702984,-1.14774406,-2.36608338,0.17831036,-2.113065,0.38852811,-1.79598486,0.69112897,0.5184716,-0.70580482,0.75143236,0.38626949,0.23470975,-1.89917135,-1.26629293,1.51775539,-2.11531186,1.45032573,0.95848268,2.25832033,0.14235221,0.01442767,0.90445485,-4.2503686,-2.70790958,-0.39154938,-1.83640337,-2.77824569,-1.18099058,-1.98215592,-1.12418795,-2.03147626,3.86395192,0.0499526,2.70417118,3.74361444,1.4636991,1.52873242,-3.03035879,3.00935578,-5.68531132,2.78702068,0.66366494,0.3959085,0.52938075,-6.3037262,-2.08122516,-0.35569468,1.1630044,-2.97950935,0.23549195,5.34567785,-4.33353043,-1.20808899,1.35875666,0.24408356,-1.20671678,-3.07270527,4.15856886,0.75314772,-4.22641134,-5.52035761,-3.15836334,-3.47053313,-2.33182526,5.06335449,0.02469462,0.15001312,0.25154996,0.10153684,0.08133374,0.77573511,-2.96664786,-3.97771502,-1.01106703,0.40223861,0.0,0.0
15,0.0,0.0,1.0,0.23,126.0,-3.44057465,-2.90136027,-1.44647837,-2.31519055,-2.52590084,7.87914991,0.00511549,8.54,0.00244548,0.47024519,6.1e-06,-4.28365755,-1.55164945,-5.04170275,-0.07460658,-3.26324725,0.0172654,-2.42097378,-4.42533731,-2.63048863,8.64343739,0.003372,3.48324466,1.12982488,-1.74835217,0.0981431,2.32124496,3.66330981,-1.66929722,0.14573739,0.92798191,0.47584724,0.49072714,-4.62748957,-4.19956112,-6.76322412,-1.47042441,-8.68119812,-3.05791688,-7.74069262,-7.58987474,-5.51629782,21.41418076,4.85e-06,-6.2274332,2.14089012,-6.30771351,-2.22112966,-8.61612892,-0.69454283,-0.86815995,0.19753049,-0.58557659,0.25100482,0.61649954,-0.62701476,0.46344811,-7.63214111,1.53301811,0.86332643,-1.33025849,-1.16650033,-3.76456881,0.92626643,0.64281189,0.42292087,-2.13932037,2.52449489,-6.90424156,-12.30862999,-4.17827892,-5.65135765,-0.70356399,-0.0726539,-1.1330471,0.98793226,0.32053416,0.87562668,0.97066754,0.09504087,0.14416943,0.70449435,6.20024061,3.67975545,-2.52048516,2.61447358,2.58,1.26
16,0.0,0.0,4.0,0.32,104.0,-1.15675223,-1.05298412,-3.38623738,-2.77899003,-2.09374094,5.59748316,0.01821031,8.4,0.02106304,0.32674587,0.05337131,-2.31743073,-2.95276928,-5.07560825,-1.50647819,-1.47177517,-1.95414639,-2.56273103,0.00450503,-2.22955418,6.34208488,0.01197453,-2.47198462,-3.84526205,-1.17864382,-1.39138079,-0.18355212,1.67207038,-4.88274431,-1.93748844,-1.77737319,1.51066661,0.21979199,-1.62378502,-0.57345003,-1.09883177,-2.16071415,-7.52494144,0.29100105,-4.32785368,-1.54281008,-2.32017303,4.54111004,0.03363521,-7.23524809,-1.45516109,-1.83219028,6.94536257,-2.05190563,1.15213037,-6.14830065,-0.64210469,1.4419136,1.59081495,0.20755948,-4.08305073,-0.66974241,-5.90480423,-6.30835533,-3.72174549,-0.91019589,-1.44745564,-3.72657204,-0.51676863,0.20561092,0.65034647,2.22982526,1.44455492,-6.08456516,-1.71640193,-2.08975649,-4.87461662,3.7527678,-2.72586918,1.52588546,1.82362044,0.1772462,1.55887914,1.89371371,0.33483461,1.18463326,0.2774671,9.95067024,11.45384789,1.50317764,0.93316215,2.7,1.26
17,0.0,0.0,9.0,0.37,102.0,0.48027197,0.4762063,-0.47460777,0.27832296,0.19004837,0.0679994,0.79433555,6.92,0.84605695,0.13425303,0.53216692,-2.13987923,2.44178772,0.81671226,0.84000903,-0.68102431,0.45742682,0.58488566,-1.02291214,0.16212574,0.04991918,0.82325802,4.81530285,2.29315066,-0.54026276,-1.42131472,2.67864347,3.26975942,1.92712784,1.22472703,1.78089178,2.29910851,0.13027317,1.64675081,-0.30213901,0.08452351,1.84165192,-6.95956945,-0.54603732,-2.26060486,1.0829196,-0.67656314,0.58003539,0.44670007,-1.42792141,-4.251616,3.1580987,3.39231467,-0.49358708,0.48124975,0.00630433,1.56443095,0.06928179,0.0053124,0.94191401,-1.20085669,4.8647542,-5.27065039,-2.14644551,-3.96447873,0.94522274,-1.68485355,3.47588158,-0.84299523,0.82180154,0.36491362,-2.45150042,1.85978699,3.49885082,-1.9874754,5.39453173,0.50054532,-0.94099653,-1.92187464,0.21123794,0.05149762,0.82053265,1.76189709,2.1779325,0.41603538,1.48149264,0.22469345,-4.91100311,-6.86272907,-1.9517262,1.74627984,2.7,1.26
18,0.0,0.0,5.0,0.32,102.0,-5.26399088,-3.06963992,-4.60824633,-5.95589685,-4.72444344,12.63354778,0.00039983,12.61,0.00075915,0.01683853,0.01458514,-5.2215414,-6.1236887,-1.73636138,-1.01114559,-8.7121067,-5.94701719,-2.07628512,-8.82684517,-4.95687389,14.13185787,0.00018217,-4.58005238,-11.05220222,-3.61022782,-3.43727446,-5.62258387,-0.20518893,-7.20877981,-3.14722562,-4.8579421,7.34970045,0.00700929,-12.6365509,-7.52611637,0.22801274,0.31175062,-6.15144777,-5.85629416,-6.67544699,-7.67304182,-5.7473917,8.9623909,0.00290878,-4.68280458,-7.19873142,5.76980066,1.55704546,-6.80711126,3.05519867,-8.29473114,-11.40740204,2.42848206,1.99466836,0.15822354,-11.66453266,-11.70339108,-4.52259159,-1.18339527,-5.3792243,-2.5929544,-5.49584103,5.60923433,1.45723176,0.73529547,0.39141638,-3.41612005,-6.85337019,-4.90880966,-11.91646385,-1.07565618,-6.72601414,-2.69776082,-4.32370758,0.75370717,0.19501691,0.658887,1.48029721,1.74572873,0.26543149,1.20395648,0.27359231,8.65659428,7.8952632,-0.76133102,0.14986683,2.49,1.27
19,0.0,0.0,8.0,0.42,98.0,-5.82710648,-1.55229819,-4.71650028,-8.06570435,-5.04040194,8.62945175,0.00339729,16.28,0.00998182,0.89804344,0.00029162,-3.41451621,-7.16913509,-5.27609921,-5.50597382,-8.95314598,-1.86432028,-0.74880987,-8.42442703,-5.16955328,9.04742718,0.00270874,1.93783915,3.66422653,-3.30303645,-3.62551785,2.19752812,-2.00883603,7.78559017,0.91857165,0.94579566,0.14833964,0.70034093,-18.58809662,-10.40072918,-8.1380167,-9.29212284,-3.66751313,-15.49540901,-7.76014328,-11.38155937,-10.59044838,19.23439217,1.443e-05,0.49316934,1.29205287,-4.95931435,5.04768753,-5.56118536,-7.2452054,8.24344158,-9.36413574,6.67771149,8.93950367,0.00287201,-6.51839685,-0.92672789,0.95760167,-10.70533562,7.43150663,-8.21875954,-11.84031773,-7.49996424,3.45499659,2.4670217,0.11663416,1.86666632,-7.26012659,1.49116182,-6.396492,0.68586117,-13.06680393,-6.16795635,-14.4470129,2.22139645,1.02461457,0.31171804,2.13219762,2.64811492,0.51591724,3.1661334,0.07639997,21.26358986,25.12796021,3.86436987,2.22480226,2.62,1.26
20,0.0,0.0,3.0,0.2,112.0,0.09870157,0.4375062,1.10540628,-1.83910096,-0.04937172,0.00483513,0.9445801,6.73,0.77141623,0.30038132,0.69174308,-0.41294578,0.5424127,-0.60156202,1.73171568,-0.25895905,-1.14969397,-1.27025044,0.11773168,-0.1626939,0.05200285,0.81966933,2.35470366,0.84959507,-1.57906473,0.74317932,-2.27865195,3.74566531,1.13122356,1.30429983,0.78386879,0.55301964,0.45754244,-1.25352585,2.15613627,-2.29005718,-0.40550762,1.66699791,-2.82201529,-0.87319118,-3.72716832,-0.94354141,0.95536339,0.32888652,2.89342141,4.39229774,-4.57261038,-0.42178795,5.02973986,-1.80803525,-0.9619953,-0.06401384,2.44557095,7.096457,0.00787147,0.02884304,5.83782816,2.20594597,2.32643294,-4.796031,6.41859245,-0.49338764,-3.2378552,2.86899328,10.13349628,0.00150953,-0.31620589,-0.80493635,1.75798774,0.87751526,1.57238019,-0.78434426,-0.73848903,-0.185868,1.93873036,4.51013947,0.03398583,0.36286235,0.42905742,0.06619507,0.09640559,0.7564462,2.73487687,3.81198645,1.07710958,0.82383561,2.31,1.31
21,0.0,0.0,4.0,0.35,96.0,-0.05752982,-0.54258496,-1.82284987,-0.9064936,-0.83236456,1.35323083,0.24504132,6.79,0.3047153,0.70943618,0.01356162,0.04652734,-2.10733891,0.38231328,-0.33986935,-1.89313293,-0.66815048,-1.72504771,0.1169467,-0.77346903,1.16594899,0.28054365,2.16787648,0.97388309,-0.38465822,-0.32494965,0.03836809,-0.91353011,2.39051342,2.32111454,0.7835772,0.52970862,0.46717408,-3.64416552,-3.32005692,-1.43043888,-1.24303436,-4.00150108,-3.42085862,-0.05855136,-1.81557131,-2.36677217,6.40044641,0.01175164,0.93084311,-1.05400908,-1.72936261,1.73595452,-2.29704499,1.76109445,-2.62817907,-1.70596886,0.29169068,0.09738422,0.75506889,1.05741322,-1.71458566,-0.39557269,-2.98037338,-6.18852139,-0.99933803,-3.51888323,-0.50858104,-1.10653722,1.44752383,0.22926427,2.37506318,-4.88567448,3.44286871,1.00958848,0.0540625,1.0971173,0.52308935,-2.51637268,0.92194688,1.01674819,0.31358161,1.28719223,1.66582716,0.37863493,2.85464478,0.09236199,-3.5737071,-2.77209759,0.80160958,0.36992967,2.38,1.33
