Subject,sur,iso90,orth,iso0
pnr143,-0.3795853828690137,-0.24429538536811493,0.14354675782780105,-0.08024369398592857
pnr256,-0.5734124397766948,-0.709637018912753,-0.43964064642778794,-1.2836871649893886
pnr328,-1.2074410280752055,-1.2646733172477869,-1.3937852558848676,-1.17848087603561
pnr495,-0.0031727427557983294,0.1390428041643892,0.37590156297826277,0.17838507921716448
pnr510,-0.22591415703358217,0.13756209943742032,0.06538759908296997,0.5587940231923405
pnr579,0.10650876962139647,0.02398756976319526,-0.3063840374939826,0.32550488971366587
pnr668,2.2525138886292013,2.6490410336843633,2.6217141235664005,2.2391934985173636
pnr685,-0.17114991981437097,-0.3608281812916271,-0.3713256586638579,-0.6241125413512738
pnr713,-0.21925771430954466,-0.21457378570542787,-0.029709311439608754,0.30135962551972256
pnr739,-1.434155157188278,-1.0730697891802925,-1.168228389581258,-1.159984207654586
pnr756,1.1252538235879126,0.33121305533705747,0.026704648744121675,-0.08859753175484669
pnr822,0.729812059983975,0.5862309153195732,0.47581860729181186,0.8118688996113765
