label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,0.01,6.00,0.77,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,1.21,6.00,0.81,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,2.41,4.00,0.82,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,4.21,4.00,0.84,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,6.01,4.00,0.81,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,7.81,3.00,0.83,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,9.01,3.00,0.90,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,10.81,3.00,1.02,r,1
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,12.61,2.00,0.89,r,0
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,14.11,3.00,0.90,r,1
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,15.31,3.00,0.95,r,0
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,16.51,4.00,0.94,b,1
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,18.31,4.00,0.96,b,1
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,19.81,4.00,0.88,b,1
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,21.31,3.00,0.91,r,1
orth_22,22.50,112.50,0.00,0.00,0.4000,0.40,22.81,3.00,0.89,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,24.61,3.00,0.93,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,26.11,2.00,0.85,r,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,27.31,2.00,0.93,b,0
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,28.81,3.00,0.95,r,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,30.61,3.00,0.88,b,0
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,32.11,4.00,0.96,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,33.61,4.00,0.89,r,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,34.81,4.00,0.84,b,0
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,36.61,6.00,0.93,r,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,38.11,6.00,0.88,b,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,39.61,6.00,0.89,r,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,40.81,4.00,0.86,b,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,42.31,4.00,0.80,b,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,43.81,4.00,0.88,r,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,45.31,3.00,0.89,b,1
iso_112,112.50,112.50,0.00,0.00,0.4000,0.40,46.81,3.00,0.86,b,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,48.01,3.00,0.94,b,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,49.81,2.00,0.89,b,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,51.31,2.00,0.90,r,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,53.11,2.00,0.91,r,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,54.91,1.00,0.94,r,0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,56.41,2.00,0.83,b,1
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,57.61,2.00,0.93,r,0
iso90_67,67.50,67.50,0.25,0.00,0.4000,0.40,58.81,3.00,0.87,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,60.01,3.00,0.97,b,0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,61.51,4.00,0.99,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,63.31,4.00,0.83,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,64.51,4.00,0.80,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,65.71,3.00,0.93,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,67.51,3.00,0.97,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,69.01,3.00,0.75,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,70.81,2.00,0.79,r,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,72.31,2.00,0.86,r,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,73.51,2.00,0.91,b,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,75.01,1.00,0.76,b,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,76.51,1.00,0.81,r,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,78.01,1.00,0.82,r,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,79.21,1.00,0.85,b,0
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,81.01,2.00,0.86,b,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,82.81,2.00,0.82,r,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,84.01,2.00,0.86,b,0
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,85.51,3.00,0.82,b,0
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,87.01,4.00,0.82,r,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,88.51,4.00,0.84,r,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,90.01,4.00,0.81,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,91.21,3.00,0.88,r,0
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,93.01,4.00,0.78,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,94.81,4.00,0.99,r,0
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,96.31,6.00,0.88,b,1
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,97.51,6.00,0.89,r,1
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,99.31,6.00,1.03,r,1
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,101.11,4.00,0.88,b,0
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,102.31,6.00,0.87,r,1
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,104.11,6.00,0.84,r,1
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,105.31,6.00,0.88,b,1
iso_135,135.00,135.00,0.00,0.00,0.4000,0.40,106.81,4.00,0.84,r,1
