x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-8.11,2.87,0.00,0.72,109.00,153.00,7.00,3.16,nan,14.66,0.64,5.14296150,5.79611063,5.18917179,5.01751995,5.28644085,66.39260864,0.00000000,6.89,3.63838625,8.53287888,4.69988060,3.89981413,4.50346470,5.37522745,5.02068710,7.64835072,4.98883104,5.36213493,68.64489746,0.00000000,-1.09057605,-3.11567402,-2.02509809,71.24013519,0.00000000,0.94253725,-0.36122695,-1.30376422,1.70289505,0.48,3.40,
-7.93,2.30,17.00,0.78,109.00,153.00,8.00,3.04,nan,16.24,0.63,0.89323992,1.86687350,2.55622888,2.35904336,1.91884637,10.67569923,0.00112426,6.23,0.89255363,1.49428427,-0.56693846,4.26569271,2.06298614,1.88993919,2.30915308,1.46374941,2.30885887,1.78935099,9.21204185,0.00246985,-2.11321306,-3.59629464,-1.48308146,50.88120651,0.00000000,2.59242487,-0.52824354,-3.12066841,10.43734074,0.48,3.40,
-7.80,2.08,19.00,0.84,109.00,153.00,9.00,2.99,nan,16.44,0.62,1.34333813,-0.49800831,0.94295096,0.17555854,0.49095982,0.72597235,0.39440567,6.12,0.00870104,-0.58665895,-0.77778298,2.07648659,0.88670290,0.31750485,1.22858965,1.46933639,0.22432917,0.53804016,0.85860103,0.35436606,-2.74203372,-3.95734835,-1.21531463,38.63836288,0.00000000,-9.66731167,-8.53812504,1.12918675,1.67317915,0.53,3.39,
-9.40,5.21,12.00,0.40,109.00,154.00,2.00,5.14,nan,15.43,0.83,3.38566852,2.76106715,3.58904743,3.14864731,3.22110748,27.24908066,0.00000022,6.55,-0.02404036,4.03422737,4.67014408,2.96251130,3.16116071,5.14593363,4.17585087,2.64551473,3.23212695,3.33038068,29.21634674,0.00000008,1.15892947,-3.05220675,-4.21113634,122.47876740,0.00000000,-7.31641722,-6.03741312,1.27900410,2.36041474,0.08,3.58,
-8.88,4.92,13.00,0.53,109.00,154.00,3.00,4.57,nan,13.85,0.80,6.90351439,6.39434481,7.17019176,7.49726582,6.99132919,119.98274231,0.00000000,6.77,5.69314909,6.70836258,6.74009848,5.84307337,6.41577959,8.25763130,7.00830030,8.32034302,7.56280184,6.94299889,117.03666687,0.00000000,1.25246859,-3.09792972,-4.35039854,132.64323425,0.00000000,-1.92654872,-6.70474529,-4.77819681,16.99613762,0.14,3.48,
-8.46,4.48,16.00,0.69,109.00,154.00,4.00,4.00,nan,7.45,0.63,21.13215446,19.88000107,19.16014862,17.31253815,19.37121010,267.20855713,0.00000000,12.58,14.56175995,22.07971382,23.32856560,20.65558624,15.21185875,22.64488220,20.82943916,22.87877655,17.47179604,19.94252396,285.49114990,0.00000000,1.24264395,-2.63577056,-3.87841439,128.71913147,0.00000000,6.20107937,-4.27106571,-10.47214508,34.97017670,0.14,3.48,
-8.02,3.97,16.00,0.76,109.00,154.00,5.00,3.42,nan,11.31,0.52,12.59445667,10.82824135,10.86078262,11.52676773,11.45256233,201.84413147,0.00000000,8.56,8.86650944,9.83251381,11.28752327,13.59724998,8.19518948,12.75637531,11.60249805,16.09189415,11.64179516,11.52974224,207.22534180,0.00000000,0.68427074,-2.14631653,-2.83058715,102.60117340,0.00000000,5.70216227,1.57662356,-4.12553883,9.50726223,0.27,3.43,
-7.80,3.53,0.00,0.68,109.00,154.00,6.00,3.09,nan,15.09,0.61,7.44373989,6.44850969,6.60930204,7.70085192,7.05060101,139.90296936,0.00000000,6.33,4.40289068,6.13091755,6.79006958,8.80068684,4.97442818,8.50606251,5.76345348,9.81384850,7.67921019,6.97763395,139.10765076,0.00000000,-0.35779589,-2.16174412,-1.80394828,66.51399231,0.00000000,2.90309429,2.48443341,-0.41866091,0.19325365,0.39,3.33,
-7.68,3.23,0.00,0.67,109.00,154.00,7.00,2.92,nan,13.94,0.60,6.53058577,3.33828545,5.80073547,5.24179316,5.22784996,58.83016968,0.00000000,7.23,4.53572464,3.23720908,6.10447788,5.38695335,4.15221405,6.16706991,5.96509790,6.60541344,5.40515375,5.27908421,58.67666245,0.00000000,-1.48266912,-2.62693787,-1.14426863,37.41283798,0.00000000,-6.37794876,-5.04512072,1.33282840,1.35743845,0.47,3.30,
-7.37,2.52,17.00,0.77,109.00,154.00,8.00,2.67,nan,13.39,0.62,4.77432299,2.20595026,4.41959047,4.40298176,3.95071149,41.45675659,0.00000000,6.51,5.72041702,3.36533308,3.01615143,3.79957151,3.64948130,3.32289743,4.43485641,2.38454819,4.45256424,3.79018593,37.33862305,0.00000000,-2.37063098,-3.17968249,-0.80905163,21.25679779,0.00000604,0.01638576,-3.49195409,-3.50833988,9.90199947,0.47,3.30,
