Subject,0.0,0.5,1.0
pnr143,7.0,17.0,19.0
pnr256,29.0,43.0,32.0
pnr328,25.0,53.0,23.0
pnr495,24.0,97.0,121.0
pnr510,21.0,73.0,63.0
pnr579,21.0,43.0,32.0
pnr668,10.0,18.0,14.0
pnr685,43.0,109.0,92.0
pnr713,24.0,85.0,54.0
pnr739,27.0,67.0,70.0
pnr756,22.0,41.0,56.0
pnr822,17.0,64.0,63.0
Average,22.5,59.166666666666664,53.25
Std Dev,8.779711460710615,27.721331537684517,30.416894976312097
