rad (sigma),avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.5,0.011704289092584141,1.0624678848383147,0.05,12,0.011704289092584141,0.97412109375,4096.0
1.5,-0.13724838385246838,0.644746432417467,0.05,12,-0.13724838385246838,0.5494548740671642,4096.0
2.5,-0.6719638099213832,0.6543502456142244,0.05,12,-0.6719638099213832,0.004279641544117647,4096.0
3.5,-0.5714043885459765,0.5249792353174446,0.05,12,-0.5714043885459765,0.006790364583333332,4096.0
4.5,-0.4985213882914747,0.5835317304461198,0.05,12,-0.4985213882914747,0.026887313179347828,4096.0
