rad (sigma),avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.5,0.695869334835855,0.5255493828809561,0.05,12,0.695869334835855,0.0024251302083333334,4096.0
1.5,0.7572708766157922,0.40646187636086883,0.05,12,0.7572708766157922,0.0016919513081395346,4096.0
2.5,0.8334741144910046,0.36345222299170926,0.05,12,0.8334741144910046,0.0016919513081395346,4096.0
3.5,0.6247016502072187,0.40151073879586663,0.05,12,0.6247016502072187,0.0024251302083333334,4096.0
4.5,0.3907068015967852,0.42138320421620257,0.05,12,0.3907068015967852,0.011051226265822785,4096.0
