Subject ID,Hemi,Voxels Before Deveining,Voxels After Deveining,Total Dropout Rate,Superficial Dropout Rate,Middle Dropout Rate,Deep Dropout Rate
pnr256,lh,529.0,491.0,0.07183364839319473,0.15540540540540537,0.05641025641025643,0.021505376344086002
pnr256,rh,330.0,299.0,0.09393939393939399,0.23958333333333337,0.047244094488189003,0.01869158878504673
pnr328,lh,364.0,331.0,0.09065934065934067,0.19166666666666665,0.06428571428571428,0.009615384615384581
pnr328,rh,426.0,375.0,0.11971830985915488,0.17261904761904767,0.12408759124087587,0.04132231404958675
pnr495,lh,370.0,330.0,0.10810810810810811,0.23913043478260865,0.1103448275862069,0.015037593984962405
pnr495,rh,669.0,598.0,0.10612855007473843,0.19838056680161942,0.07335907335907332,0.018404907975460127
pnr510,lh,862.0,621.0,0.2795823665893271,0.6175438596491227,0.1777777777777778,0.03435114503816794
pnr510,rh,229.0,209.0,0.0873362445414847,0.12068965517241381,0.09900990099009899,0.042857142857142816
pnr579,rh,506.0,439.0,0.1324110671936759,0.2459893048128342,0.08854166666666663,0.03149606299212604
pnr579,lh,454.0,389.0,0.14317180616740088,0.23030303030303034,0.14457831325301207,0.024390243902439046
pnr668,rh,638.0,483.0,0.24294670846394983,0.6445783132530121,0.16730038022813687,0.019138755980861233
pnr685,rh,419.0,307.0,0.26730310262529833,0.45985401459854014,0.22513089005235598,0.06593406593406592
pnr713,lh,236.0,177.0,0.25,0.4651162790697675,0.27192982456140347,0.10126582278481011
pnr713,rh,344.0,277.0,0.19476744186046513,0.22330097087378642,0.274074074074074,0.06603773584905659
pnr739,lh,895.0,538.0,0.3988826815642458,0.7403508771929825,0.36250000000000004,0.10344827586206895
pnr739,rh,656.0,442.0,0.3262195121951219,0.7864077669902912,0.18297872340425536,0.041860465116279055
pnr756,lh,757.0,598.0,0.21003963011889037,0.48571428571428577,0.14769230769230768,0.04054054054054057
pnr756,rh,566.0,462.0,0.18374558303886923,0.27564102564102566,0.21962616822429903,0.0714285714285714
pnr822,lh,354.0,327.0,0.07627118644067798,0.23529411764705888,0.02631578947368418,0.052238805970149294
Mean,,505.4736842105263,404.89473684210526,0.17805603588596516,0.3540825766066754,0.15069407230359935,0.04313498947425293
Std Dev,,196.77408603693857,129.970464481077,0.09459502742774936,0.21067932642899387,0.08961383402519305,0.02757421754206958
