rad (sigma),avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.5,0.41198245740694533,0.46887295655781813,0.05,12,0.41198245740694533,0.01863209794207317,4096.0
1.5,0.23097719348018264,0.2644369048360135,0.05,12,0.23097719348018264,0.021586323832417584,4096.0
2.5,0.234474836294279,0.347085000047092,0.05,12,0.234474836294279,0.05404575892857143,4096.0
3.5,0.20946474165544515,0.4192367809556096,0.05,12,0.20946474165544515,0.11703889266304347,4096.0
4.5,0.1716599257268603,0.3644361285766033,0.05,12,0.1716599257268603,0.19142626152663933,4096.0
