rad (sigma),avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.5,1.2890658485798,0.8705838310076536,0.05,12,1.2890658485798,0.0016919513081395346,4096.0
1.5,1.1442441461880861,0.5051187965187679,0.05,12,1.1442441461880861,0.0016919513081395346,4096.0
2.5,1.1507505041389214,0.47835839748905723,0.05,12,1.1507505041389214,0.0016919513081395346,4096.0
3.5,0.8126185651967526,0.4508406258455324,0.05,12,0.8126185651967526,0.0024251302083333334,4096.0
4.5,0.6180208340003487,0.5303771219808883,0.05,12,0.6180208340003487,0.006790364583333332,4096.0
