rad (sigma),avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.5,2.4281684687937544,1.4156069019513284,0.05,12,2.4281684687937544,0.0016919513081395346,4096.0
1.5,2.193069591385429,0.724301754285002,0.05,12,2.193069591385429,0.0016919513081395346,4096.0
2.5,-0.23031145228782082,0.6241393378903352,0.05,12,-0.23031145228782082,0.29617141363188976,4096.0
3.5,-2.2524446970731162,0.8597919839570148,0.05,12,-2.2524446970731162,0.0016919513081395346,4096.0
4.5,-3.0466523975412994,1.2479608199896461,0.05,12,-3.0466523975412994,0.0016919513081395346,4096.0
