rad (sigma),avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.5,0.235719499921516,0.5847450947624379,0.05,12,0.235719499921516,0.24387109375,4096.0
1.5,-0.013015219563738115,0.5588834632273773,0.05,12,-0.013015219563738115,0.9492418443834459,4096.0
2.5,-0.4021434918643787,0.47391784917769075,0.05,12,-0.4021434918643787,0.02101779513888889,4096.0
3.5,-0.4617377453862035,0.4691579997808729,0.05,12,-0.4617377453862035,0.01273193359375,4096.0
4.5,-0.30845447891443967,0.42967500539259035,0.05,12,-0.30845447891443967,0.047076056985294115,4096.0
