Subject,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,1.0
pnr143,2.0,5.0,5.0,7.0,9.0,6.0,9.0
pnr256,11.0,20.0,21.0,14.0,15.0,16.0,7.0
pnr328,7.0,19.0,15.0,24.0,18.0,9.0,9.0
pnr495,5.0,22.0,39.0,35.0,52.0,45.0,44.0
pnr510,6.0,20.0,22.0,34.0,28.0,23.0,24.0
pnr579,16.0,5.0,18.0,11.0,23.0,15.0,8.0
pnr668,5.0,7.0,6.0,6.0,6.0,6.0,6.0
pnr685,9.0,37.0,43.0,40.0,45.0,39.0,31.0
pnr713,7.0,22.0,31.0,38.0,30.0,24.0,11.0
pnr739,10.0,21.0,23.0,29.0,31.0,24.0,26.0
pnr756,8.0,14.0,19.0,15.0,22.0,17.0,24.0
pnr822,4.0,13.0,27.0,30.0,21.0,31.0,18.0
Average,7.5,17.083333333333332,22.416666666666668,23.583333333333332,25.0,21.25,18.083333333333332
Std Dev,3.547299442298794,8.664663229975467,11.01104243727884,11.884572165440183,12.890565025113006,11.875219296220738,11.390480918537001
