label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,0.01,6.00,1.07,[],0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,1.21,8.00,1.07,[],0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,3.01,12.00,1.07,[],0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,4.51,16.00,1.06,[],0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,5.71,16.00,0.77,r,1
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,7.21,16.00,0.90,b,0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,8.71,16.00,0.98,b,1
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,10.51,16.00,0.97,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,12.31,16.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,13.51,16.00,1.06,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,15.31,16.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,17.11,16.00,0.76,r,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,18.31,16.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,19.81,16.00,0.76,b,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,21.01,16.00,0.76,r,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,22.51,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,23.71,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,25.51,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,27.01,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,28.21,16.00,1.03,b,0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,29.41,16.00,1.04,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,30.91,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,32.71,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,34.51,16.00,0.89,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,36.31,16.00,0.93,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,37.81,16.00,0.99,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,39.31,12.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,40.81,16.00,0.76,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,42.61,16.00,0.79,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,44.11,16.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,45.31,16.00,0.82,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,46.51,16.00,0.76,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,48.31,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,49.81,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,51.31,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,52.51,16.00,0.76,b,0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,53.71,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,55.51,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,57.31,16.00,0.94,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,58.51,16.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,60.01,16.00,0.77,b,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,61.21,16.00,0.79,r,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,63.01,16.00,0.78,r,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,64.21,12.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,65.71,16.00,0.91,b,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,66.91,16.00,0.85,b,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,68.71,16.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,70.51,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,72.01,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,73.21,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,74.71,16.00,1.00,b,1
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,75.91,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,77.41,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,79.21,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,81.01,16.00,0.76,r,0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,82.51,16.00,1.06,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,83.71,16.00,1.06,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,85.21,16.00,0.77,b,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,87.01,16.00,0.78,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,88.51,16.00,0.82,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,90.01,12.00,1.07,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,91.22,16.00,1.07,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,93.02,16.00,0.77,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,94.52,16.00,1.07,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,96.02,16.00,1.07,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,97.82,16.00,1.07,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,99.62,16.00,0.81,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,100.82,16.00,1.07,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,102.02,16.00,1.07,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,103.52,16.00,0.77,r,0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,105.02,16.00,0.77,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,106.52,16.00,1.03,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,108.32,16.00,1.06,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,110.12,16.00,1.06,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,111.62,16.00,1.06,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,112.82,16.00,1.06,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,114.32,16.00,0.76,b,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,116.12,16.00,0.77,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,117.32,16.00,0.82,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,118.52,12.00,0.81,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,120.02,12.00,1.06,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,121.22,16.00,1.06,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,123.02,16.00,1.06,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,124.52,16.00,1.02,b,1
