x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,1.00,0.00,93.00,-2.59943485,-1.87714684,-1.64445674,-1.77032363,-1.97284055,6.08380270,0.01383943,7.59,0.01143052,-4.60403538,-1.61581945,1.46200359,-2.33393002,-7.60042286,-0.55803812,-2.37476921,2.07552671,-0.22868517,0.04837943,0.82596094,-2.17239451,-2.33567286,-2.64564180,0.85212815,-4.28880930,-4.80416393,4.01613188,-1.68967938,0.15075146,0.02159611,0.88320186,-5.29058504,-2.97448778,-0.77997094,-9.31573296,0.75645608,3.42241335,-4.72655344,-2.53249693,-0.69843340,0.47208828,0.49221745,-0.18645254,-0.03917231,0.14728022,0.31984225,0.57221171,8.36658192,6.75714493,-1.60943758,1.23559666,4.57,0.77,
0.00,0.00,0.00,0.09,122.00,-0.76593578,0.72628182,-0.53260338,0.45039776,-0.03046488,0.00176211,0.96652654,6.91,0.83718276,1.25539565,-1.75002515,2.45039010,1.47573388,1.49135661,2.50718307,-2.81325269,0.20952877,0.16244417,0.02915425,0.86446445,-2.41445661,-2.78608274,0.92420107,1.14891791,-2.99104118,3.78384447,1.27605891,-2.52305388,-0.88987517,0.90525723,0.34164931,0.01650390,0.20126157,0.14679755,-2.07205129,1.00385666,-4.20347691,0.89784932,-1.81651115,-1.24751902,1.77754200,0.18281247,0.37849587,0.50209630,0.12360042,0.22148201,0.63832500,6.13902998,6.38518572,0.24615566,0.02239049,4.81,0.76,
0.00,0.00,0.00,0.10,108.00,0.45805147,0.81108159,-0.86617392,-1.62808216,-0.30628073,0.14893997,0.69964723,7.53,0.97258623,-1.04925907,-3.40496516,0.10313330,2.49551368,0.71964294,3.81905508,3.99277186,-0.30013791,2.39342046,5.34991503,0.02096376,0.76228034,-2.59027958,-2.47823310,-0.67024493,-2.91095877,-0.19524126,-0.09480625,1.13497901,0.71084613,0.48268929,0.48739859,1.64636481,0.76248318,3.44758391,-2.51995945,3.38205719,-3.07833815,-0.23625109,1.09641576,2.09990907,4.26002455,0.03932559,0.67845398,0.83882535,0.16037136,0.31616291,0.57442860,11.14392757,12.46430302,1.32037568,0.78475797,4.72,0.77,
0.00,0.00,3.00,0.10,100.00,-2.62888741,-2.20428658,-4.61801243,-3.82943797,-3.32015610,16.76115799,0.00004645,7.70,0.00010783,-1.97363925,-1.55633330,2.05788088,0.31429991,-2.56252575,-3.15364194,-5.84610939,-6.65485382,1.46323347,1.92261374,0.16593625,-2.19985485,-5.28660631,-2.44762182,-3.01575828,-11.91894436,-7.42898798,-4.86980152,-1.08901453,-1.07507432,1.07370949,0.30040691,-1.41804028,-4.22283316,-2.45013165,-1.96077371,-2.19816232,-2.41830659,-4.77944326,-1.05475783,1.22241235,1.37248063,0.24171793,0.48923647,0.72118479,0.23194832,0.60828716,0.43617417,7.92007399,7.10501146,-0.81506246,0.24528416,4.61,0.73,
0.00,0.00,1.00,0.12,102.00,-1.14440954,-0.95404321,-0.77681839,-2.21438527,-1.27241409,3.10413599,0.07845394,6.85,0.10716646,-3.26687741,-2.38739371,0.00755986,-0.24353433,-3.45270944,4.16422749,-0.98063439,-1.98554718,1.11346734,1.40191913,0.23673705,-1.72217405,2.53427243,-2.43490791,-1.61233699,0.13083364,-0.34527990,-2.25689769,-0.85150903,1.44644761,2.41571045,0.12049968,-2.04018140,0.56659138,-3.20435691,-1.34187937,1.81128180,-0.68468171,-2.99316049,-1.79992497,1.03332543,1.24136794,0.26552589,0.28548911,0.60222250,0.31673339,1.42185616,0.23423323,8.18677711,9.52847004,1.34169281,0.74918771,4.92,0.76,
0.00,0.00,3.00,0.15,113.00,-1.41426980,0.29173240,1.13351905,-0.96930820,-0.23958161,0.12039888,0.72868837,6.55,0.82494224,3.28509068,-0.03041760,-0.65344095,-0.15074341,1.31792951,-1.59185231,-1.75390279,2.03485918,1.32754517,2.16493130,0.14156500,0.00420002,1.33723187,4.26913643,3.52325630,-1.91950142,2.97659111,-0.24689405,-1.12291396,2.04676223,5.32497168,0.02126392,-3.65110302,-1.63811982,-0.77815610,-4.44787693,1.77297890,-4.63656569,2.59171033,-0.69290632,-0.45703658,0.26847962,0.60448977,0.85196954,1.19134295,0.33937344,1.28768575,0.25756606,2.43479061,2.51191092,0.07712039,0.00256334,4.81,0.76,
0.00,0.00,0.00,0.15,118.00,2.45424676,2.19772410,-1.63564909,-0.63413471,0.59554672,0.36558467,0.54558263,9.35,0.30185763,8.08004379,-1.29970896,5.01127529,3.33207178,9.33354664,2.50931191,-1.47974396,-9.03694820,2.76613665,4.77733707,0.02911181,2.54165030,-6.45476580,-2.34379935,-2.70958710,-3.53552246,1.53197086,-2.93015289,0.96638733,-1.09849930,0.75308830,0.38574777,5.89123058,-0.70130235,0.75578856,-0.35432562,8.25266647,-1.21487844,3.19302368,4.63013029,3.09483075,6.03345490,0.01423838,0.94686520,1.41710424,0.47023904,1.91765058,0.16735542,6.68686104,3.84887362,-2.83798742,2.06253052,4.80,0.72,
0.00,0.00,1.00,0.00,115.00,0.94643569,-0.64486563,1.90350986,1.34069908,0.88644475,1.23674798,0.26641389,7.56,0.27996077,-2.26959014,-1.07118642,2.55116558,-1.51907611,-1.26398289,2.92809391,-2.83335590,-2.36148620,-2.13916492,4.22584343,0.04012106,3.70822001,3.42092133,4.11116648,2.51660347,-4.26797628,3.46209669,1.64352405,0.04257248,0.39629138,0.14989160,0.69873692,3.75536132,2.82998562,0.29035968,-2.21060157,-0.37302449,1.64385402,0.81731242,0.47583115,-0.37027854,0.13078317,0.71771224,-0.45057693,0.46869317,0.91927010,11.79903412,0.00069410,3.52848577,5.98970604,2.46122026,3.08875990,5.28,0.72,
0.00,0.00,1.00,0.09,110.00,-0.28098527,-0.23587917,-0.66431946,-1.28494132,-0.61653131,0.61683279,0.43244605,7.45,0.53526271,1.67091596,-2.23997259,-1.92002869,3.69079423,-2.53203726,0.60323489,-2.34430814,0.20766026,0.98705137,0.92811179,0.33563098,-1.48457432,-0.18247789,-0.01547839,-1.47714067,-2.33591294,0.63314188,-0.12876636,-0.30511838,0.62624168,0.38166377,0.53688141,1.76259387,-3.12646294,-2.66797233,-0.81917322,3.94694495,-4.83994722,1.53477693,2.54691291,0.97214460,0.94120610,0.33224678,-0.77747452,0.13337253,0.91084707,11.60216141,0.00076788,-4.03892088,-2.75789356,1.28102744,0.97450095,5.13,0.72,
0.00,0.00,2.00,0.17,96.00,-0.28301218,2.18457055,0.47538903,0.97959042,0.83913445,1.03224695,0.30992129,7.84,0.42007689,5.84107637,5.63864994,4.34318590,1.13396919,-0.27583495,-0.55150944,0.00603408,1.26245582,1.22630692,1.29695153,0.25509510,-0.67018187,2.58861685,0.57805574,2.10137153,1.03756690,-4.04447031,-2.59077144,3.59118009,-0.62711263,0.34911084,0.55477564,-3.34059310,-1.24405360,-3.35800791,-0.40974045,4.09773731,4.08055782,-2.41093040,-0.51329893,-1.25191760,1.40500104,0.23622284,0.30913919,0.96606380,0.65692461,4.47698879,0.03534710,3.46988630,3.67070389,0.20081753,0.02018391,5.00,0.72,
