,avg,std,Nsubj,min,max
 Nvox significant,3272.5833333333335,1035.9608151885188,12.0,1580.0,4495.0
Nvox total,4139.75,1419.452783485754,12.0,1833.0,6478.0
Nvox_sig / Nvox_total,0.8007348845347052,0.06234127025617002,12.0,0.6631676443346712,0.8897795591182365
p_thresh,0.009999999999999998,1.8118595785761773e-18,12.0,0.01,0.01
