label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,0.01,6.00,1.04,[],0
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,1.51,8.00,0.74,b,1
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,2.71,8.00,0.74,r,1
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,4.51,8.00,0.84,b,0
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,6.01,12.00,0.80,r,0
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,7.51,16.00,1.04,[],0
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,9.01,16.00,0.78,b,0
surround_22,22.50,22.50,0.00,0.00,0.0000,0.40,10.51,16.00,0.84,r,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,12.31,16.00,0.79,b,0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,13.51,16.00,0.79,r,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,15.31,16.00,0.81,r,0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,16.81,16.00,0.77,b,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,18.01,16.00,0.88,b,0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,19.81,16.00,1.07,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,21.31,16.00,0.77,r,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,22.51,16.00,0.77,b,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,23.71,16.00,0.92,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,25.21,16.00,0.96,r,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,27.01,16.00,0.97,r,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,28.21,16.00,0.97,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,29.71,16.00,0.96,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,31.51,16.00,0.96,r,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,33.31,16.00,0.84,b,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,34.51,16.00,0.85,b,0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,36.01,16.00,0.78,r,0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,37.51,16.00,1.04,[],0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,38.71,16.00,0.91,b,1
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,39.91,16.00,1.03,[],0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,41.71,16.00,0.93,r,1
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,43.51,16.00,0.85,r,0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,44.71,16.00,0.79,b,0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,46.51,16.00,1.03,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,48.31,16.00,1.03,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,49.51,16.00,1.03,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,50.71,16.00,0.73,b,0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,51.91,16.00,0.80,r,0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,53.71,16.00,1.03,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,55.21,16.00,0.73,b,1
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,56.71,16.00,0.76,r,1
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,58.51,16.00,0.81,b,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,60.01,12.00,1.06,[],0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,61.51,16.00,0.87,b,0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,62.71,16.00,0.76,r,0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,64.51,16.00,0.78,b,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,66.31,16.00,0.84,b,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,67.81,16.00,0.79,b,0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,69.01,16.00,0.95,r,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,70.51,16.00,0.82,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,71.71,16.00,1.04,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,73.51,12.00,1.05,b,0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,75.01,16.00,0.88,r,0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,76.21,16.00,1.07,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,77.71,16.00,0.90,b,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,79.51,16.00,1.01,b,0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,81.01,16.00,0.98,r,0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,82.51,16.00,0.83,b,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,84.31,16.00,0.80,b,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,85.51,16.00,0.90,b,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,87.31,16.00,0.82,b,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,88.51,16.00,0.78,b,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,90.31,16.00,0.82,r,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,91.81,16.00,0.95,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,93.31,16.00,0.88,b,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,94.51,16.00,0.94,r,1
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,95.71,12.00,0.97,b,0
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,96.91,16.00,1.01,b,0
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,98.41,16.00,0.98,b,1
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,99.61,16.00,0.98,r,1
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,101.41,16.00,0.87,b,0
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,103.21,16.00,0.96,r,1
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,104.71,16.00,0.85,r,1
surround_22,0.00,22.50,0.00,0.00,0.0000,0.40,106.51,16.00,0.97,b,1
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,108.31,12.00,0.84,r,0
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,109.51,16.00,0.82,b,1
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,110.71,16.00,1.02,r,1
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,111.91,16.00,0.86,b,0
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,113.71,16.00,0.82,b,0
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,115.51,16.00,0.81,b,1
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,116.71,16.00,0.85,r,1
center_112,112.50,0.00,0.50,0.00,0.4000,0.40,118.51,16.00,0.87,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,120.01,12.00,0.90,b,0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,121.81,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,123.31,16.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,124.81,16.00,0.73,b,0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,126.31,16.00,0.73,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,127.51,16.00,0.73,r,0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,128.71,16.00,0.74,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,130.51,16.00,0.74,b,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,131.71,16.00,0.74,r,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,133.21,16.00,0.92,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,135.01,16.00,0.84,r,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,136.51,16.00,0.88,r,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,137.71,16.00,0.91,b,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,139.51,16.00,0.89,b,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,141.31,16.00,0.86,b,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,142.51,16.00,0.92,r,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,143.71,16.00,1.02,b,0
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,144.91,16.00,0.94,r,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,146.41,16.00,0.94,r,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,147.91,16.00,0.79,r,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,149.41,12.00,0.93,b,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,151.21,12.00,0.87,r,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,152.71,12.00,0.82,b,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,154.51,8.00,0.85,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,156.31,8.00,0.78,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,158.11,8.00,0.82,r,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,159.61,12.00,0.77,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,160.81,12.00,0.84,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,162.01,12.00,1.06,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,163.21,16.00,0.92,r,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,165.01,16.00,0.85,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,166.51,16.00,0.83,b,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,168.31,16.00,1.05,[],0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,170.11,16.00,0.97,b,0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,171.91,16.00,1.03,[],0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,173.11,16.00,1.03,[],0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,174.31,16.00,0.92,b,0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,176.11,16.00,1.02,r,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,177.31,16.00,1.03,[],0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,178.51,16.00,1.04,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,180.31,16.00,1.04,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,181.51,16.00,1.04,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,182.71,16.00,0.73,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,184.51,16.00,0.74,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,185.71,16.00,0.74,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,187.51,12.00,1.04,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,188.71,16.00,0.92,r,1
