Subject,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,1.0
pnr143,11.0,20.0,21.0,14.0,15.0,16.0,7.0
pnr256,7.0,19.0,15.0,24.0,18.0,9.0,9.0
pnr328,5.0,22.0,39.0,35.0,52.0,45.0,44.0
pnr495,6.0,20.0,22.0,34.0,28.0,23.0,24.0
pnr510,16.0,5.0,18.0,11.0,23.0,15.0,8.0
pnr579,5.0,7.0,6.0,6.0,6.0,6.0,6.0
pnr668,9.0,37.0,43.0,40.0,45.0,39.0,31.0
pnr685,7.0,22.0,31.0,38.0,30.0,24.0,11.0
pnr713,10.0,21.0,23.0,29.0,31.0,24.0,26.0
pnr739,8.0,14.0,19.0,15.0,22.0,17.0,24.0
pnr756,4.0,13.0,27.0,30.0,21.0,31.0,18.0
Average,8.0,18.181818181818183,24.0,25.09090909090909,26.454545454545453,22.636363636363637,18.90909090909091
Std Dev,3.2752515517548764,8.2110588600561,10.1085022719401,11.260990957965108,12.485363331543908,11.435771049830102,11.547959642327577
