,avg,st. dev,min,max,NROIs
ROI major axis (mm),2.4017148621729967,0.6366230294037385,1.0517970816736477,3.41317763526454,21.0
ROI minor axis (mm),1.5260144401117877,0.3624881771373012,0.8901634185243581,2.169403438837835,21.0
theta,1.3741838107436093,0.7891499416977338,0.24574946150684301,2.7941027932116502,21.0
comX (mm),-0.004368860700471436,1.6370685131785525,-3.644592476489028,2.421642857142857,21.0
comY (mm),0.3931068487164568,1.7163829852052281,-2.573623188405797,3.5442056074766355,21.0
area (mm^2),11.932993185332966,4.968929298694999,2.941382993288367,20.218298287439712,21.0
semimajor axis (mm),1.9638646511423923,0.451856353895445,0.9709802500990029,2.649359003428074,21.0
semiminor axis (mm),1.9032200195281699,0.4300586273040043,0.9676111232393713,2.536865039119122,21.0
