norm_depths,avg,sd,alpha,df,test statistic,p-vals,Npermutations
0.0,-1.0627244301219099,0.48755787614761276,0.05,11,-1.0627244301219099,0.0026222511574074073,2048.0
0.5,-0.9466346643140949,0.413976576947135,0.05,11,-0.9466346643140949,0.0026222511574074073,2048.0
1.0,-0.7968713480506355,0.5315993683884251,0.05,11,-0.7968713480506355,0.0026222511574074073,2048.0
