Subject,V23_deveined_orth,V23_deveined_iso90,V23_deveined_iso0,V23_deveined_sur
pnr256,0.19112022617566152,-1.1190953999838213,0.768435543271278,-0.6820230373043876
pnr328,0.8279270587788474,2.4537180037099513,-1.085949458640291,-0.22478141867170437
pnr495,-0.1988527922315864,0.07086378134817659,-0.17026192011317814,-1.205360642722478
pnr510,1.1043092260224043,0.644122957572732,0.09129295941316189,0.7307379285680813
pnr579,0.008637440423503746,-0.3528831337850759,-0.02967925921781215,-0.8574540113617336
pnr668,1.0121138215826901,0.4517460308175126,-1.8669957195716607,0.18338740168692597
pnr685,0.7371007746344365,-0.7016005213510156,1.669379300450709,1.2071626823627575
pnr713,-2.3673092653988523,-0.6194571645059972,-0.5884949011913068,-0.9785500419704481
pnr739,-0.6709756682686863,-0.8741901574425499,-0.30529588747769654,0.2754012244075047
pnr756,-0.6297909002521831,0.433938359854893,1.1640473986519608,2.0074855981218653
pnr822,-0.014279921466236209,-0.38716275623480517,0.35352194442483514,-0.4560056831163827
