,avg,std,Nsubj,min,max
 Nvox significant,3964.3333333333335,1147.0593496045233,11.0,2044.0,5475.0
Nvox total,4940.083333333333,1541.8317593831127,11.0,2501.0,7268.0
Nvox_sig / Nvox_total,0.8109175535632227,0.059588555441418396,11.0,0.6906989543203081,0.9003453379378392
p_thresh,0.009999999999999998,1.8118595785761773e-18,11.0,0.01,0.01
