,x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
418,1.14,6.17,0.0,0.64,114.0,150.0,12.0,1.27,138.0,20.05,0.38,2.58810449,3.06097126,3.03980875,2.19266701,2.72038794,21.55623055,3.92e-06,5.58,2.60727453,2.39096284,2.38590288,2.390872,3.71495485,3.88287854,3.26555109,2.90797734,2.23680067,2.86193252,23.45796967,1.49e-06,2.94879985,4.78145981,2.41317368,2.76324201,2.14191818,3.28298378,3.70916462,2.54815817,0.86473674,1.56472409,0.21128381,3.38475704,2.32702994,2.1146369,4.36318398,1.87732434,2.86751914,3.74847865,4.02775621,0.85484785,1.6430825,0.20021679,1.10759175,4.20176172,2.4092958,4.04050016,3.58178163,2.89278722,2.27295613,0.48409811,0.35895535,0.28147823,0.59585835,0.53042239,2.11451125,1.58408892,43.20114136,0.0,-0.93554533,-1.33207023,-0.39652494,0.27831563,,
419,1.2,6.6,0.0,0.74,114.0,150.0,13.0,1.42,129.0,19.87,0.49,1.8057698,1.70087731,3.11302447,2.46131587,2.27024674,15.39960957,9.325e-05,5.51,2.11866021,2.17468786,1.82902193,2.20397806,2.85789895,2.43281865,2.09357166,1.73691785,2.38826561,2.20177603,14.13059425,0.00018097,2.54350686,2.47935009,-0.0885025,3.70931125,2.55824065,1.62929869,-0.09843671,0.3503359,-0.72097844,1.12197113,0.2897645,2.0871532,2.33240581,2.89233589,1.49484932,3.52040792,4.65899229,3.42385459,4.18876171,0.63720149,0.93726748,0.33322875,1.79822171,-0.03196583,2.77487206,0.78501272,2.67573309,0.07631982,4.00910997,2.14405179,-0.63501674,0.90372431,0.34202759,0.39529663,1.7998544,1.4045577,30.93668747,6e-08,4.45704746,6.09599972,1.63895214,3.82014441,,
420,1.63,7.04,0.0,0.9,114.0,150.0,14.0,1.55,149.0,15.26,0.65,5.47141314,3.66343641,4.20111704,4.59812164,4.48352194,35.15093994,0.0,7.2,4.59826994,4.04172897,4.25718021,3.26425242,4.09747982,6.24796677,3.63779306,5.62433672,4.59717655,4.48064661,34.46247864,1e-08,4.94103146,2.87892008,1.33912182,3.86498857,4.50693607,5.08723211,3.16095495,3.67384768,-0.95750165,1.15273988,0.28324983,5.751297,5.43413019,4.17026138,0.45161903,5.14163351,2.72158957,4.48194361,5.65794277,-0.38021058,0.19589719,0.65815417,8.03076839,3.8758657,6.32172823,5.62188959,3.32685566,8.85120678,3.25395155,4.42401218,0.82450485,0.89439446,0.34453046,0.45185092,1.58166361,1.1298126,17.34545898,4.119e-05,2.57843494,1.56967926,-1.00875568,1.13794339,,
421,1.02,2.2,0.0,0.88,114.0,151.0,4.0,0.65,119.0,5.96,0.71,45.41052246,37.15758514,45.54582214,38.69151306,41.70136261,420.57531738,0.0,19.36,39.18617249,38.82230759,38.5792923,44.34747314,38.75241089,44.68292236,49.62723923,49.1436882,38.46886444,42.3587532,426.14144897,0.0,43.14011383,38.32185364,31.05444908,37.93801498,27.62810707,49.43706131,35.43820953,38.70087433,-1.64787281,0.47720042,0.48986244,57.33765793,44.28383636,34.97498322,28.43638611,50.13494873,49.02357483,39.29860687,61.92653275,6.89089918,9.18744278,0.00250308,48.91776276,49.78973389,48.67015839,49.43792343,39.76172256,48.80686951,42.509758,35.28062057,6.54472351,7.78700256,0.00536807,1.50504458,-0.44133812,-1.94638276,53.57388687,0.0,2.11011624,11.89120197,9.78108597,13.95152187,,
422,0.9,2.55,0.0,0.76,114.0,151.0,5.0,0.48,144.0,12.21,0.68,13.58618736,12.37634945,11.60109043,11.03225231,12.14896965,180.96714783,0.0,8.6,14.73673153,14.99134159,10.20327091,8.87094784,10.31545925,13.06203938,13.20442867,14.337286,10.96958733,12.28671169,185.23490906,0.0,12.69050407,14.84565353,13.76598644,9.99904346,11.06386948,15.43231392,9.63531494,12.38014889,1.36045325,1.63784575,0.20093473,14.19596863,15.68265152,11.46701717,3.97558212,10.95795631,12.09715557,10.4119873,13.91103554,0.55062228,0.29175556,0.58922471,12.41074276,15.04223156,17.43883514,13.20127869,8.86265182,15.76668358,11.44195461,13.33492851,2.55019665,6.0066247,0.01443216,1.20238376,1.60551405,0.40313029,1.76295829,0.18530373,-1.41903782,4.91282606,6.33186388,20.51123047,,
423,0.89,2.87,17.0,0.61,114.0,151.0,6.0,0.42,152.0,19.33,0.65,4.128613,3.58606434,2.50377655,4.08898687,3.57686019,31.94434738,2e-08,6.03,4.06157684,2.45885801,3.80037689,3.6440053,4.02277899,3.93909001,2.84696412,2.88896823,4.17520714,3.53399873,30.50336075,4e-08,3.85533428,2.72678423,3.87547302,3.72909641,2.72095132,3.63081527,3.38622165,5.05472326,-0.51227045,0.47022423,0.49305186,2.45000648,1.32385862,2.21003509,1.76075172,0.98950255,3.17840719,4.59271336,3.58433104,-1.5875932,4.86495352,0.0276471,4.39319229,3.43372393,5.04107141,3.07117844,4.92142057,5.15464878,3.55191994,3.2102778,0.00759118,0.00010388,0.99187018,1.31486797,3.05018497,1.73531699,29.81881142,1e-07,0.04645157,3.63164496,3.5851934,18.29298019,,
424,0.87,3.33,14.0,0.53,114.0,151.0,7.0,0.41,177.0,14.02,0.59,0.56715417,0.49651194,1.71231723,1.45750535,1.05837214,1.88467789,0.17012604,7.34,-0.0239426,-0.02619867,1.45722318,0.8880983,2.44926691,0.35578805,0.69485611,1.61836135,1.40676033,0.97904366,1.58456969,0.20841326,0.98459846,0.90085578,0.52142179,-1.30563688,1.99268878,-2.758183,-0.56946129,3.25875282,-0.95651388,1.11188304,0.29194193,4.4352603,4.80561972,-1.76509678,0.51303947,0.26654109,3.95102286,0.18875672,1.72538495,0.21696571,0.06172183,0.80384879,1.9829154,-1.02576649,0.7754969,2.52552843,-0.59819651,1.3818922,0.15194829,-0.30276412,-0.92269194,1.07060969,0.30107192,1.60645556,3.74630022,2.13984466,50.61777115,0.0,1.15649796,2.72013044,1.56363249,1.9032799,,
425,0.79,3.97,12.0,0.51,114.0,151.0,8.0,0.52,206.0,14.47,0.74,5.40750885,5.94144583,6.53429651,4.21809292,5.52533627,40.13124084,0.0,8.3,6.65456104,7.22652912,5.2292037,5.29770088,8.83758068,4.20807934,5.09304667,4.79708433,4.18724108,5.719944,42.57756042,0.0,5.27639818,5.30524778,3.78150535,4.23292208,8.12848186,6.76325321,7.28368616,6.73196888,1.67144847,2.64159155,0.10443194,6.54013062,4.24872828,6.08293009,5.94355631,9.60515213,5.30398798,6.25695992,8.39678288,2.34981823,5.60988855,0.01805931,4.13956308,2.76124954,4.75718737,5.75683641,9.14941216,3.58286047,8.4077301,5.26644659,1.19638526,1.41259658,0.23492378,1.78455567,3.96115851,2.17660308,58.97842407,0.0,5.63468361,6.75506163,1.12037778,1.00000894,,
426,0.77,4.57,15.0,0.49,114.0,151.0,9.0,0.73,195.0,11.82,0.73,3.97336602,4.04991341,3.9531467,3.48098993,3.8643539,21.82155609,3.42e-06,7.88,6.50117683,6.17377663,3.17023468,3.70515132,5.15519285,3.58540154,2.79318857,2.17164922,3.63024592,4.09434795,24.33045959,9.6e-07,4.34868813,8.48792267,1.60405004,6.13087893,0.0494753,5.40868378,2.00760841,4.88322353,0.60830891,0.39290041,0.53092983,3.3729496,2.04634142,4.05827999,7.04428959,2.13960457,4.88173056,3.86366391,4.17967319,0.47139448,0.25099868,0.61648918,3.03348231,5.04920912,3.09942031,5.38033772,3.97645998,8.08680153,2.21932316,1.51082051,0.44757736,0.21971187,0.63936743,1.67782688,3.83474183,2.15691495,62.06269455,0.0,9.18197823,17.40701294,8.22503376,37.02516556,,
427,0.69,5.15,13.0,0.54,114.0,151.0,10.0,0.96,180.0,14.08,0.66,6.777215,5.98685408,6.7853899,5.72738028,6.31920958,74.62193298,0.0,6.97,7.68968821,6.07370615,5.77670956,7.87145853,7.23103762,4.63640308,7.13807678,6.17016077,5.73670292,6.47395802,77.26225281,0.0,5.88666773,6.88392448,5.66061163,4.56429482,2.83733344,10.05721569,6.17204046,7.46752357,0.21434978,0.06216488,0.80316048,8.81461716,5.13036919,6.20567799,5.05150223,5.48330355,5.23879814,9.46887875,9.43947983,1.09258461,1.73284173,0.1883669,6.79312611,7.02426481,5.82324791,4.47690725,9.54197693,8.29448223,6.16479349,6.11670351,1.02984059,1.48411059,0.2234359,1.29082632,3.34187603,2.05104971,62.09988785,0.0,5.70088577,9.4722662,3.77138114,16.2047596,,
