depth bin,avg,stdev,norm_depths,p-value,corrected p-value,df,N
0,0.008487054284902587,0.3352953434897584,0.0,0.9345703125,0.9345703125,11,12
1,0.09946449560925825,0.24662468526534895,0.16666666666666666,0.2138671875,0.24843158143939392,11,12
2,0.025996999198034814,0.4872150524311572,0.3333333333333333,0.8642578125,0.8718390213815789,11,12
3,0.11962422854257547,0.44955821450900285,0.5,0.41650390625,0.4695877374387255,11,12
4,0.12613832183682047,0.4765501110551297,0.6666666666666666,0.39306640625,0.44755085860148514,11,12
5,0.09935294953751223,0.5137170259250153,0.8333333333333333,0.53515625,0.586123511904762,11,12
6,-0.07465699688226336,0.48207060368711474,1.0,0.62646484375,0.6670690465856481,11,12
