label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,0.01,6.00,0.88,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,1.81,6.00,0.83,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,3.01,4.00,0.82,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,4.51,4.00,0.87,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,5.71,4.00,1.01,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,7.21,3.00,0.84,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,9.01,3.00,0.78,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,10.51,3.00,0.83,r,1
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,11.71,2.00,0.87,b,0
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,13.51,3.00,0.91,b,1
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,15.31,3.00,0.81,r,1
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,16.51,3.00,1.03,b,1
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,18.01,2.00,0.87,r,0
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,19.81,3.00,0.91,b,1
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,21.01,3.00,0.86,r,1
surround_157,67.50,157.50,0.00,0.00,0.0000,0.40,22.51,3.00,0.90,r,1
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,24.31,2.00,1.07,[],0
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,25.51,3.00,0.78,b,1
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,27.31,3.00,0.87,b,0
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,28.51,4.00,0.88,r,1
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,29.71,4.00,0.89,r,1
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,31.51,4.00,1.07,[],0
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,33.01,6.00,0.84,b,1
orth_157,157.50,247.50,0.00,0.00,0.4000,0.40,34.51,6.00,0.93,r,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,36.31,6.00,0.86,b,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,37.51,4.00,0.85,b,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,39.01,4.00,1.06,[],0
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,40.21,6.00,0.76,r,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,41.41,6.00,0.83,b,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,42.91,6.00,0.82,r,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,44.71,4.00,0.93,r,1
iso90_157,157.50,157.50,0.25,0.00,0.4000,0.40,46.51,4.00,0.77,b,1
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,47.71,4.00,0.89,r,1
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,49.51,3.00,0.87,r,1
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,50.71,3.00,0.94,r,1
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,52.21,3.00,0.88,r,0
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,54.01,4.00,1.06,[],0
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,55.81,6.00,0.87,b,1
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,57.01,6.00,0.92,r,1
iso_67,67.50,67.50,0.00,0.00,0.4000,0.40,58.51,6.00,0.86,b,1
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,60.31,4.00,1.06,[],0
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,61.51,6.00,0.80,b,1
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,63.01,6.00,0.76,r,1
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,64.51,6.00,1.06,[],0
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,66.01,8.00,0.82,r,1
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,67.21,8.00,0.79,r,1
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,69.01,8.00,0.84,r,1
rest_90,90.00,180.00,0.00,0.00,0.0000,0.40,70.51,6.00,1.06,[],0
orth_67,67.50,157.50,0.00,0.00,0.4000,0.40,72.01,8.00,0.95,r,1
