depth bin,avg,stdev,norm_depths,t-statistic,p-value,p-value corrected,df,N
0,0.3970558127617431,0.3326412548225324,0.0,3.958875012249702,0.0022383692461189803,0.0044767384922379605,11,12
1,0.8246484911442602,0.35950861597586703,0.16666666666666666,7.607744314094066,1.0501012099787875e-05,7.000674733191917e-05,11,12
2,0.7351817972013949,0.2359159170566655,0.3333333333333333,10.335556008416818,5.310858476598101e-07,1.06217169531962e-05,11,12
3,1.0970051468446815,0.37763017946433003,0.5,9.634702582122959,1.070929968056459e-06,1.7134879488903345e-05,11,12
4,1.0816044758038437,0.31080598906585505,0.6666666666666666,11.541850363283366,1.7338311777793506e-07,4.623549807411602e-06,11,12
5,1.0040776877737365,0.6929269995193749,0.8333333333333333,4.8059159955131605,0.000548118077826381,0.0012180401729475132,11,12
6,0.7586192967868824,0.7073222417695317,1.0,3.557156014026725,0.004495236632811193,0.0087711934298755,11,12
