depth bin,avg,stdev,norm_depths,t-statistic,p-value,p-value corrected,df,N
0,-0.015524568755712509,0.33082966225028704,0.0,-0.15563649657212175,0.8791388909088306,0.8902672313000816,11,12
1,-0.024843698106169543,0.24500864581378026,0.16666666666666666,-0.33630333635513304,0.7429700990669386,0.7705217998977301,11,12
2,-0.050102340569035224,0.30571053959706024,0.3333333333333333,-0.5435555640479763,0.5975906435871003,0.6374300198262404,11,12
3,-0.0038546285248176326,0.3609560042508281,0.5,-0.03541804644462262,0.9723809486146746,0.9723809486146746,11,12
4,-0.08238642803663708,0.3968750681207633,0.6666666666666666,-0.688490891879349,0.5054047932515744,0.5538682665770679,11,12
5,-0.1476422085041249,0.44697884853389747,0.8333333333333333,-1.0955189723937602,0.29669558982427535,0.32966176647141704,11,12
6,-0.19207761711257673,0.32726086448334807,1.0,-1.9466103519395286,0.07756401383963825,0.10008259850275902,11,12
