depth bin,avg,stdev,norm_depths,t-statistic,p-value,p-value corrected,df,N
0,0.606965425905908,0.31138991672865574,0.0,6.464809778032558,4.64658148847904e-05,0.00017701262813253486,11,12
1,0.7094064619828852,0.3320353300947053,0.5,7.086098511202593,2.029337330346869e-05,0.00010014795522946016,11,12
2,0.9710490500884962,0.40332957087163746,1.0,7.985046435386583,6.649431630735405e-06,4.835950276898476e-05,11,12
