depth bin,avg,stdev,norm_depths,p-value,corrected p-value,df,N
0,0.2942325117015092,0.4784131119559719,0.0,0.0634765625,0.09309895833333334,11,12
1,0.47891364910963174,0.2913740820127455,0.16666666666666666,0.00048828125,0.0020461309523809525,11,12
2,0.5832755632580916,0.5059901913127706,0.3333333333333333,0.00146484375,0.004445043103448276,11,12
3,0.6675234811742566,0.3683203393567794,0.5,0.00048828125,0.0020461309523809525,11,12
4,0.6254821984360076,0.5226535569077825,0.6666666666666666,0.0029296875,0.0078125,11,12
5,1.2274551290623925,0.8576854551833478,0.8333333333333333,0.00048828125,0.0020461309523809525,11,12
6,0.7052097024860222,0.5615670143048492,1.0,0.00244140625,0.006930443548387097,11,12
