label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,0.01,6.00,0.94,b,0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,1.21,8.00,0.79,r,0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,3.01,12.00,0.76,r,0
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,4.51,16.00,0.79,r,1
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,5.71,16.00,0.78,r,1
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,7.21,16.00,0.83,r,1
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,8.71,12.00,0.73,r,1
surround_22,90.00,22.50,0.00,0.00,0.0000,0.40,10.51,12.00,0.88,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,12.01,12.00,0.79,r,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,13.51,16.00,0.78,b,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,15.31,16.00,0.78,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,16.51,16.00,0.84,r,0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,18.01,16.00,1.04,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,19.81,16.00,0.85,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,21.01,16.00,0.85,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,22.51,16.00,0.80,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,24.31,12.00,0.91,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,25.51,12.00,0.84,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,27.01,12.00,0.73,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,28.51,8.00,0.77,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,30.01,8.00,1.06,[],0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,31.51,12.00,0.77,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,33.31,12.00,0.97,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,34.51,12.00,0.81,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,36.01,8.00,1.05,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,37.81,8.00,0.83,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,39.01,8.00,0.95,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,40.81,6.00,0.78,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,42.01,6.00,0.82,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,43.81,6.00,1.06,[],0
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,45.31,8.00,0.87,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,46.51,8.00,0.82,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,48.31,8.00,1.03,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,50.11,6.00,1.06,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,51.31,8.00,0.93,r,0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,52.81,12.00,0.73,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,54.31,12.00,1.03,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,56.11,16.00,1.03,[],0
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,57.31,16.00,0.78,r,1
surround_90,0.00,90.00,0.00,0.00,0.0000,0.40,58.51,16.00,0.79,r,0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,60.01,16.00,1.03,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,61.81,16.00,0.82,r,0
