x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,tgt_theta_first_half p-val,tgt_theta_second_half p-val,0,23,45,67,90,112,135,157,theta all,theta F,sur_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,theta first half all,theta first half F,sur_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,theta second half all,theta second half F,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,19.00,0.76,146.00,0.48723468,-0.21158585,-1.59977710,-0.67406577,-0.49954849,1.07720828,0.29960705,4.68,0.47358589,0.45768892,0.16304062,-0.46854967,-0.89338875,-0.81232840,0.82414281,-0.73431039,-0.67531514,-0.28184041,-0.33102962,-0.42157745,0.75707954,0.38448156,-1.04553843,-2.59153986,-0.55581713,-0.35087323,-0.98361784,-1.10066605,-0.48811516,-0.05812252,-0.89678627,0.96345758,0.32691506,0.73840815,0.99140441,-0.66061831,1.83672333,-0.22531392,0.12035234,0.90555853,1.35676777,0.63291031,1.95133948,0.16310460,1.74969840,-1.36711848,-2.92509842,-0.11362460,-0.42571393,1.09821665,1.85482907,-1.42185450,0.46542960,0.57118356,0.44999215,-1.29744768,-1.90276182,-1.74597597,-2.42541361,-1.53196466,-0.76815397,-2.75545263,-0.17184895,-0.89214206,2.09743214,0.14790457,-3.31255531,-2.03353477,2.03426075,1.99739814,0.65773129,1.10694087,0.03338888,4.05385685,1.20803940,4.01492500,0.04540676,0.14532289,0.06984973,-0.07547316,0.18360962,0.66877474,5.06698513,4.66210985,-0.40487528,0.28989133,1.03,0.54,
0.00,0.00,0.00,0.71,149.00,-0.75390232,-0.08373582,-0.41180721,-1.20301950,-0.61311620,1.75937164,0.18504587,4.50,0.27112880,0.87157249,0.56820569,-0.41687432,-0.10233670,-0.22773500,0.50018179,-1.44778287,-1.23216796,-0.81305039,-1.16095567,-0.61259013,1.75718760,0.18532010,-0.59176183,-0.12659831,-0.12392204,0.76916671,0.19722842,-1.33752799,-0.31059995,0.70302659,-0.10262355,0.02096759,0.88494076,0.22458629,0.12157010,0.27917203,0.11772843,-2.29730034,-0.62427324,-0.52363479,-1.88748515,-0.57370460,0.87695211,0.34952081,1.46798635,0.72555453,-3.29283428,-0.18716185,-1.60238099,0.76684505,1.19329131,0.02004013,1.11531198,3.55764627,0.05960231,0.06529928,0.48915172,3.98914719,-0.44170702,-0.51033503,-2.38595486,-2.13092875,-3.32066584,0.75478333,1.66458857,0.19732538,-2.45645976,-2.78488445,0.70245898,-0.14102493,-1.17332530,0.07637202,-1.81357515,2.28112340,0.50794017,0.76009095,0.38353894,-0.24036157,-0.25768363,-0.01732205,0.00926813,0.92340672,2.30850577,1.92773592,-0.38076973,0.24844867,0.97,0.51,
0.00,0.00,12.00,0.66,169.00,-0.04062238,0.28280953,0.35559109,0.01010070,0.15196973,0.12133044,0.72767900,4.24,0.71155495,0.91148371,0.20975460,1.49533772,0.53987563,0.12114923,0.79602593,-1.56292295,-0.29786018,0.17711172,0.05893477,0.16595650,0.14666544,0.70183516,2.84474945,-0.52650619,-0.06728008,0.19135480,-2.43686843,-0.44361126,0.24203175,-0.90992182,-0.13825646,0.05613894,0.81282821,1.09012187,0.98474324,0.64614642,1.56265187,0.11814166,0.36964753,0.43779397,1.61714387,0.85329884,1.86074448,0.17319455,1.62438786,1.92685533,-1.44927371,0.02602956,-1.67757368,-0.53659564,2.34885001,-0.46782154,0.29092142,0.27172676,0.60230754,4.06951618,-1.94129360,3.08647847,1.50152540,-0.40395081,-1.59364247,-1.61186016,-0.26106304,0.36800867,0.44730100,0.50379566,-1.01016009,0.69343239,0.56403452,-0.33873105,-0.14064997,0.51220399,-0.38781008,-0.41161618,-0.04485026,0.00658329,0.93535114,-0.34224978,-0.32939276,0.01285700,0.00480967,0.94478253,-2.70730567,-2.76021910,-0.05291324,0.00645283,0.97,0.51,
0.00,0.00,11.00,0.62,154.00,-0.04511917,-0.31467363,0.48301733,-0.30686980,-0.04591132,0.01501365,0.90250700,3.64,0.97400052,1.00000000,0.90947443,-0.43167758,-1.59382534,-0.14951757,0.21783490,0.57410961,0.56466234,-0.49741030,0.84210736,-0.05921457,0.02528086,0.87370574,-0.20968924,-2.28563523,0.08992130,0.44199643,0.56132358,1.42994022,-1.38088632,0.61216235,-0.09260837,0.02142702,0.88369593,-0.91361755,-1.39110446,-0.13364516,-0.00356939,0.25591940,-0.05986748,0.29602298,1.10134995,-0.10606395,0.05491346,0.81482646,-0.88984972,-2.64899731,-0.40210697,-1.27951241,1.02828097,1.01968694,-0.62125587,1.79488134,-0.01526284,0.00100172,0.97475843,0.05028281,-1.15278137,1.91802728,1.85960698,0.72508866,1.31690359,-0.58843672,-0.21984455,0.81744128,2.93440652,0.08706436,0.99965441,0.65399963,0.84735459,0.40922779,-0.51844877,-2.63880372,-1.33478785,1.34540188,0.33456570,0.50248826,0.47859744,-0.14349310,-0.11303028,0.03046281,0.02412282,0.87673770,-0.28670740,-0.69132358,-0.40461621,0.30171570,0.90,0.47,
0.00,0.00,20.00,0.78,155.00,1.71987724,0.56488991,1.82415748,1.04572177,1.28866160,10.73413754,0.00109277,3.83,0.00167932,0.69184633,0.00001632,1.00294662,1.33847761,1.78570473,1.06638741,1.67296231,0.27835163,1.10752285,1.61940265,1.23396945,9.77773666,0.00182449,-0.15950209,-1.03677714,0.39428666,0.47210360,1.23216546,-0.83486372,0.21735974,1.44909608,0.21673357,0.10820916,0.74236573,2.01553941,3.13678050,3.07260275,0.97036612,2.08674955,1.75290668,1.69147015,1.08169818,1.97601414,17.43570328,0.00003545,1.34703648,1.30937755,0.90751678,-0.11437027,1.72734702,-1.36534679,0.77186990,0.23406741,-0.43899792,0.75603497,0.38481040,0.22430988,2.67130661,4.05866575,0.08842754,4.34100723,-0.07318062,1.03369451,1.16883719,0.76012814,2.32502890,0.12766878,2.89991546,0.29979983,1.79466343,2.65961456,1.53584790,1.70090556,0.96651065,2.25412345,0.69415903,1.94069588,0.16394640,0.41660711,0.36522567,-0.05138143,0.07262088,0.78785075,-0.87410587,-0.62961900,0.24448685,0.07942843,1.05,0.52,
0.00,0.00,14.00,0.73,152.00,-1.06156445,-0.94163775,-0.68310750,-1.20167494,-0.97199619,3.71377754,0.05428569,4.91,0.08463750,0.06940694,0.62889863,-2.04652619,-2.32802892,-0.81238592,-0.76318198,-0.53605819,-0.66527665,-1.48120737,0.70254451,-0.99126506,3.90401626,0.04848318,-3.16281056,-3.50961280,-2.36160564,-1.14752507,-1.82296610,-2.28784800,-1.32153416,1.87636244,-1.71719253,4.07754040,0.04412843,-0.31332603,-1.06318808,0.56549543,-0.79729271,-0.32148281,0.67236727,-0.89420176,0.09635135,-0.25690967,0.19110884,0.66219699,-2.29888010,-3.78621221,-1.95144653,-0.27135336,-2.73563385,0.73266280,-0.39060599,2.93282914,0.24740706,0.14805919,0.70049041,-4.63951874,-0.65204263,1.10229087,0.66315639,0.26285365,0.50211161,-1.13442147,-1.96071494,0.53006494,0.68325728,0.40869243,2.49973965,-2.78624868,-2.72218108,-0.31909007,-0.34693164,-1.38082623,-1.23072541,-2.00314713,0.10388973,0.02662385,0.87042368,-0.15945488,-0.11505380,0.04440109,0.05347881,0.81736566,1.85426211,4.20638132,2.35211897,12.00767899,0.99,0.49,
0.00,0.00,15.00,0.71,154.00,1.14826024,-0.32979146,-1.13843215,0.37058079,0.01265435,0.00083650,0.97693306,4.34,0.96569752,0.61465168,0.64515435,-0.79593295,-1.49628913,0.41222608,1.16653180,-0.33814391,0.36123964,0.10837083,1.27764142,0.08695547,0.03768576,0.84612034,0.47693613,-2.76110506,1.08567166,-0.03622983,0.25319129,-0.53036499,-1.48247206,-0.40684408,-0.42515215,0.35511723,0.55157017,-1.50863099,-0.68447453,-0.45771644,2.49841881,-0.08444583,1.15335417,1.27134585,1.84529996,0.50414389,0.79380351,0.37341030,0.14643773,-4.22583866,0.25203976,-1.91942036,-0.01534211,1.29879117,-0.32205567,2.61791611,-0.71433461,1.57839239,0.20932734,-2.64128280,-0.42487392,-0.56893039,-2.72987986,0.46533650,-0.05434628,-2.75704050,-0.75308096,-1.49671650,6.90031862,0.00876859,-1.15239990,-0.77672052,1.64932048,4.36561012,1.61984909,-0.44933590,1.69190574,2.36490655,0.79339707,1.99636364,0.15803229,-0.42053124,-0.30776373,0.11276753,0.30572870,0.58096309,-1.15641665,-1.56889367,-0.41247699,0.35291335,0.99,0.49,
0.00,0.00,13.00,0.70,128.00,0.02205539,-0.66747791,-0.89402974,0.03895907,-0.37512329,0.49325371,0.48266457,5.20,0.45471024,0.28422200,0.60443898,-1.92370594,-0.75623566,-1.66023862,-1.16159618,0.01959812,0.26152804,1.32778180,0.98531330,-0.36344442,0.46960780,0.49334833,-4.45709038,-1.22387719,-3.16179776,-3.20325756,-1.74200892,-0.87426364,2.27705073,1.70596147,-1.33491039,1.96461797,0.16180160,0.26314119,0.02148870,-0.38628367,0.01304232,1.06785452,1.39428711,0.95142287,1.70629168,0.62890559,1.18563128,0.27677294,-2.50868559,-1.28925645,-3.84920573,0.72659969,-1.90353560,1.65065122,0.34302682,1.16674280,-0.72762471,1.13705981,0.28656826,-1.62060750,-1.27500069,-0.98435462,-1.67243624,-0.60089147,0.38574824,-0.32282183,-1.07080531,-0.93079722,1.85178244,0.17392622,0.49269065,0.34298918,4.53023624,-0.13732341,-2.28632188,1.15145242,-2.27668357,-1.49486816,0.09824730,0.02135750,0.88384288,-0.37047058,-0.20535240,0.16511819,0.50582677,0.47782323,-0.11045138,-0.38901573,-0.27856436,0.08958993,0.94,0.47,
0.00,0.00,17.00,0.75,82.00,0.84303606,0.56709808,1.90518367,-2.44415355,0.21779104,0.03754294,0.84640837,10.94,0.58919796,0.39987045,0.18991433,2.40840960,2.29544568,-2.54354692,-2.34890342,-1.31128752,2.33984852,-1.83709216,1.51385355,0.06459093,0.00323575,0.95465084,-1.31265247,-0.53088868,-7.64252520,-5.03312731,-0.87237269,1.37667227,-6.42899132,-3.50696278,-2.99385595,2.69596481,0.10139443,5.42033672,3.76018500,-0.05275789,-0.92457062,0.04170391,1.15524995,-0.46225348,3.63623428,1.57176602,1.34334934,0.24703520,9.37321854,1.62016118,-2.38795066,2.05140996,-8.35980129,2.31246686,-0.33251545,-1.33250284,2.92667341,4.16786051,0.04149694,-0.70494300,3.90388823,5.79222107,0.73458695,1.34850085,3.94404721,-2.05703473,1.80358219,4.38754654,9.31918049,0.00233616,1.12488413,7.53738022,0.09185518,1.94047582,0.88087130,3.00853539,-2.75127339,-7.54004622,3.22935343,5.19107246,0.02294320,-0.38730106,-0.19488192,0.19241916,0.50061601,0.48009654,1.90121949,3.63114071,1.72992134,0.82631892,0.00,0.00,
0.00,0.00,20.00,0.00,144.00,0.17406550,1.29250348,1.69598806,0.53955907,0.92552900,0.65204942,0.41959837,11.15,0.40729090,0.21267336,0.55885783,3.20402431,-0.07053676,-0.51563215,2.27249837,-0.68311852,1.13522601,1.39259648,1.04636919,0.97267836,0.72044122,0.39623031,14.48899174,0.42462185,0.84915370,3.12444019,-0.40773359,-0.12786494,0.95502996,1.51980710,2.60330582,2.04960752,0.15303221,-4.95395041,-2.45750070,0.96291775,3.51070857,-0.99828279,4.71584892,4.99134731,1.65257096,0.92795742,0.45068917,0.50233908,10.68859673,-1.90293229,1.68409145,2.03679562,-5.36824703,1.88516021,-0.74676955,1.34072518,0.70378786,0.23091386,0.63096702,-0.21807621,2.94111753,0.05620816,-1.39201570,2.55824852,1.85361564,7.12573385,0.05149509,1.07088840,0.53479570,0.46479316,-3.16947055,4.04545355,-1.96153080,0.34982201,6.43858480,-3.87681484,-6.24425411,4.43288851,-0.36627620,0.06442377,0.79969543,1.03299868,0.83522356,-0.19777508,0.77325320,0.38032331,21.34030342,22.27333450,0.93303007,0.23300019,0.00,0.00,
0.00,0.00,0.00,0.79,151.00,-2.55850029,2.06750941,-2.03724980,-1.37437153,-0.97565311,0.78648227,0.37540740,10.70,0.50639305,0.31671957,0.57724683,1.36951315,1.23419809,-2.10462165,-1.39018083,-0.14417733,0.51542383,-2.87096667,-3.76036811,-0.89389741,0.65635347,0.41806954,3.79731178,2.52049422,-5.32815456,-2.76914811,0.81291890,-0.60329521,-7.75007153,-8.49279022,-2.22659183,1.23672986,0.26677520,-1.05351889,-0.44935483,-1.55699492,-0.18281724,-3.30937815,-0.69488430,-0.17871778,-0.00788715,-0.92919415,0.63477856,0.42601189,13.60295010,2.16502094,-1.56635737,0.13317548,0.46657890,1.53727221,0.11541079,0.65384090,3.44748473,6.02920723,0.01426437,-2.97075152,1.66413057,-0.81322497,-2.20753765,-3.43474150,0.30119619,-4.91288805,-4.10226870,-0.69763589,0.24588130,0.62011461,0.80730915,-5.59016228,-4.09130144,-3.75429106,1.23152900,1.00932658,-5.52087164,-4.59170341,-1.28320992,0.85017449,0.35675685,0.56458372,0.50802404,-0.05655967,0.06794333,0.79463745,7.39829731,8.35014343,0.95184612,0.42959332,1.06,0.50,
0.00,0.00,16.00,0.75,153.00,-1.23432314,0.41223830,0.03536686,-0.85507542,-0.41044834,0.30762357,0.57928259,7.20,0.65989888,0.83892781,0.58845325,1.28768420,-1.67348504,0.12001116,-1.07333767,0.17373292,-0.74335819,-1.65679097,0.13855761,-0.42837328,0.33516142,0.56278387,5.91040897,-1.50413346,0.08339979,-0.99338037,0.54678041,-1.94266164,-1.08424044,0.00947454,0.12820597,0.01179901,0.91355619,-2.34729433,-3.94081116,1.35209560,-0.49408469,-0.09702878,1.33481419,-0.99712586,0.19034660,-0.62488604,0.44168794,0.50663621,5.14427757,-0.04736599,1.11762369,-2.65929103,-2.26373625,-0.25333372,-0.04537141,2.18994045,1.25794113,1.76172757,0.18475499,1.34651911,-1.66744828,1.22279143,-2.34446669,3.77988696,0.29538122,-1.67918336,-1.38661659,0.87683666,0.86191082,0.35346025,-0.96308142,-0.98437536,-1.58741057,1.37294972,-0.16805036,-4.40767670,-3.27694368,-0.11812130,-0.34088728,0.13239622,0.71604818,-0.13085236,-0.05809386,0.07275850,0.11432860,0.73564221,2.74838328,2.92980838,0.18142512,0.01492209,1.01,0.48,
