,x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,polar_angle,eccentricity
1199,105.24,41.83,0.0,0.0,12.29,91.0,1.03441942,3.54719043,0.01920012,2.74091816,1.83543205,4.13151741,0.04240271,8.57,0.74738669,2.18107748,-0.54083687,-0.16604751,-0.88249701,0.1350363,0.03068062,-0.50046164,0.12554227,0.02729942,0.87,6.92088509,5.54391241,3.96661448,5.60111475,5.01770878,3.4093101,-1.44914722,-1.71741068,0.7320627,0.38786861,0.53359072,-2.45416093,-4.58011246,2.61858463,-4.02885008,0.92928714,-1.91234696,5.50352907,5.17367077,-2.56315184,4.93277311,0.02661766,2.8655293,1.73404026,-1.1692425,1.94124401,4.73616409,-0.505732,-1.55736172,0.44156447,-1.75913501,2.30158496,0.12961784,1.14417326,-0.02290078,-1.16707408,27.79277611,2.9e-07,0.0,0.0
1200,106.32,45.31,0.0,0.0,5.82,88.0,-4.83872223,-2.31410503,-1.38368237,-2.04522157,-2.64543271,4.95678806,0.02625046,11.28,-1.8762008,-4.99565268,-1.98635101,0.88507617,-0.22348659,-2.61054683,-5.8837533,1.59328651,-1.88720357,3.63473868,0.06,-11.0786314,-9.66270256,1.62222564,-3.49774599,6.51593208,-2.55906558,0.39644513,-0.7539891,-0.34635976,0.05068945,0.82192259,-4.09558439,2.69819474,-9.2082777,6.19525099,2.7684834,-9.32129002,-5.00962973,2.91416907,0.58565074,0.15002607,0.69860845,-6.21868944,-2.35844088,-3.44654131,-3.23164344,-5.87902355,-6.00983095,-4.55822325,-7.09918976,-2.84128666,3.4520967,0.06352086,0.44216436,-0.03488303,-0.47704738,4.0480957,0.04529833,0.0,0.0
1201,107.33,45.31,6.0,0.23,6.32,85.0,2.77552032,1.93767536,1.14442456,2.73484135,2.1481154,6.07026482,0.01394512,8.27,1.16019166,0.26765725,2.11229467,0.69628334,0.88167161,-0.03601503,1.72115278,-1.77807879,0.62814468,0.73892832,0.39,-1.26395392,6.54622364,1.47380197,0.09279948,5.1339221,2.82169127,4.35645485,-2.87451577,-0.77010012,0.45958963,0.49800229,1.9167707,4.71688652,-0.8562144,-0.67771941,0.02639171,4.12673187,1.58717167,-1.60474741,-1.56950152,1.95680356,0.16222426,6.23550987,-0.3312434,3.68736839,5.14494467,2.60074615,-0.77931494,4.563447,2.43562031,0.02536432,0.00049278,0.98229471,0.32963234,-0.16957653,-0.49920887,3.99803519,0.0466399,0.0,0.0
1202,107.33,45.31,0.0,0.3,6.32,96.0,1.07477903,0.45704466,0.82473469,0.13884689,0.6238513,0.70624632,0.40092965,7.04,-0.72144425,1.31908119,2.45914292,0.42310843,-0.11430676,-0.84813964,2.06772184,1.34247112,0.74095434,1.43604589,0.23,-0.50203526,2.97273445,3.11734414,-0.5679611,-3.81176829,0.22747737,-2.31717682,4.08602476,0.2377326,0.06060683,0.80559945,0.37421402,0.89409769,1.54879475,-1.71886575,2.10111618,-2.21877337,5.51963234,0.75258732,0.78492749,0.67688984,0.41089297,-2.3928678,0.5073477,0.76308191,2.48737669,-0.17738444,3.62856579,0.68034136,2.55170679,0.9498536,0.99283403,0.3193373,0.46758306,-0.30585271,-0.77343577,9.11351395,0.00280096,0.0,0.0
1203,107.52,44.36,11.0,0.36,7.81,88.0,2.54050803,1.02186036,2.53173947,2.96849227,2.26565003,6.7743988,0.00940894,8.26,4.14084148,-0.05640213,-1.13409305,3.2871542,-2.15695572,-0.43781257,0.68799567,1.15329456,0.68550283,0.8948853,0.34,-4.28884268,3.48067999,-0.38832074,-2.4829216,8.44570637,1.58028305,4.06236839,-0.9478128,-1.8636595,2.72588181,0.09910692,0.37420061,6.83669138,4.17472935,1.10691714,-1.55329692,5.08162069,0.7253828,2.80551219,-0.5073235,0.20560336,0.65035246,4.56538963,4.64584637,2.72915506,-1.11539972,9.16157627,-1.86084616,2.83550501,-0.26471293,-0.47617328,0.18402493,0.66804672,0.78651857,-0.35731977,-1.14383829,21.25544739,6.43e-06,0.0,0.0
1204,107.06,43.38,10.0,0.34,9.22,85.0,2.46988845,3.91887903,3.64269543,4.31659651,3.58701491,13.59731579,0.00024093,9.23,2.07183194,-0.06423368,2.89338183,3.36354613,0.0284288,1.42224574,1.41912127,-1.43840623,1.2119894,2.20275497,0.14,-4.0479393,0.11445259,8.66784191,4.4493022,7.28110886,7.53037834,2.79700613,3.07822585,-0.64263129,0.2596775,0.61047549,0.42188659,5.7703743,5.22641945,1.19650674,5.62224817,4.24446201,3.59926581,3.38410711,-0.56105894,0.20020682,0.65466918,6.1537075,4.14675236,1.13216615,0.89436805,4.06645584,-1.41820705,0.15504596,4.95205927,-1.88065624,2.27099371,0.13219088,0.73761415,-0.62356514,-1.36117923,33.76586914,2e-08,0.0,0.0
1205,106.42,42.83,5.0,0.25,10.14,93.0,1.19249296,1.55385351,0.33949569,0.02798495,0.77845675,0.9456681,0.3311017,7.6,1.37618673,-0.40533519,-0.40165773,3.63708377,0.50811893,0.69130862,2.10360384,0.82057786,1.0412358,2.43490839,0.12,0.09381092,0.29149345,2.55893922,0.5119344,1.56427693,1.87370944,6.28685665,-0.11567801,1.56051922,2.22488809,0.13617749,-0.1328389,-1.07081831,1.05287182,2.26112866,0.75055015,-1.96839738,1.66358697,0.2312482,0.32394099,0.09839948,0.75383663,2.55300355,4.59445333,2.36229348,-1.32446921,0.59435707,-1.01895761,3.08427548,-1.48631227,1.13867962,1.23162007,0.26740943,0.06962588,-1.2563622,-1.32598805,34.02351379,2e-08,0.0,0.0
1206,105.24,41.31,0.0,0.16,13.25,101.0,2.23329234,-0.16832991,1.39009368,0.07264995,0.88192648,0.9779247,0.32299378,8.46,0.96603036,1.3636297,1.45791757,2.52622247,0.65417796,1.75360429,1.17439806,-0.37363106,1.19029367,2.53886271,0.11,-5.64662123,3.27933478,0.22904025,0.67471206,1.4699204,4.03283262,-1.50082481,-4.55351448,-0.4039931,0.12123495,0.72778607,2.44783854,0.39533257,-0.33559495,2.65265632,-1.40994215,0.47969237,3.74353743,2.92900801,1.26816773,1.21645737,0.27037252,5.16683483,0.69516736,1.9969902,0.31474626,4.26292038,1.15123558,4.79881287,-0.05365749,2.17296743,3.59778357,0.05819906,-0.8954494,-1.99889183,-1.10344231,21.18639946,6.65e-06,0.0,0.0
1207,107.98,44.79,2.0,0.0,7.54,85.0,-0.55314374,2.92404294,2.81388688,-0.23324333,1.23788571,1.24674845,0.26449069,10.52,4.62334061,1.97933471,1.40214562,1.41471422,3.66702294,1.21553206,-0.43236753,0.31268921,1.7728014,3.647017,0.06,2.47304916,1.99535644,5.4416151,-2.95923615,8.05474186,4.36503077,-2.72356272,7.02654648,3.13231254,4.71690035,0.03014635,3.82073808,1.30747867,0.23955253,5.93074989,4.45553493,2.05683041,-1.69274807,5.60315037,2.94953609,4.26782322,0.03914643,-5.95324612,2.46221614,-1.48080194,0.14971548,1.48307025,-1.76055682,1.82586443,-2.25292754,-0.40283775,0.08000902,0.77735479,0.03755952,-0.93134904,-0.96890855,14.99777889,0.00013762,0.0,0.0
1208,107.52,44.36,5.0,0.25,7.81,101.0,1.20965946,3.31996751,0.03980813,2.38297415,1.73810232,2.8774395,0.09019577,9.72,-0.98292631,2.53385758,-2.67340207,0.85742539,0.61687505,-0.59232771,-1.43716991,3.87420559,0.27456722,0.10305407,0.75,2.83941031,3.03839445,5.56939125,7.49943304,3.77816033,-3.71268392,1.26891768,4.68508863,0.91001129,0.46431297,0.49580276,1.40310001,1.1535238,3.01463461,-9.68784618,-3.55799007,-0.5925737,3.38773513,5.35583735,-2.40199375,3.38163638,0.06627898,13.33344555,-2.23627353,-3.62364459,3.04270053,-5.89361906,2.6931479,1.4117738,1.76229131,-1.13139331,0.76189953,0.38298387,0.15502721,-1.18091857,-1.33594573,29.79507446,1.2e-07,0.0,0.0
1209,107.49,43.72,9.0,0.3,8.78,95.0,1.55474043,0.14922594,1.66975534,1.34271812,1.17910993,1.76280975,0.18463172,8.43,-1.12003005,1.77496946,1.25033212,2.2861805,1.12960052,0.94001657,-3.11046672,1.66909051,0.60246164,0.6643219,0.42,-0.07951781,-3.03075123,2.56776357,0.17231174,2.38345408,0.64563179,-0.52667999,-1.5099746,-1.25652921,1.16967726,0.27977758,3.48306942,0.0142294,2.53555489,-3.12413239,5.23263168,-0.85019749,2.08181596,4.43511391,0.34783757,0.09296615,0.76051508,1.86761105,1.02003622,0.7184487,-4.59208775,-0.47137809,4.68750048,3.2801342,5.0168705,0.31645086,0.07759131,0.78065699,-0.10219603,-1.63765037,-1.53545427,41.52345657,0.0,0.0,0.0
1210,107.31,42.6,6.0,0.27,10.58,94.0,2.05251169,1.60199225,3.69599414,2.63964868,2.49753666,9.23450851,0.00244784,7.8,2.16342306,2.54576302,-0.04192694,2.02576971,-0.7523213,1.03679597,0.18869759,2.46098423,1.20339811,3.048136,0.08,-3.17980814,-0.38882351,3.80545092,0.94007295,6.55028677,-0.23842055,1.70617592,3.23202205,-1.06789601,0.99710786,0.31829855,6.20493555,4.42647076,5.68789864,3.12903786,-2.26455522,0.7851789,6.10266018,4.80985451,0.86570638,0.67396259,0.41190611,0.89155644,5.37032938,0.31262079,-0.13862246,2.11267972,1.6184361,2.97351789,2.21888614,-0.61959022,0.34412944,0.5576127,-0.89436549,-2.31624746,-1.42188203,36.44981766,1e-08,0.0,0.0
1211,106.85,41.96,2.0,0.2,11.64,110.0,1.06694639,-1.16368365,1.66111219,0.26824924,0.45815605,0.27547944,0.59981676,8.28,1.08907175,1.12058616,-0.59456289,-1.10775054,-1.45608366,2.17402673,0.2419361,2.58393216,0.50639445,0.48183569,0.49,-4.97806025,-4.5810523,-0.50629991,0.32638699,4.67772579,2.03704023,-3.57063031,-3.82375956,-1.57784832,1.93312693,0.16478458,2.23518181,0.62323129,0.67365301,5.58605337,2.94320583,-1.77563143,0.77533311,1.77153015,1.33738959,1.41562259,0.23446102,-0.00441489,-0.83373892,6.21169138,-2.39187217,1.50835502,3.58510661,2.84971166,-1.8271631,0.90221906,0.65214407,0.4195755,-1.84458363,-2.92531919,-1.08073545,19.59391785,1.434e-05,0.0,0.0
1212,108.17,44.24,4.0,0.0,8.42,87.0,5.16945457,-0.66782081,1.00432241,1.56361794,1.76739359,1.82873809,0.17663718,12.4,4.74117565,3.09777331,-0.55117971,-2.78937507,0.50346285,2.17158985,1.56343114,1.06379414,1.22508407,1.24808037,0.26,-0.4751142,6.29167843,-2.79989672,-4.73442745,1.54182172,-0.46000335,-2.34574914,-1.0812695,-2.13569856,1.56325877,0.21153648,-3.71947312,8.05160332,-0.39462671,4.0022006,10.194767,-0.74960643,-1.92225707,-7.22739887,-0.33691773,0.0407446,0.84008054,11.81237602,-1.45504987,6.87775755,9.68672848,5.34461832,5.84860945,4.60385752,0.9991768,3.64951324,4.75499439,0.02948988,-0.11398665,-1.60703933,-1.4930526,37.11193466,0.0,0.0,0.0
1213,107.93,43.71,9.0,0.25,9.01,101.0,-0.17578195,-1.09489298,-1.11165988,-2.1639235,-1.13656461,1.67580235,0.19583554,8.33,1.86538255,2.11111665,-0.48127034,0.51262724,0.68831521,-1.1443876,-0.74152327,-0.26477545,0.31818563,0.18772469,0.66,-4.60058641,-1.57240105,-1.37769759,2.21609211,-0.40275988,-1.34467459,-0.82729405,-1.75861073,0.99176592,0.74603766,0.3879799,-1.13293886,-2.30856562,-3.83736563,-0.55666637,-1.44235086,-0.01527258,0.62303585,0.00200106,1.10509336,0.95163029,0.32958517,-0.29591802,-2.67455983,0.17386183,-2.8862288,0.13730705,-2.5928967,2.23719597,4.71429348,2.02862644,3.25055814,0.071757,-0.24602993,-1.9158566,-1.66982663,47.50092697,0.0,0.0,0.0
