x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,13.00,0.65,145.00,-2.09356618,6.92792940,-3.49439788,0.89523584,0.55880028,0.05558959,0.81366238,23.06,8.87159920,-2.88482571,-5.17124557,4.68699360,-0.52785212,3.79272676,-6.64118195,-3.91026974,-0.22300693,0.01137243,0.92,43.10559845,7.94510078,2.77634764,-0.47404164,4.64867353,-0.67972898,11.45258236,-11.67648125,6.17272329,4.30220318,0.03835464,19.40382767,-1.03008628,-8.55868244,-2.80205297,2.96951270,-1.58092308,-26.18149948,-9.37020206,-4.51851463,2.28638816,0.13087398,-0.58092356,1.74679375,-13.16159630,4.74581003,-2.65180874,-0.55944121,-9.42193317,2.51293302,-3.03133678,1.02072108,0.31262700,-1.50440991,-1.52908111,-0.02467126,0.00396185,0.94987787,18.90301323,19.86030769,0.95729554,0.07658890,0.00,0.00,
0.00,0.00,0.00,0.72,115.00,-5.54117250,-3.45847607,-7.25067043,-6.71802187,-5.74208498,7.79330587,0.00535722,20.01,0.20291391,0.29927528,-4.25169039,-0.73263985,-7.33271313,-2.20254612,-5.95394897,-5.02097225,-3.12404013,2.97398782,0.08,7.33612967,-0.29869667,-14.73759460,-5.51008558,-14.28847885,13.80294418,-10.28917980,-5.41960335,2.82625198,1.17095339,0.27950321,-11.29316330,-4.68200207,-3.23437643,-9.39821053,-11.61994839,-5.47083569,-6.57582378,-5.90892839,-0.48726693,0.03424504,0.85322939,-8.07796097,-8.99661922,-5.89086151,-12.66176987,0.80959380,4.96524191,-7.12945080,-7.50228739,0.96491534,0.13757144,0.71079704,-2.52405953,-2.51239038,0.01166918,0.00088150,0.97634544,22.42241859,18.82307243,-3.59934545,0.77313238,0.00,0.00,
0.00,0.00,20.00,0.80,46.00,-2.35304213,-1.57149231,2.59296870,-8.48340416,-2.45374250,0.32528585,0.56859332,41.85,6.80458784,-0.88162374,-8.74096489,-7.41195822,-4.97975111,1.01861632,-6.93615246,-4.44464493,-3.19648623,0.74681741,0.39,34.51599503,2.26554036,-22.50739479,-7.39026451,-13.29630566,11.18446159,-32.07461929,15.90107155,6.52733612,1.42772329,0.23245976,-1.92570066,2.00720477,-0.11789886,-10.75680351,24.97990799,-14.64429283,8.85067177,7.17684555,10.94788361,3.97673178,0.04644257,10.06234455,-16.21872902,-1.07604146,-17.60693359,13.44018459,-4.34850883,2.38842821,-3.63495970,5.83068419,1.14665341,0.28454574,-4.11929226,-4.10154629,0.01774607,0.00159466,0.96818827,-60.37827301,-65.99540710,-5.61713505,0.56280601,0.00,0.00,
0.00,0.00,0.00,0.00,158.00,2.52329278,3.68182468,-1.30037653,0.75768721,1.41560709,1.29717612,0.25503857,12.09,3.83396888,2.87315512,3.72320795,2.34202051,2.05372024,-1.12036145,1.97656167,1.53160083,2.15173435,3.77101135,0.05,6.64851141,16.33987999,3.99675441,-2.50385118,1.95152175,-7.41378689,7.13275576,2.51651788,3.09084845,3.86644840,0.04957605,-3.06056786,-5.23921013,-0.07772290,-0.35867187,-3.75833011,0.22369039,0.48842725,2.23565865,-1.93410456,1.48018384,0.22407345,6.37148333,-4.01209116,1.80205083,-7.62498713,5.57048702,6.87480640,6.93672323,6.49676991,1.64435506,1.11051381,0.29226086,0.57311517,0.39678234,-0.17633280,0.62149692,0.43147406,-7.01023006,-8.34676075,-1.33653033,0.33716324,0.00,0.00,
0.00,0.00,18.00,0.00,150.00,3.60666537,5.14046097,0.05328873,1.60502422,2.60135984,2.88521957,0.08974810,14.90,0.36256739,2.08016372,0.67930245,1.17224395,2.15527058,-0.07252875,3.05075812,2.30247879,1.46628201,1.00804353,0.32,11.76191139,16.04427719,-2.24494243,-3.26367450,5.55632401,-1.85509467,7.66142273,7.92501640,3.68269467,3.56927276,0.05918813,1.73782825,5.31618071,-4.52448463,-3.84071565,7.29278135,-9.44413471,0.09395660,2.09293032,-1.67788923,0.74137920,0.38945504,11.23626041,-4.99446774,12.52801514,-1.52540123,-10.47301388,8.50450993,12.52135181,5.97812700,2.26591396,1.40950334,0.23546069,0.43597648,-0.15018025,-0.58615673,5.07103920,0.02547324,-7.39382601,-5.41267347,1.98115230,0.28829232,0.00,0.00,
0.00,0.00,0.00,0.81,150.00,-5.88122272,5.37583828,-8.25676632,-0.02768387,-2.19745851,1.01623547,0.31368979,21.20,2.96285939,-7.86167240,0.67971808,-1.80168653,-14.15513611,-1.87394488,0.17842694,-1.41004753,-2.91018534,2.01712227,0.16,26.29968452,10.63757515,9.02537346,-12.74169445,-6.87217474,-7.00721264,13.01482677,9.53926849,5.56101704,4.08330917,0.04361258,6.11651468,1.60882056,-7.19389153,-17.19084167,-9.87090111,-18.70231819,-18.56627464,-3.26552796,-8.30419445,9.03367043,0.00272610,-5.75769424,-11.44448566,-1.72151375,-15.64683723,-1.03997958,-1.24175990,-3.19945073,-5.90503359,-5.95146704,4.64977503,0.03132919,0.16998833,-0.75204819,-0.92203653,8.42837524,0.00413129,-24.32588005,-28.65952682,-4.33364677,3.01250553,0.00,0.00,
0.00,0.00,18.00,0.80,145.00,-5.99872494,18.50693130,-3.85317802,-5.39742088,0.81440175,0.03341888,0.85499040,43.34,-6.05505514,-3.76308084,8.45619011,10.03552532,-24.11885452,2.55708456,-8.41643810,-9.29621601,-3.82510543,0.79135269,0.37,41.51612473,35.32185364,16.36867523,-8.47729301,5.50655031,24.87953949,16.19857979,15.08983135,23.53264046,17.02863693,0.00004033,13.20123386,9.62737083,43.46088409,0.69074678,-9.01024723,-45.94476700,-48.59991074,-1.70094192,1.73956525,0.09830244,0.75395100,-7.03701925,-25.89677811,5.28135300,-19.53910065,-10.38319588,6.15056753,-10.94257164,23.59386635,-0.15646870,0.00072209,0.97856815,-0.18465064,-1.21280074,-1.02815020,6.84202814,0.00961914,-5.47855234,-10.79204941,-5.31349707,1.35327601,0.00,0.00,
0.00,0.00,0.00,0.00,146.00,-1.12256432,12.32118607,2.93874907,-6.23580122,1.97539246,0.19215593,0.66123550,43.83,3.32238817,4.31035185,7.44453859,10.80724144,-14.16084576,3.93431711,7.36646080,1.06005037,3.01056266,0.57371545,0.45,21.95854568,48.66823578,-16.12549591,18.68942642,-29.00665092,6.25888824,16.46161461,21.10249901,18.49124146,10.48189831,0.00125081,32.90985489,-12.40524483,38.58890915,0.40872523,-7.42903519,-11.78565311,-10.53061867,-9.08847618,9.24237251,2.62595272,0.10548927,1.85642719,-31.63654900,21.20956039,-19.66403580,12.42250252,25.80389404,-3.11113143,-11.72787094,4.91615057,0.75494683,0.38515253,-0.87127733,-1.79034317,-0.91906589,3.42022681,0.06595556,9.69850445,2.79685020,-6.90165472,2.76528621,0.00,0.00,
0.00,0.00,19.00,0.00,155.00,-3.59352517,2.06178427,-11.40314770,-13.28976822,-6.55616426,2.11341357,0.14636861,43.86,-5.73242855,-6.90357542,-11.72089100,-0.36390904,-18.97721863,-3.13140798,11.19522667,-5.75337553,-5.17344761,1.67066658,0.20,9.58530045,-4.23541403,-21.08714104,16.98016930,-26.19998169,-9.97584915,26.34638405,19.69708633,15.83636379,7.59021187,0.00599033,36.93360138,-20.10301971,-16.21557617,-15.83038521,-4.70188236,-29.67501259,-27.81678963,-13.24743366,1.70979977,0.08962341,0.76472748,-11.80972862,-26.70609474,37.28787613,-15.95135212,2.04947662,32.27133942,-23.81032944,-19.82620811,10.00360203,3.15875864,0.07586749,-2.17741895,-2.79140639,-0.61398757,1.15719020,0.28341311,-6.66486692,-6.44233799,0.22252885,0.00295086,0.00,0.00,
0.00,0.00,0.00,0.80,142.00,-3.25312591,1.34282517,-7.87616491,-1.91358232,-2.92501187,1.00491691,0.31639830,28.38,-5.07926178,-11.24258804,-6.29346228,4.74011660,-2.50516772,-6.42872143,-5.69750118,-5.75946808,-4.78325701,3.16863799,0.08,7.23794317,-3.25687337,5.54322052,-17.08577919,13.16775608,5.98882008,3.46924639,-0.43992546,3.19066286,0.72760612,0.39389341,2.55235171,-21.13452721,-12.96285725,5.05289412,-7.59105110,-21.69565201,3.13393903,-8.93925381,-5.99340916,2.60479069,0.10690135,-3.22349977,-10.29713917,-18.42568588,0.47470275,11.09872341,-16.90176964,-5.47245073,18.24161148,-1.49896872,0.16680154,0.68306998,-3.97156048,-4.14927959,-0.17771931,0.09234623,0.76154787,-65.70202637,-62.96979904,2.73222423,0.18057825,0.00,0.00,
0.00,0.00,17.00,0.82,122.00,-0.88628632,-0.11074519,0.17044815,-2.77081203,-0.89934880,0.03783805,0.84581345,44.95,10.29072952,-2.45038009,-6.15305281,-11.93240833,-10.55420017,-26.40112686,-16.44796753,-20.63792801,-10.53579140,5.91700745,0.02,22.98337936,0.40151957,0.78313887,-0.35450387,-4.69176531,-4.75721788,-26.48324585,12.56802464,2.60026312,0.19275019,0.66074572,-4.90052843,-17.48941422,35.52165985,12.11319828,-15.26456738,-10.23990631,8.67419434,-9.21080112,3.17006326,0.29141280,0.58945379,7.24938440,-8.04996586,-9.77346992,-31.21847725,32.36566162,-3.11099362,-9.24705982,15.55724335,1.41369951,0.05905244,0.80805681,-5.74143362,-5.57673979,0.16469386,0.07915296,0.77875475,-119.83531189,-107.17731476,12.65799332,1.48755395,0.00,0.00,
0.00,0.00,18.00,0.00,59.00,-7.63002586,-7.70197916,-12.30644989,-10.36330318,-9.50043964,5.27961159,0.02180959,40.22,-11.04771328,-12.66886044,-12.33247566,0.74264002,-21.28533173,-15.52749157,-9.02570343,-14.96796703,-12.01411343,11.20178795,0.00,-11.23269749,22.72455025,-10.93008614,11.43760300,-28.61126328,-20.45532799,-7.72395658,-24.91441727,2.67984986,0.25821358,0.61147804,-0.31929851,-6.37950420,4.44353819,-15.93140697,-27.08663940,-22.37744713,-10.34034061,-22.57767105,-2.15933037,0.16743317,0.68250320,0.55298626,-25.39427948,13.39640808,-16.39172935,-2.24203324,-9.92342854,-0.47838944,-18.05926895,2.81544352,0.29032674,0.59014812,-7.59854555,-7.29987574,0.29867005,0.23342936,0.62954885,-96.93958282,-99.87902832,-2.93944526,0.28294000,0.00,0.00,
0.00,0.00,1.00,0.00,139.00,0.28232267,-0.16226432,-0.98116201,0.30703318,-0.13851762,0.10715744,0.74348144,4.11,-0.13793615,-1.80491304,-1.84714067,-0.47457066,0.59661895,-1.16966641,0.31472990,1.09689915,-0.42824736,1.31380403,0.25,2.67810988,-3.02271342,1.88053334,0.33237949,0.58983457,-0.78576988,-0.95128036,-1.56214929,-0.45612368,0.71670824,0.39745700,-0.36250049,-2.36971951,-3.82847214,-2.37964153,0.24937364,-0.05981069,1.06205368,0.16366278,-1.28741157,5.74452209,0.01674883,1.29683447,0.55300462,1.07638252,2.75489569,1.71783972,-0.90752780,-3.82522988,-0.98740566,0.01304711,0.00063390,0.97991928,1.85950494,2.05687404,0.19736907,0.91701734,0.33947625,-5.39126015,-5.61085463,-0.21959428,0.11325417,0.00,0.00,
0.00,0.00,1.00,0.00,133.00,0.15365471,0.67636716,0.26904523,0.22179016,0.33021432,0.49275517,0.48288583,4.58,0.06066731,1.93897915,1.20732129,-0.00771167,1.28362191,-0.06771316,0.90374571,1.04922569,0.79601705,3.43897915,0.06,1.16470599,0.59583503,0.55211318,-0.84195083,0.81795460,-0.57701844,2.76699543,1.04959440,0.49339527,0.66716075,0.41426532,-1.40515542,-0.90126902,0.05683855,0.90550852,1.40754139,1.13396001,1.59601891,-0.74116015,0.04185520,0.00485771,0.94445051,-2.22686863,1.13664711,-0.43914932,0.19292977,-0.97441012,3.41141582,0.25147194,-0.31618002,-0.09355415,0.02489759,0.87465887,1.12600183,1.47969067,0.35368893,3.41097045,0.06631954,2.46786928,3.67614794,1.20827866,3.39282680,0.00,0.00,
0.00,0.00,4.00,0.00,148.00,0.50252163,1.15793240,0.14283860,0.18833397,0.49790666,1.14936018,0.28397605,4.52,0.45866308,0.10278156,0.86299604,0.42845118,0.00947357,-0.70356780,0.00260388,-0.16509630,0.12453815,0.08715696,0.77,1.39777362,2.86288381,0.78095859,0.84383410,-0.54559368,-0.60139865,2.89424157,1.14720988,1.00046504,2.82131243,0.09337689,4.05304670,-0.02477408,1.35145652,-1.15505576,0.53298444,-2.17018008,-1.56425548,-0.20592983,-0.06386150,0.01175507,0.91368675,0.22589602,-1.54779315,4.07219315,1.34317517,0.07315931,0.86021632,-0.39148960,-0.30866361,0.37743664,0.41520399,0.51950860,1.71595144,2.02495193,0.30900043,2.02099109,0.15677720,1.23372853,3.84724784,2.61351943,7.75215197,0.24,0.32,
0.00,0.00,7.00,0.41,166.00,-0.17650624,0.51420105,-0.40042001,-0.16965193,-0.05809428,0.02256719,0.88062236,3.76,0.08380885,-0.97795278,-0.58754539,0.34050834,0.00644231,0.16730414,-0.51225728,-1.02432621,-0.31300226,0.88010454,0.35,1.94443583,1.90632093,1.32652450,-0.70282984,0.04141782,0.49206692,-0.14461082,-0.86051118,0.65946692,1.77284729,0.18337647,1.61602962,-0.66199362,-1.60422969,-2.08127642,1.86828840,-0.36037949,-1.43615794,-0.73283297,-0.25454685,0.26847211,0.60448938,-1.29763710,-0.12500249,1.54529297,-0.84902942,0.26887941,-0.25574085,-1.44892776,0.79713106,0.03387829,0.00485100,0.94448882,2.31867528,2.51147795,0.19280259,0.66512996,0.41577589,4.23693943,5.25866413,1.02172470,2.64481926,0.24,0.32,
0.00,0.00,19.00,0.69,112.00,0.37881556,0.63169569,0.22583465,0.60641080,0.46068919,1.62615991,0.20257042,3.51,0.45053124,0.40599707,-0.29579377,0.78514963,0.77660060,-0.60791379,0.60591567,0.00871302,0.26614997,0.71680880,0.40,1.78425300,0.42488351,-1.49807179,0.91756439,2.43508196,-1.41404617,3.18986034,-0.27619547,0.10862833,0.05589994,0.81315298,2.13846016,0.98333788,-0.72026950,0.53019756,-0.43046099,0.84200269,-1.10395265,-0.12308944,-0.39438099,0.73248094,0.39231423,1.69396925,-1.10710263,1.21569955,1.12810326,-1.36521590,1.28313255,-0.33384424,1.17496657,-0.17459044,0.14672919,0.70177380,-0.71070564,-1.43972206,-0.72901636,29.19997406,0.00000019,0.02969652,-0.43943009,-0.46912661,0.52561170,1.53,0.94,
0.00,0.00,0.00,0.00,136.00,0.19797608,0.09238585,0.95988566,-0.63657105,0.15341914,0.10145763,0.75016270,4.68,0.52627850,0.08473034,-0.23257093,0.03315743,-1.81255960,-1.28929794,-0.20498338,0.28435904,-0.32636082,0.61188114,0.43,2.17544270,0.32430932,-3.67692661,-0.61560762,0.35669798,-1.61232948,1.45556974,2.72110081,0.80262607,1.71210277,0.19105597,2.06604362,1.54112160,3.86778307,-0.52541143,2.81405377,-1.40157270,-1.79838145,0.18905738,1.58393896,6.71817541,0.00970244,1.36798263,-2.53233624,1.08020389,3.56921434,-2.38402796,1.14210391,1.79553461,-1.98317552,0.85156476,1.99121809,0.15856862,0.72583342,1.10395539,0.37812191,4.38675928,0.03754520,-1.00615311,0.10095213,1.10710526,2.79898667,0.00,0.00,
0.00,0.00,3.00,0.00,125.00,0.14751491,-0.29341036,1.13166571,0.76886189,0.43865803,1.14673543,0.28452619,3.98,-0.02554066,0.41372299,0.33884069,-0.95821315,1.32705367,0.12085072,-0.46253857,-0.23390509,0.06503382,0.02972551,0.86,-1.34614527,-0.80567431,1.29517365,-0.96138680,2.14879823,2.17641044,-1.11111557,-3.33109331,-1.12175012,4.63968468,0.03151290,-1.83830070,0.94571608,-0.07990327,1.02941084,3.25067186,1.80138576,2.83094645,0.85672659,0.35132527,0.45609155,0.49963450,0.30518076,0.40467826,-0.85681498,1.54089391,-0.23202500,-2.35082626,0.92971623,1.52564764,-0.60539734,1.36861885,0.24236752,1.31620121,1.65954185,0.34334069,2.88630486,0.09097237,-1.32309759,-1.12101150,0.20208605,0.07223723,0.31,0.33,
0.00,0.00,7.00,0.36,139.00,1.11005807,0.71021736,0.85328311,0.34458461,0.75453579,3.18763280,0.07454052,4.11,1.05832791,-0.16730194,0.52212960,0.67244107,-0.89376926,0.73465014,-0.47057667,-0.16363221,0.16153358,0.19864890,0.66,1.94936955,2.34613204,0.83073962,0.06266550,-1.61884046,2.53195381,-0.70284706,-0.28717664,0.29091856,0.28968671,0.59055809,1.71729338,1.92672122,0.74625564,1.90638268,0.35884708,0.38990203,-0.85990041,0.75609720,0.50414515,0.87152112,0.35079179,-0.71345776,1.26988769,0.96222550,1.24337399,3.05529976,-2.25686073,1.73204732,3.47107172,0.76808941,2.09268069,0.14836387,1.92974710,2.16773582,0.23798876,1.19215143,0.27627859,-0.13307592,0.10311504,0.23619096,0.12238543,0.31,0.33,
0.00,0.00,13.00,0.58,150.00,0.97299498,0.77098006,1.47981822,0.13423173,0.83950627,2.83628917,0.09251023,4.85,1.16667283,-2.07301164,0.09993725,1.75088012,-1.15658557,0.32058787,1.97877347,3.09080458,0.64725739,2.46000791,0.12,2.33649063,-2.40881014,1.91328371,1.98271620,-2.75685072,1.57681537,0.94355351,2.01693892,0.61360526,0.92907292,0.33536994,3.71879339,0.47518289,3.58399940,2.52519274,-0.78149396,-1.42094815,2.02609324,1.75736105,1.35863340,4.60197926,0.03220942,-0.45467162,0.84640729,3.43793321,3.78990102,4.38241148,-1.91115713,-3.26027775,0.07458409,0.88369685,2.01774788,0.15582540,2.40263629,2.54708123,0.14444485,0.41087735,0.52229693,2.58159661,1.85970843,-0.72188830,1.25681424,0.31,0.34,
0.00,0.00,17.00,0.80,108.00,-0.56791925,0.90513372,0.59664750,0.90807450,0.46048412,1.55836844,0.21223517,3.59,-0.14163387,0.10277385,1.28174090,1.01747811,0.02460918,0.94288266,0.01015330,0.00107929,0.40488541,1.37995946,0.24,0.56288671,1.18553782,2.90159893,0.27180770,0.29880098,1.23550856,0.27898189,0.28016061,-0.03439845,0.00531202,0.94191536,0.82019395,2.63837314,0.87737572,0.85738343,1.43960965,-0.32191578,-1.81871164,-0.06006462,-0.33579358,0.51232320,0.47432563,-0.30924585,-0.77344567,-1.06951141,0.05113051,-1.72909987,-2.01563096,0.23304321,1.51606584,-1.44217026,9.56405067,0.00204712,-0.80177164,-1.60269177,-0.80092013,35.02102280,0.00000001,2.43203330,2.24394822,-0.18808518,0.04118948,0.00,0.00,
0.00,0.00,19.00,0.70,118.00,0.17657742,0.42982894,0.46538737,0.91209006,0.49597093,1.97482562,0.16028830,3.43,0.54688185,-0.02725993,-0.21164082,0.49311361,1.03611541,0.57465446,0.12217444,0.48553175,0.37744635,1.58805096,0.21,2.09301353,-1.58796740,1.33255661,-0.58444732,1.79753280,1.88415444,-1.32745600,0.42224923,-0.51342332,1.30073285,0.25439112,-1.38051975,-0.92902046,-0.00470751,0.95500463,0.51867026,0.88721311,2.95882559,0.84012783,-0.43176943,0.92604989,0.33615702,-1.33441508,0.32834136,1.74132895,0.66843659,1.05866516,-0.43354496,-2.74176097,2.09398532,-0.67279363,2.30616164,0.12922272,-0.76419604,-1.42129087,-0.65709484,26.22609138,0.00000074,-2.29411817,-2.54650521,-0.25238705,0.22051609,1.52,0.88,
0.00,0.00,16.00,0.59,131.00,0.35922828,0.36642349,0.99443817,0.71868610,0.60969400,2.49617124,0.11448158,3.75,1.59411955,-0.79185081,0.21554020,1.78178287,0.28366384,1.10449243,0.44094604,0.01681631,0.58068877,3.00669599,0.08,2.02005911,-3.34514475,0.06975346,2.73021507,1.09508920,1.98632848,1.34787023,-2.65332174,-0.35786125,0.53896266,0.46305940,1.08510947,1.67339671,2.02033973,1.39258361,-0.80863822,2.60090423,1.74158072,-1.75626802,0.23502444,0.22925894,0.63219335,-0.79169869,1.27983224,-0.86795390,2.42135382,2.63190937,-0.77237028,-1.64228237,-0.19736649,-0.38994059,0.64540523,0.42197816,-0.69335115,-1.17979598,-0.48644477,14.73220348,0.00016863,1.47081280,1.14270937,-0.32810348,0.17682295,1.50,0.92,
0.00,0.00,11.00,0.50,131.00,-0.34415483,0.04817240,-0.00686295,0.09260880,-0.05255915,0.01788310,0.89364837,3.82,0.26040706,-1.51558745,-0.38014162,-0.02262755,0.54841828,0.33320153,0.25470892,-0.04730259,-0.07111543,0.04362438,0.83,-1.01391935,-0.79997522,2.76603270,-0.84788960,-1.13087726,0.17778534,1.36801767,-0.50995320,-0.06293432,0.01570879,0.90028734,1.17314875,-1.76117301,-1.94295728,0.48024887,1.62916040,0.37052163,-0.47871485,0.82272083,-0.08114678,0.02628045,0.87125468,-0.82345915,0.37498555,-1.16133189,-1.35770631,2.11175942,-2.05994916,-1.87394154,1.83665359,-0.44254032,0.80058748,0.37116356,-0.55315775,-0.88964611,-0.33648834,6.91370583,0.00925422,2.14116240,3.25620890,1.11504650,3.04672027,1.45,0.89,
0.00,0.00,0.00,0.00,145.00,0.32763362,-0.41948378,-0.84022605,-0.95729095,-0.47234178,0.96656632,0.32580732,4.67,-0.33532661,-1.30655515,-3.27986956,-1.40616643,0.20163424,-0.59306395,-0.82872915,-1.04008412,-1.07352006,6.65990257,0.01,-1.60139000,-0.95260304,0.46007314,0.34972337,0.76947588,0.39446917,-2.26139355,-0.30628392,0.51577133,0.69841897,0.40354333,2.74941683,-0.88729650,-6.95359707,-0.59783804,0.41893792,0.01623889,0.96865845,-1.73076117,0.04416041,0.00531155,0.94191794,0.18650419,0.21718858,0.52151299,0.26324674,0.35842574,1.35339057,-0.35805112,0.05688237,1.28418183,4.43008518,0.03559505,0.52893102,0.82763594,0.29870486,3.16940832,0.07662770,-6.86810589,-6.32328749,0.54481834,0.65170693,0.00,0.00,
0.00,0.00,3.00,0.00,110.00,-0.09065900,-0.03298400,0.07768611,0.63346320,0.14687657,0.11226676,0.73765765,4.27,-0.02665398,-0.07746466,-0.47524476,0.37850907,-0.98319995,-0.55027092,0.72951615,1.31195438,0.03839318,0.01003180,0.92,2.69250917,0.92956400,-1.20976698,-0.33451378,-3.15902543,0.34375891,-0.51519799,0.44201526,-0.69336462,1.52999496,0.21644469,1.86801636,1.57367742,1.10876739,-0.35849735,-0.79822499,-1.92411757,0.64509660,-1.93394625,-0.61845499,1.22649753,0.26839327,-1.96144021,-0.84804994,1.90065670,1.89315438,0.02284331,1.03713191,-2.37928891,-0.54479349,-0.68325520,1.52772391,0.21678569,1.11702275,1.40663135,0.28960860,2.40936565,0.12227533,1.63035762,2.10697651,0.47661886,0.53428102,0.43,0.33,
0.00,0.00,6.00,0.32,87.00,-1.08639944,-1.37603593,-0.24091911,-0.63060784,-0.83349061,4.01928091,0.04528775,4.04,0.26724887,1.11692286,-0.29024726,-2.53076530,0.32807443,-0.42492920,0.44887447,0.51182628,-0.07162437,0.03848130,0.84,-0.28794414,-1.67862546,-0.77304000,-3.01125669,-1.59099293,-1.83248043,-2.03547621,0.35574925,-0.74267870,1.93741632,0.16430263,-0.14895149,0.80263615,-1.83757555,0.24590562,-0.35487002,-1.00699604,1.36201453,-0.98109603,0.34604505,0.42472902,0.51475768,-2.08400822,-0.97184068,-0.52533275,-1.22602499,1.16266751,0.94100857,-2.72255754,-4.04068613,-0.51091987,0.95346618,0.32910815,1.74446774,1.96960950,0.22514178,1.25617886,0.26379025,2.07406163,2.72903395,0.65497237,0.88250208,0.43,0.33,
0.00,0.00,0.00,0.52,94.00,0.76971459,1.01458764,0.92904162,0.45667678,0.79250520,2.39657474,0.12195956,4.98,0.89455205,1.56350517,0.93786633,0.73609591,0.78125644,1.06734574,0.15081859,-0.34938592,0.72275680,2.82053614,0.09,1.18214488,2.63052726,0.31933376,-0.85443938,1.22121358,1.46790147,2.65580869,-0.54330450,0.54719704,0.69332808,0.40526163,3.18508482,1.30785620,-1.39835858,3.22300148,2.74783683,-0.76291370,-0.49809891,-0.29787576,0.42732769,0.43058503,0.51187434,-1.97010434,2.29753494,1.28252172,1.39982438,-1.02352107,-0.86163306,0.29529932,5.08845234,0.40509447,0.39641866,0.52910880,2.13881493,2.30374360,0.16492862,0.65792131,0.41830966,-2.55060482,-2.66914940,-0.11854456,0.02990469,0.42,0.34,
0.00,0.00,20.00,0.00,120.00,0.18860355,0.54873216,-0.06634200,0.63565922,0.32666323,0.41578406,0.51921573,4.93,1.03147507,-0.00938942,-1.01362050,0.63952690,0.35987622,0.23841693,0.99141169,0.30165887,0.31741947,0.50833029,0.48,2.41571498,-0.76347363,-2.40035224,1.95076323,1.38885295,-0.40705484,1.75737488,0.88377631,-0.02465103,0.00145079,0.96962520,3.18572664,0.15598260,-3.50656629,0.47728926,1.20864522,-0.90095758,-0.05143725,-0.82636452,-0.75545770,1.37457132,0.24134675,-3.20417285,0.98594028,2.56263018,0.78600532,-0.36667228,-0.37623081,-0.17889720,1.17126036,-0.38742766,0.36702541,0.54478709,-1.16855133,-1.86196113,-0.69340974,23.27807236,0.00000287,0.22330652,1.23108137,1.00777483,1.09512758,1.52,0.88,
0.00,0.00,18.00,0.71,117.00,0.09990971,-0.00750774,0.99888003,0.69171757,0.44574988,1.32310390,0.25034717,3.77,0.89191514,-0.24893989,0.35887498,0.53067070,-0.18918511,-0.53400111,0.90993816,0.32908472,0.25604469,0.60829264,0.44,0.39805478,-2.18419623,0.58785832,0.24238388,0.63320339,0.25226477,0.24756941,0.04972094,-0.69140786,1.92912471,0.16520723,1.82118797,1.09637654,0.01802875,1.63209867,0.26648510,-0.68248773,3.19257164,0.71508747,0.27714691,0.31488863,0.57483922,-0.69529128,-0.62316120,1.08812106,0.29862234,-0.50128621,1.35754108,-0.62170589,0.76316661,-0.56364489,1.31787634,0.25128694,-0.97469854,-1.51834249,-0.54364401,16.90769768,0.00005836,-0.50998646,-0.84667104,-0.33668455,0.28192666,1.52,0.88,
0.00,0.00,14.00,0.57,130.00,1.26362777,0.87091839,0.75158870,1.16258836,1.01218081,6.47606564,0.01110284,3.87,0.83232808,0.70240194,1.23892009,0.41755196,2.01751089,0.14214212,1.05878949,-0.30326813,0.76329708,5.05152798,0.02,1.95994544,0.97557807,1.64949107,0.07352439,3.44042873,0.42595428,1.22809041,-2.20365310,-0.27867875,0.30152577,0.58306741,-0.42637482,2.15039897,-0.07958192,-0.37054846,1.83544803,-0.38867208,3.31817675,-0.58646357,-0.47522700,0.88357347,0.34748392,2.21754074,1.29961920,0.05327181,1.38381159,0.73274213,1.43142641,1.73164165,1.37534797,0.08702360,0.02974417,0.86311182,-0.79114872,-1.16318524,-0.37203658,8.67427921,0.00363064,-4.28327703,-3.91757941,0.36569741,0.34801331,1.50,0.86,
