x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,19.00,0.76,146.00,0.48723468,-0.21158585,-1.59977710,-0.67406577,-0.49954849,1.07720828,0.29960705,4.68,-1.67600131,-1.25101185,-0.08538274,2.14615226,-0.88384819,0.31895664,0.59118801,-0.17334822,-0.12666193,0.08522737,0.77,1.74969840,-1.36711848,-2.92509842,-0.11362460,-0.42571393,1.09821665,1.85482907,-1.42185450,0.46542960,0.57118356,0.44999215,-1.29744768,-1.90276182,-1.74597597,-2.42541361,-1.53196466,-0.76815397,-2.75545263,-0.17184895,-0.89214206,2.09743214,0.14790457,-3.31255531,-2.03353477,2.03426075,1.99739814,0.65773129,1.10694087,0.03338888,4.05385685,1.20803940,4.01492500,0.04540676,0.14532289,0.06984973,-0.07547316,0.18360962,0.66877474,5.06698513,4.66210985,-0.40487528,0.28989133,1.03,0.54,
0.00,0.00,0.00,0.71,149.00,-0.75390232,-0.08373582,-0.41180721,-1.20301950,-0.61311620,1.75937164,0.18504587,4.50,-1.27921164,-0.37544227,0.56323105,0.18870886,-2.14140368,-0.08209334,-0.30537474,-1.18490386,-0.57706118,1.87910926,0.17,1.46798635,0.72555453,-3.29283428,-0.18716185,-1.60238099,0.76684505,1.19329131,0.02004013,1.11531198,3.55764627,0.05960231,0.06529928,0.48915172,3.98914719,-0.44170702,-0.51033503,-2.38595486,-2.13092875,-3.32066584,0.75478333,1.66458857,0.19732538,-2.45645976,-2.78488445,0.70245898,-0.14102493,-1.17332530,0.07637202,-1.81357515,2.28112340,0.50794017,0.76009095,0.38353894,-0.24036157,-0.25768363,-0.01732205,0.00926813,0.92340672,2.30850577,1.92773592,-0.38076973,0.24844867,0.97,0.51,
0.00,0.00,12.00,0.66,169.00,-0.04062238,0.28280953,0.35559109,0.01010070,0.15196973,0.12133044,0.72767900,4.24,0.82894659,0.68563849,0.77028787,0.59289372,-1.32919705,0.72218663,0.63912892,-0.16565028,0.34302935,0.80339193,0.37,1.62438786,1.92685533,-1.44927371,0.02602956,-1.67757368,-0.53659564,2.34885001,-0.46782154,0.29092142,0.27172676,0.60230754,4.06951618,-1.94129360,3.08647847,1.50152540,-0.40395081,-1.59364247,-1.61186016,-0.26106304,0.36800867,0.44730100,0.50379566,-1.01016009,0.69343239,0.56403452,-0.33873105,-0.14064997,0.51220399,-0.38781008,-0.41161618,-0.04485026,0.00658329,0.93535114,-0.34224978,-0.32939276,0.01285700,0.00480967,0.94478253,-2.70730567,-2.76021910,-0.05291324,0.00645283,0.97,0.51,
0.00,0.00,11.00,0.62,154.00,-0.04511917,-0.31467363,0.48301733,-0.30686980,-0.04591132,0.01501365,0.90250700,3.64,-0.73248124,-0.80938375,0.50127822,0.20101082,1.11783326,0.84603775,0.01254097,0.82303602,0.24498399,0.55519205,0.46,-0.88984972,-2.64899731,-0.40210697,-1.27951241,1.02828097,1.01968694,-0.62125587,1.79488134,-0.01526284,0.00100172,0.97475843,0.05028281,-1.15278137,1.91802728,1.85960698,0.72508866,1.31690359,-0.58843672,-0.21984455,0.81744128,2.93440652,0.08706436,0.99965441,0.65399963,0.84735459,0.40922779,-0.51844877,-2.63880372,-1.33478785,1.34540188,0.33456570,0.50248826,0.47859744,-0.14349310,-0.11303028,0.03046281,0.02412282,0.87673770,-0.28670740,-0.69132358,-0.40461621,0.30171570,0.90,0.47,
0.00,0.00,20.00,0.78,155.00,1.71987724,0.56488991,1.82415748,1.04572177,1.28866160,10.73413754,0.00109277,3.83,0.67699558,1.40528393,1.78048325,0.32386824,1.93688631,0.54621726,1.00608802,1.60684741,1.16033375,10.33516121,0.00,1.34703648,1.30937755,0.90751678,-0.11437027,1.72734702,-1.36534679,0.77186990,0.23406741,-0.43899792,0.75603497,0.38481040,0.22430988,2.67130661,4.05866575,0.08842754,4.34100723,-0.07318062,1.03369451,1.16883719,0.76012814,2.32502890,0.12766878,2.89991546,0.29979983,1.79466343,2.65961456,1.53584790,1.70090556,0.96651065,2.25412345,0.69415903,1.94069588,0.16394640,0.41660711,0.36522567,-0.05138143,0.07262088,0.78785075,-0.87410587,-0.62961900,0.24448685,0.07942843,1.05,0.52,
0.00,0.00,14.00,0.73,152.00,-1.06156445,-0.94163775,-0.68310750,-1.20167494,-0.97199619,3.71377754,0.05428569,4.91,-1.82646191,-2.59336066,-0.15390813,0.12139013,-0.89886272,-0.59079438,-1.82245958,1.29868400,-0.80822164,3.37565494,0.07,-2.29888010,-3.78621221,-1.95144653,-0.27135336,-2.73563385,0.73266280,-0.39060599,2.93282914,0.24740706,0.14805919,0.70049041,-4.63951874,-0.65204263,1.10229087,0.66315639,0.26285365,0.50211161,-1.13442147,-1.96071494,0.53006494,0.68325728,0.40869243,2.49973965,-2.78624868,-2.72218108,-0.31909007,-0.34693164,-1.38082623,-1.23072541,-2.00314713,0.10388973,0.02662385,0.87042368,-0.15945488,-0.11505380,0.04440109,0.05347881,0.81736566,1.85426211,4.20638132,2.35211897,12.00767899,0.99,0.49,
0.00,0.00,15.00,0.71,154.00,1.14826024,-0.32979146,-1.13843215,0.37058079,0.01265435,0.00083650,0.97693306,4.34,0.28533950,-0.17667724,1.44624877,1.01531541,0.64586419,0.84951884,0.29741073,1.56365657,0.74083459,3.58267927,0.06,0.14643773,-4.22583866,0.25203976,-1.91942036,-0.01534211,1.29879117,-0.32205567,2.61791611,-0.71433461,1.57839239,0.20932734,-2.64128280,-0.42487392,-0.56893039,-2.72987986,0.46533650,-0.05434628,-2.75704050,-0.75308096,-1.49671650,6.90031862,0.00876859,-1.15239990,-0.77672052,1.64932048,4.36561012,1.61984909,-0.44933590,1.69190574,2.36490655,0.79339707,1.99636364,0.15803229,-0.42053124,-0.30776373,0.11276753,0.30572870,0.58096309,-1.15641665,-1.56889367,-0.41247699,0.35291335,0.99,0.49,
0.00,0.00,13.00,0.70,128.00,0.02205539,-0.66747791,-0.89402974,0.03895907,-0.37512329,0.49325371,0.48266457,5.20,-1.31073236,-0.44732010,-0.95241863,0.14681737,1.10028648,0.87197703,1.10000968,1.79360592,0.28777817,0.39092314,0.53,-2.50868559,-1.28925645,-3.84920573,0.72659969,-1.90353560,1.65065122,0.34302682,1.16674280,-0.72762471,1.13705981,0.28656826,-1.62060750,-1.27500069,-0.98435462,-1.67243624,-0.60089147,0.38574824,-0.32282183,-1.07080531,-0.93079722,1.85178244,0.17392622,0.49269065,0.34298918,4.53023624,-0.13732341,-2.28632188,1.15145242,-2.27668357,-1.49486816,0.09824730,0.02135750,0.88384288,-0.37047058,-0.20535240,0.16511819,0.50582677,0.47782323,-0.11045138,-0.38901573,-0.27856436,0.08958993,0.94,0.47,
0.00,0.00,17.00,0.75,82.00,0.84303606,0.56709808,1.90518367,-2.44415355,0.21779104,0.03754294,0.84640837,10.94,0.96414828,-1.48036551,-3.83101845,-0.83364308,-2.93331146,3.08518600,0.57886207,1.72929120,-0.34010637,0.11785910,0.73,9.37321854,1.62016118,-2.38795066,2.05140996,-8.35980129,2.31246686,-0.33251545,-1.33250284,2.92667341,4.16786051,0.04149694,-0.70494300,3.90388823,5.79222107,0.73458695,1.34850085,3.94404721,-2.05703473,1.80358219,4.38754654,9.31918049,0.00233616,1.12488413,7.53738022,0.09185518,1.94047582,0.88087130,3.00853539,-2.75127339,-7.54004622,3.22935343,5.19107246,0.02294320,-0.38730106,-0.19488192,0.19241916,0.50061601,0.48009654,1.90121949,3.63114071,1.72992134,0.82631892,0.00,0.00,
0.00,0.00,20.00,0.00,144.00,0.17406550,1.29250348,1.69598806,0.53955907,0.92552900,0.65204942,0.41959837,11.15,2.92267156,-2.21671462,-1.45659649,2.73077893,-0.86550790,0.24086386,0.42632723,1.92232347,0.46301827,0.22465873,0.64,10.68859673,-1.90293229,1.68409145,2.03679562,-5.36824703,1.88516021,-0.74676955,1.34072518,0.70378786,0.23091386,0.63096702,-0.21807621,2.94111753,0.05620816,-1.39201570,2.55824852,1.85361564,7.12573385,0.05149509,1.07088840,0.53479570,0.46479316,-3.16947055,4.04545355,-1.96153080,0.34982201,6.43858480,-3.87681484,-6.24425411,4.43288851,-0.36627620,0.06442377,0.79969543,1.03299868,0.83522356,-0.19777508,0.77325320,0.38032331,21.34030342,22.27333450,0.93303007,0.23300019,0.00,0.00,
