x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
63.06,74.62,11.00,0.58,11.70,133.00,0.17336853,-0.00742142,0.98564017,0.63457125,0.44653964,0.59843886,0.43938134,5.61,-1.71314657,-1.19509816,-2.01362920,1.33720744,0.64695168,2.78933573,1.14461887,-0.44109651,0.06939290,0.02132270,0.88,-2.84585547,-2.32498026,-2.56177473,1.66535747,1.40691841,3.92291665,0.00809787,0.95575446,-0.68455678,0.86522341,0.35253733,-1.23027825,-0.89867598,-1.20127249,5.51862526,0.13668609,2.47125340,5.42705727,-1.75512874,0.31700003,0.18934928,0.66356594,-0.14275934,-0.15225862,-1.19096136,-1.64269912,1.34978998,3.33114290,-0.52037424,0.36672893,-0.52151346,0.51002407,0.47531868,-0.78509372,-1.87154496,-1.08645117,40.33743668,0.00000000,-1.52189195,-0.53192306,0.98996896,0.67123991,1.29,1.79,
63.13,75.26,17.00,0.80,10.75,144.00,2.05984402,1.16836989,2.81388974,1.82524049,1.96683609,21.27423477,0.00000457,4.15,0.75603950,1.84992433,0.59022886,1.82619417,1.05668020,1.64543426,0.42916819,0.42276570,1.07205439,8.95628452,0.00,3.45245576,1.79309607,1.37437356,1.57889557,-1.01025629,0.89006060,0.65111130,0.18365110,-0.67281371,1.51474643,0.21874661,1.33478093,1.84168243,1.62053049,4.96207905,2.98428130,4.14692974,2.47763753,3.64681983,1.02625048,3.56140351,0.05946813,0.70567662,4.19092274,1.10044503,1.79509091,3.34652090,3.03154898,0.79221046,0.67821032,0.19036171,0.12497462,0.72378558,-1.25841904,-2.88394284,-1.62552369,72.21495056,0.00000000,-0.33652166,-2.93440771,-2.59788609,13.18683338,1.26,1.93,
63.13,75.26,15.00,0.68,10.75,133.00,2.22097588,1.91567016,2.29132986,2.76169801,2.29741836,27.41776466,0.00000020,4.27,0.54308087,2.20948315,0.56396496,0.20765160,1.13513708,0.72589612,0.31630778,0.15466170,0.73202288,3.92557478,0.05,2.15173006,3.58368325,1.38830519,1.32743287,-0.13097119,2.63594317,2.10728312,1.71055937,-0.87993383,2.43845868,0.11875368,2.77014613,3.60474324,2.25017643,1.32060421,3.97067547,3.39760995,0.41065216,0.20120452,-0.51578158,0.85072851,0.35660029,1.51444614,3.36825967,1.86780894,1.75063181,3.25362062,0.61380482,2.59946752,2.45208693,-0.55423248,0.99375379,0.31910192,-1.23783720,-2.57564712,-1.33780992,54.77885818,0.00000000,-3.78377795,-3.42326045,0.36051744,0.13598153,1.24,1.81,
63.42,76.32,20.00,0.00,9.57,136.00,1.57443070,0.29284251,1.61379492,1.20663893,1.17192674,6.95468998,0.00850691,4.32,0.97721654,-0.03872360,-0.25786087,3.46678567,1.52501214,-0.19831496,-0.74498099,-0.33448315,0.54933131,2.24534369,0.13,4.80550528,-2.44464493,-0.72498715,3.70633221,1.70197380,0.65426779,-1.94250572,-2.75363731,-0.90473038,2.61439991,0.10625760,2.29149199,0.14003186,3.02925777,3.76972270,1.80161655,-0.71260381,1.77128136,0.63700759,0.40592614,0.51441914,0.47342327,-1.33466113,3.18203640,-1.47215879,4.40091467,3.22462916,1.26852751,-0.34830120,2.91558528,0.32633033,0.34457451,0.55735180,-1.46677661,-3.11596704,-1.64919031,72.52620697,0.00000000,-4.16133213,-4.57078552,-0.40945303,0.25398740,0.00,0.00,
63.53,75.90,16.00,0.74,10.42,144.00,-0.26134175,-0.01429468,-0.27024975,0.39914301,-0.03668579,0.00840620,0.92696887,3.90,-1.08876204,-0.71559852,-0.16579850,0.11340538,-0.42270160,0.38461989,-0.80333620,-0.33296707,-0.37889233,1.28889346,0.26,0.83884287,-0.04470465,-0.55324906,1.01611733,-0.53810191,0.72705835,-1.57130241,-0.05602842,-0.43590829,0.71464080,0.39813831,-2.76911116,-0.19363935,0.98424000,1.02787864,-1.22364676,0.43494353,0.33987820,-0.78769487,-0.65605146,1.64511192,0.19996481,-0.73167956,-1.46821809,-0.33699119,-1.10748661,0.91964757,0.66274804,-0.45566794,0.63239878,-0.68157858,1.79685593,0.18044059,-1.53541517,-3.01620770,-1.48079240,64.43505859,0.00000000,-5.63136244,-4.96087980,0.67048258,1.01221251,1.23,1.97,
63.53,75.90,0.00,0.57,10.42,136.00,0.20520738,0.67251897,-0.28681886,0.49229175,0.27079982,0.26520252,0.60669716,5.11,1.03793085,-0.43623614,-0.40429130,0.76153111,-0.03315303,0.16073239,-1.28057170,-0.07230334,-0.03329514,0.00582802,0.94,-0.34597293,-0.45240596,2.10548687,1.32467926,0.32957006,-0.23007543,0.27869838,2.29521871,0.19728532,0.08520606,0.77043160,2.68860316,-0.37475148,-2.39961290,3.38129282,-1.21170795,-0.12362010,-1.20253277,-2.38582277,-0.81859398,1.50261211,0.22059932,1.33690643,0.30166709,-0.26884317,-1.10476923,1.59557307,1.47888124,-1.75169551,-0.08099126,-0.30824757,0.21427360,0.64355319,-1.48108196,-2.71211243,-1.23103046,49.94454575,0.00000000,-3.00809813,-3.73472381,-0.72662550,0.62081867,1.20,1.82,
63.70,76.89,20.00,0.00,9.20,136.00,4.32253361,4.81162214,5.15819740,4.45183420,4.68604660,35.63229752,0.00000000,7.64,1.25739968,1.37469864,3.09060478,3.57979918,2.61579990,2.37809873,2.89542651,3.18076825,2.54657435,14.85051250,0.00,2.50912523,4.76315069,1.58756769,8.37021923,2.35346818,4.52936697,5.48341084,8.22045612,0.39147535,0.15167266,0.69703666,6.00449753,4.09313345,5.72013140,2.57421803,4.61904573,3.47677612,7.11715269,7.57263994,0.73532557,0.53702372,0.46386486,1.77699697,1.33820665,8.95165920,6.35007668,7.36632013,6.61467171,2.03132677,-0.59246200,-0.14762017,0.02232883,0.88125003,-1.52424228,-3.04448891,-1.52024662,65.82117462,0.00000000,-2.92235756,-4.24863291,-1.32627523,0.90074933,0.00,0.00,
63.70,76.37,16.00,0.70,9.99,135.00,1.61735642,0.36429030,0.89893872,0.72716111,0.90193665,3.88278365,0.04909566,4.45,2.44530487,-1.11856365,0.19306402,0.93357480,0.52246892,0.60941952,1.05484343,0.48358697,0.64046234,2.84388900,0.09,0.73965001,-1.97350907,1.10898137,0.35308653,2.31761551,-2.60938835,2.13905692,1.48461056,-0.26641613,0.20806198,0.64840372,4.54065084,-1.65650082,-0.67920816,0.43326038,0.34621707,1.65257120,2.99315357,0.06828622,0.15262043,0.06924599,0.79249967,2.80736995,1.38014019,1.38638628,3.49343467,0.76077437,4.01446247,-1.25475049,0.25541499,0.90622252,2.47059822,0.11635486,-1.47625113,-2.84232759,-1.36607659,61.31589890,0.00000000,4.20665169,2.33980441,-1.86684752,6.01335573,1.23,1.97,
63.53,75.90,12.00,0.50,10.42,150.00,1.06820798,-0.23453315,1.37482643,0.71026731,0.72969216,2.28301477,0.13115517,4.70,0.17398180,-0.61202973,0.67441899,0.44710755,0.75913388,0.45690146,0.11520977,1.08857048,0.38791177,0.92298514,0.34,2.48686457,-2.14617801,0.34807938,-2.57222795,0.89351028,0.38075307,-1.54957640,0.97658312,-0.95535809,2.39101195,0.12239578,1.00649643,-0.72866493,-0.09186736,1.63067174,2.97091961,3.51051331,0.95063007,2.13789392,0.70069075,1.29488647,0.25546051,-1.21440721,1.69198108,2.94388556,3.10910964,-0.54672033,-0.92611283,2.00631809,1.41806829,0.42226481,0.48078862,0.48824912,-1.37050688,-2.55806231,-1.18755543,51.02585602,0.00000000,1.35816503,-0.02718914,-1.38535416,3.14164710,1.20,1.82,
63.78,77.63,20.00,0.00,8.29,119.00,5.82585096,2.47309041,6.80820179,4.55518484,4.91558218,49.45536804,0.00000000,6.80,1.24136019,3.51359534,2.92169523,4.74263239,5.73921490,1.83981895,0.38499996,0.98021120,2.67044115,20.30771446,0.00,4.39179945,-2.75572085,1.92656970,5.29010725,1.43434799,5.38298798,3.04909873,1.12163472,-2.11452007,5.60253763,0.01815104,6.36323929,6.94956541,6.98986912,8.85600281,11.49696922,5.52085018,3.49127603,4.01943731,2.21043301,6.18508387,0.01306833,1.76470172,10.87711334,6.93821526,6.69445705,10.07223511,2.50814152,1.33705139,4.34200954,1.27737415,2.13741374,0.14410268,-1.17856205,-2.53781986,-1.35925770,48.67346954,0.00000000,1.50015700,-0.53890759,-2.03906465,3.42473149,1.24,2.20,
